acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExperimentLoop,count_Fixation,count_ISI,count_IncorrectFeedback,count_Instruction1,count_Instruction2,count_MemorySet,count_Practiceloop,count_Probe,count_ThankYou,count_expSequence,count_experiment,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Practiceloop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instruction2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instruction2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExperimentLoop,time_Fixation,time_ISI,time_IncorrectFeedback,time_Instruction1,time_Instruction2,time_MemorySet,time_Practiceloop,time_Probe,time_ThankYou,time_expSequence,time_experiment,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
82.78688525,82.78688525,1206.04918,1206.04918,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,121,0,121,121,121,0,0,121,0,121,0,121,0,121,121,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,109,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,3 9 8 1 6 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,840,36148,16384,NA,840,2,legacy,6,1024,2,48000,-16,experiment,3,odd,7,869008,151986,870188,872396,581704,5621,135601,871191,41770,874399,NA,870184,5616,874400,875243,Sternberg Task,101,147138,122,yes,1024
82.92682927,82.92682927,1205.634146,1205.634146,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,122,0,122,122,122,0,0,122,0,122,0,122,0,122,122,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,110,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,6 9 4 5 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1155,36148,16384,NA,1155,2,legacy,5,1024,2,48000,-16,experiment,3,odd,1,875284,151986,876467,878673,581704,5621,135601,877470,41770,880677,NA,876463,5616,880677,881835,Sternberg Task,102,148293,123,yes,1024
83.06451613,83.06451613,1208.475806,1208.475806,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,123,0,123,123,123,0,0,123,0,123,0,123,0,123,123,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,111,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,2 8 7 9 5 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1558,36148,16384,NA,1558,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,881875,151986,883056,885262,581704,5621,135601,884059,41770,887265,NA,883052,5616,887266,888827,Sternberg Task,103,149851,124,yes,1024
83.2,83.2,1210.888,1210.888,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,124,0,124,124,124,0,0,124,0,124,0,124,0,124,124,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,112,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,6 7 5 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1510,36148,16384,NA,1510,2,legacy,4,1024,2,48000,-16,experiment,3,odd,2,888917,151986,890096,892302,581704,5621,135601,891099,41770,894305,NA,890092,5616,894306,895819,Sternberg Task,104,151361,125,yes,1024
83.33333333,83.33333333,1212.119048,1212.119048,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,125,0,125,125,125,0,0,125,0,125,0,125,0,125,125,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,113,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,1 4 9 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1366,36148,16384,NA,1366,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,895859,151986,897040,899246,581704,5621,135601,898043,41770,901249,NA,897036,5616,901250,902619,Sternberg Task,105,152727,126,yes,1024
83.46456693,83.46456693,1212.850394,1212.850394,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,126,0,126,126,126,0,0,126,0,126,0,126,0,126,126,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,114,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,9 7 4 5 8,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1305,36148,16384,NA,1305,2,legacy,5,1024,2,48000,-16,experiment,3,odd,6,902658,151986,903836,906043,581704,5621,135601,904839,41770,908046,NA,903832,5616,908047,909355,Sternberg Task,106,154032,127,yes,1024
83.59375,83.59375,1210.539063,1210.539063,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,127,0,127,127,127,0,0,127,0,127,0,127,0,127,127,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,115,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,9 6 2 4 1,Kafkaesque Koffka,3.2.8,4,y,0,left,right,left,NA,left,917,36148,16384,NA,917,2,legacy,5,1024,2,48000,-16,experiment,3,odd,4,909450,151986,910631,912839,581704,5621,135601,911635,41770,914842,NA,910627,5616,914843,915763,Sternberg Task,107,154949,128,yes,1024
82.94573643,82.94573643,1212.891473,1212.891473,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,128,0,128,128,128,0,0,128,0,128,0,128,0,128,128,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,116,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,9 1 7 2,Kafkaesque Koffka,3.2.8,2,y,0,right,right,left,NA,right,1514,36148,16384,NA,1514,2,legacy,4,1024,2,48000,-16,experiment,3,odd,1,915800,151986,916980,919186,581704,5621,135601,917983,41770,921189,NA,916976,5616,921190,922707,Sternberg Task,107,156463,129,yes,1024
83.07692308,83.07692308,1211.984615,1211.984615,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,129,0,129,129,129,0,0,129,0,129,0,129,0,129,129,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,117,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,1 4 9 3 2 5,Kafkaesque Koffka,3.2.8,3,y,0,left,right,left,NA,left,1095,36148,16384,NA,1095,2,legacy,6,1024,2,48000,-16,experiment,3,odd,9,915800,151986,923919,926126,922741,5621,135601,924922,41770,928129,NA,923915,5616,928129,929227,Sternberg Task,108,157558,130,yes,1024
82.44274809,82.44274809,1218.007634,1218.007634,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,130,0,130,130,130,0,0,130,0,130,0,130,0,130,130,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,118,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,5 7 8 2 3 8,Kafkaesque Koffka,3.2.8,5,y,0,None,right,left,NA,None,2001,36148,16384,NA,2001,2,legacy,6,1024,2,48000,-16,experiment,3,odd,3,929267,151986,930445,932653,922741,5621,135601,931449,41770,934656,NA,930441,5616,934656,936659,Sternberg Task,108,159559,131,yes,1024
81.81818182,81.81818182,1215.818182,1215.818182,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,right,131,0,131,131,131,0,0,131,0,131,0,131,0,131,131,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,119,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,1 6 4 3 9 7,Kafkaesque Koffka,3.2.8,0,n,0,left,right,left,NA,left,929,36148,16384,NA,929,2,legacy,6,1024,2,48000,-16,experiment,3,odd,8,929267,151986,937877,940083,936700,5621,135601,938880,41770,942086,NA,937873,5616,942087,943020,Sternberg Task,108,160488,132,yes,1024
81.95488722,81.95488722,1215.142857,1215.142857,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,132,0,132,132,132,0,0,132,0,132,0,132,0,132,132,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,120,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,1 4 9 2 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1126,36148,16384,NA,1126,2,legacy,5,1024,2,48000,-16,experiment,3,odd,7,929267,151986,944232,946438,943049,5621,135601,945235,41770,948441,NA,944228,5616,948442,949572,Sternberg Task,109,161614,133,yes,1024
82.08955224,82.08955224,1215.268657,1215.268657,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,133,0,133,133,133,0,0,133,0,133,0,133,0,133,133,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,121,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,7 1 5 6 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1232,36148,16384,NA,1232,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,949617,151986,950797,953004,943049,5621,135601,951800,41770,955007,NA,950793,5616,955008,956244,Sternberg Task,110,162846,134,yes,1024
82.22222222,82.22222222,1216.62963,1216.62963,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,134,0,134,134,134,0,0,134,0,134,0,134,0,134,134,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,122,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,3 5 9 6 2 4,Kafkaesque Koffka,3.2.8,1,y,0,left,right,left,NA,left,1399,36148,16384,NA,1399,2,legacy,6,1024,2,48000,-16,experiment,3,odd,3,956283,151986,957462,959669,943049,5621,135601,958465,41770,961672,NA,957458,5616,961673,963075,Sternberg Task,111,164245,135,yes,1024
82.35294118,82.35294118,1214.639706,1214.639706,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,135,0,135,135,135,0,0,135,0,135,0,135,0,135,135,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,123,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,left,NA,left,946,36148,16384,NA,946,2,legacy,1,1024,2,48000,-16,experiment,3,odd,8,963116,151986,964292,966498,943049,5621,135601,965295,41770,968501,NA,964288,5616,968502,969451,Sternberg Task,112,165191,136,yes,1024
82.48175182,82.48175182,1215.233577,1215.233577,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,136,0,136,136,136,0,0,136,0,136,0,136,0,136,136,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,124,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,3 4 9 6 7 8,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1296,36148,16384,NA,1296,2,legacy,6,1024,2,48000,-16,experiment,3,odd,2,969491,151986,970677,972884,943049,5621,135601,971680,41770,974887,NA,970673,5616,974888,976187,Sternberg Task,113,166487,137,yes,1024
82.60869565,82.60869565,1216.826087,1216.826087,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,137,0,137,137,137,0,0,137,0,137,0,137,0,137,137,10/17/19 17:38,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,125,11,C:/Users/Carolyn/Desktop/cp_subject-3.csv,legacy,5 7 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1435,36148,16384,NA,1435,2,legacy,3,1024,2,48000,-16,experiment,3,odd,9,976233,151986,977411,979617,943049,5621,135601,978414,41770,981620,NA,977407,5616,981621,983059,Sternberg Task,114,167922,138,yes,1024
