acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_new_keyboard_response,correct_response,count_Instruction1,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instructions2,count_isi,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_Instruction1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_Instruction1,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instructions2,time_isi,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,957,957,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Oct 20 20:43:38 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-1.csv,legacy,5,Kafkaesque Koffka,3.2.6,0,n,0,left,right,NA,left,NA,957,705,NA,957,NA,2,legacy,1,1024,2,48000,-16,experiment,0,even,3,144372,NA,145180,144360,NA,145191,NA,NA,147414,150385,146202,149425,145078,149425,NA,Sternberg task,0,957,1,yes,1024
0,0,1054,1054,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,Sun Oct 20 20:43:38 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-1.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.6,3,y,0,right,right,NA,right,NA,1151,705,NA,1151,NA,2,legacy,3,1024,2,48000,-16,experiment,0,even,4,144372,NA,151574,144360,NA,151585,150455,NA,153807,156971,152596,155818,145078,155817,NA,Sternberg task,0,2108,2,yes,1024
0,0,1075,1075,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,2,2,0,0,2,2,0,2,2,2,2,0,2,0,Sun Oct 20 20:43:38 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-1.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.6,0,n,0,left,right,NA,left,NA,1117,705,NA,1117,NA,2,legacy,6,1024,2,48000,-16,experiment,0,even,6,144372,NA,158094,144360,NA,158105,156987,NA,160330,163460,159117,162341,145078,162341,NA,Sternberg task,0,3225,3,yes,1024
25,25,1019.5,1019.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,3,3,0,0,3,3,0,3,3,3,3,0,3,0,Sun Oct 20 20:43:38 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-1.csv,legacy,2 1,Kafkaesque Koffka,3.2.6,0,n,0,right,right,NA,right,NA,853,705,NA,853,NA,2,legacy,2,1024,2,48000,-16,experiment,0,even,5,144372,NA,164579,144360,NA,164590,163473,NA,166813,169678,165601,168824,145078,168823,NA,Sternberg task,1,4078,4,yes,1024
40,40,1015.6,1015.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,4,4,0,0,4,4,0,4,4,4,4,0,4,0,Sun Oct 20 20:43:38 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-1.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.6,4,y,0,left,right,NA,left,NA,1000,705,NA,1000,NA,2,legacy,5,1024,2,48000,-16,experiment,0,even,8,144372,169691,170798,144360,NA,170808,163473,NA,173032,176045,171820,175043,145078,175043,NA,Sternberg task,2,5078,5,yes,1024
50,50,967,967,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,5,5,0,0,5,5,0,5,5,5,5,0,5,0,Sun Oct 20 20:43:38 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-1.csv,legacy,4 8,Kafkaesque Koffka,3.2.6,1,y,0,left,right,NA,left,NA,724,705,NA,724,NA,2,legacy,2,1024,2,48000,-16,experiment,0,even,4,144372,176058,177166,144360,NA,177177,163473,NA,179400,182138,178188,181412,145078,181412,NA,Sternberg task,3,5802,6,yes,1024
57.14285714,57.14285714,1006.571429,1006.571429,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,6,6,0,0,6,6,0,6,6,6,6,0,6,0,Sun Oct 20 20:43:38 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-1.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.6,1,y,0,left,right,NA,left,NA,1244,705,NA,1244,NA,2,legacy,6,1024,2,48000,-16,experiment,0,even,4,144372,182150,183257,144360,NA,183268,163473,NA,185492,188748,184278,187503,145078,187503,NA,Sternberg task,4,7046,7,yes,1024
62.5,62.5,989.375,989.375,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,7,7,0,0,7,7,0,7,7,7,7,0,7,0,Sun Oct 20 20:43:38 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-1.csv,legacy,6,Kafkaesque Koffka,3.2.6,1,y,0,left,right,NA,left,NA,869,705,NA,869,NA,2,legacy,1,1024,2,48000,-16,experiment,0,even,6,144372,188761,189868,144360,NA,189878,163473,NA,192102,194984,190889,194113,145078,194113,NA,Sternberg task,5,7915,8,yes,1024
66.66666667,66.66666667,968.3333333,968.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,8,8,0,0,8,8,0,8,8,8,8,0,8,0,Sun Oct 20 20:43:38 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-1.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.6,0,n,0,right,right,NA,right,NA,800,705,NA,800,NA,2,legacy,3,1024,2,48000,-16,experiment,0,even,2,144372,194997,196102,144360,NA,196113,163473,NA,198337,201150,197124,200348,145078,200348,NA,Sternberg task,6,8715,9,yes,1024
70,70,979.9,979.9,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,9,9,0,0,9,9,0,9,9,9,9,0,9,0,Sun Oct 20 20:43:38 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-1.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.6,2,y,0,left,right,NA,left,NA,1084,705,NA,1084,NA,2,legacy,4,1024,2,48000,-16,experiment,0,even,5,144372,201165,202273,144360,NA,202283,163473,NA,204507,207604,203294,206518,145078,206518,NA,Sternberg task,7,9799,10,yes,1024
