acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Keyboard_response,correct_instruction1,correct_response,count_ISI,count_Keyboard_response,count_PracticeLoop,count_correctFeedback,count_exp_sequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_logger,count_memorySet,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Keyboard_response,response_instruction1,response_instructions2,response_thankYou,response_time,response_time_Keyboard_response,response_time_instruction1,response_time_instructions2,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_Keyboard_response,time_PracticeLoop,time_correctFeedback,time_exp_sequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_logger,time_memorySet,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,0,undefined,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/27/19 8:15,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/hosan/Desktop/Tb-subject-2.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,None,None,right,NA,NA,2000,2000,60597,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,72559,74565,65729,NA,70349,5122,NA,70351,NA,5130,NA,76565,71353,74564,NA,Sternberg Task,0,2000,1,yes,1024
0,0,1467,1467,black,practice,legacy,legacy,legacy,0,uniform,0,0,undefined,right,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,10/27/19 8:15,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/hosan/Desktop/Tb-subject-2.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,left,left,right,NA,NA,934,934,60597,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,80008,82014,65729,NA,77795,5122,NA,77797,76678,5130,NA,82948,78801,82013,NA,Sternberg Task,0,2934,2,yes,1024
33.33333333,33.33333333,1273.333333,1273.333333,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,left,2,2,0,2,2,0,0,2,2,0,0,2,2,2,0,10/27/19 8:15,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/hosan/Desktop/Tb-subject-2.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,right,NA,NA,886,886,60597,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,6,86319,88325,65729,NA,84105,5122,NA,84108,82988,5130,NA,89212,85112,88325,NA,Sternberg Task,1,3820,3,yes,1024
50,50,1153.5,1153.5,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,right,3,3,0,3,3,0,0,3,3,0,0,3,3,3,0,10/27/19 8:15,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/hosan/Desktop/Tb-subject-2.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,NA,NA,794,794,60597,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,92640,94647,65729,89271,90425,5122,NA,90428,82988,5130,NA,95441,91434,94646,NA,Sternberg Task,2,4614,4,yes,1024
60,60,1108.2,1108.2,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,right,4,4,0,4,4,0,0,4,4,0,0,4,4,4,0,10/27/19 8:15,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/hosan/Desktop/Tb-subject-2.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,NA,NA,927,927,60597,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,98923,100930,65729,95532,96711,5122,NA,96714,82988,5130,NA,101858,97717,100930,NA,Sternberg Task,3,5541,5,yes,1024
50,50,1050.666667,1050.666667,black,practice,legacy,legacy,legacy,0,uniform,0,0,undefined,right,5,5,0,5,5,0,0,5,5,0,0,5,5,5,0,10/27/19 8:15,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/hosan/Desktop/Tb-subject-2.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,left,left,right,NA,NA,763,763,60597,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,105264,107274,65729,101895,103046,5122,NA,103049,82988,5130,NA,108037,104052,107273,NA,Sternberg Task,3,6304,6,yes,1024
57.14285714,57.14285714,1044.714286,1044.714286,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,right,6,6,0,6,6,0,0,6,6,0,0,6,6,6,0,10/27/19 8:15,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/hosan/Desktop/Tb-subject-2.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,NA,NA,1009,1009,60597,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,111624,113632,65729,101895,109411,5122,NA,109414,108230,5130,NA,114641,110418,113631,NA,Sternberg Task,4,7313,7,yes,1024
62.5,62.5,1016.5,1016.5,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,left,7,7,0,7,7,0,0,7,7,0,0,7,7,7,0,10/27/19 8:15,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/hosan/Desktop/Tb-subject-2.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,right,NA,NA,819,819,60597,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,4,118020,120025,65729,114670,115804,5122,NA,115807,108230,5130,NA,120844,116813,120024,NA,Sternberg Task,5,8132,8,yes,1024
66.66666667,66.66666667,968.2222222,968.2222222,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,left,8,8,0,8,8,0,0,8,8,0,0,8,8,8,0,10/27/19 8:15,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/hosan/Desktop/Tb-subject-2.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,right,NA,NA,582,582,60597,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,4,124239,126244,65729,120894,122028,5122,NA,122030,108230,5130,NA,126827,123034,126244,NA,Sternberg Task,6,8714,9,yes,1024
70,70,954.7,954.7,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,left,9,9,0,9,9,0,0,9,9,0,0,9,9,9,0,10/27/19 8:15,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/hosan/Desktop/Tb-subject-2.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,right,NA,NA,833,833,60597,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,5,130321,132327,65729,126941,128108,5122,NA,128111,108230,5130,NA,133161,129115,132327,NA,Sternberg Task,7,9547,10,yes,1024
