acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_new_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_getting_started,count_incorrectFeeback,count_instruction1,count_instructions2,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,count_welcome,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,response_time_welcome,response_welcome,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_getting_started,time_incorrectFeeback,time_instruction1,time_instructions2,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,869,869,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,Fri Oct 25 19:23:32 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-3.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,left,right,NA,left,NA,869,133417,NA,869,NA,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,5,139022,NA,136779,2776,NA,136792,NA,NA,2792,NA,141905,137806,141035,136330,141035,NA,NA,Sternberg Task,0,869,1,yes,1024
50,50,1390,1390,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,1,0,0,1,NA,1,0,0,1,1,1,0,1,0,NA,Fri Oct 25 19:23:32 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-3.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,1911,133417,NA,1911,NA,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,4,145301,NA,143058,2776,NA,143070,NA,141963,2792,NA,149227,144084,147315,136330,147314,NA,NA,Sternberg Task,1,2780,2,yes,1024
66.66666667,66.66666667,1246,1246,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,2,2,0,0,2,NA,2,0,0,2,2,2,0,2,0,NA,Fri Oct 25 19:23:32 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-3.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,958,133417,NA,958,NA,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,152581,149243,150330,2776,NA,150342,NA,141963,2792,NA,155553,151356,154594,136330,154594,NA,NA,Sternberg Task,2,3738,3,yes,1024
75,75,1250.75,1250.75,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,3,0,0,3,NA,3,0,0,3,3,3,0,3,0,NA,Fri Oct 25 19:23:32 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-3.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1265,133417,NA,1265,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,158901,155568,156657,2776,NA,156670,NA,141963,2792,NA,162181,157685,160914,136330,160914,NA,NA,Sternberg Task,3,5003,4,yes,1024
80,80,1117.8,1117.8,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,4,0,0,4,NA,4,0,0,4,4,4,0,4,0,NA,Fri Oct 25 19:23:32 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-3.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,586,133417,NA,586,NA,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,165526,162196,163283,2776,NA,163295,NA,141963,2792,NA,168127,164309,167539,136330,167539,NA,NA,Sternberg Task,4,5589,5,yes,1024
83.33333333,83.33333333,1066.666667,1066.666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,5,0,0,5,NA,5,0,0,5,5,5,0,5,0,NA,Fri Oct 25 19:23:32 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-3.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,right,NA,left,NA,811,133417,NA,811,NA,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,171473,168141,169230,2776,NA,169242,NA,141963,2792,NA,174298,170256,173486,136330,173486,NA,NA,Sternberg Task,5,6400,6,yes,1024
85.71428571,85.71428571,1181.714286,1181.714286,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,6,0,0,6,NA,6,0,0,6,6,6,0,6,0,NA,Fri Oct 25 19:23:32 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-3.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,1872,133417,NA,1872,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,177646,174314,175401,2776,NA,175414,NA,141963,2792,NA,181534,176429,179661,136330,179661,NA,NA,Sternberg Task,6,8272,7,yes,1024
87.5,87.5,1141,1141,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,7,0,0,7,NA,7,0,0,7,7,7,0,7,0,NA,Fri Oct 25 19:23:32 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-3.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,856,133417,NA,856,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,184882,181549,182636,2776,NA,182649,NA,141963,2792,NA,187753,183665,186896,136330,186896,NA,NA,Sternberg Task,7,9128,8,yes,1024
88.88888889,88.88888889,1166.666667,1166.666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,8,0,0,8,NA,8,0,0,8,8,8,0,8,0,NA,Fri Oct 25 19:23:32 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-3.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,NA,left,NA,1372,133417,NA,1372,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,191100,187769,188856,2776,NA,188869,NA,141963,2792,NA,194486,189884,193113,136330,193113,NA,NA,Sternberg Task,8,10500,9,yes,1024
90,90,1118.3,1118.3,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,9,9,0,0,9,NA,9,0,0,9,9,9,0,9,0,NA,Fri Oct 25 19:23:32 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-3.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,683,133417,NA,683,NA,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,197843,194501,195599,2776,NA,195611,NA,141963,2792,NA,200540,196625,199856,136330,199856,NA,NA,Sternberg Task,9,11183,10,yes,1024
