acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_memorySet_1,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_memorySet_1,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,902,902,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Oct 26 21:28:40 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/Linzi/Desktop/LM-subject-3M27.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,left,right,NA,left,NA,902,6330,NA,902,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,15088,NA,5512,NA,12831,NA,5548,NA,17117,18022,12803,13860,11895,17117,NA,Sternberg task,0,902,1,yes,1024
50,50,1147,1147,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,Sat Oct 26 21:28:40 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/Linzi/Desktop/LM-subject-3M27.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1392,6330,NA,1392,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,6,21809,NA,5512,NA,19555,18213,5548,NA,23837,25231,19528,20582,11895,23836,NA,Sternberg task,1,2294,2,yes,1024
33.33333333,33.33333333,1052.333333,1052.333333,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,2,2,0,0,2,2,0,0,2,2,2,2,0,2,0,Sat Oct 26 21:28:40 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/Linzi/Desktop/LM-subject-3M27.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,right,right,NA,right,NA,863,6330,NA,863,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,28825,25263,5512,NA,26572,18213,5548,NA,30853,31718,26545,27598,11895,30852,NA,Sternberg task,1,3157,3,yes,1024
50,50,1020.5,1020.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,0,0,3,3,0,0,3,3,3,3,0,3,0,Sat Oct 26 21:28:40 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/Linzi/Desktop/LM-subject-3M27.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,925,6330,NA,925,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,35314,25263,5512,NA,33061,31750,5548,NA,37341,38269,33034,34087,11895,37341,NA,Sternberg task,2,4082,4,yes,1024
60,60,1028.6,1028.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,0,0,4,4,0,0,4,4,4,4,0,4,0,Sat Oct 26 21:28:40 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/Linzi/Desktop/LM-subject-3M27.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1061,6330,NA,1061,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,5,41864,38300,5512,NA,39610,31750,5548,NA,43891,44955,39584,40637,11895,43891,NA,Sternberg task,3,5143,5,yes,1024
66.66666667,66.66666667,991.8333333,991.8333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,5,0,0,5,5,0,0,5,5,5,5,0,5,0,Sat Oct 26 21:28:40 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/Linzi/Desktop/LM-subject-3M27.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,808,6330,NA,808,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,48550,44988,5512,NA,46297,31750,5548,NA,50577,51388,46270,47323,11895,50576,NA,Sternberg task,4,5951,6,yes,1024
71.42857143,71.42857143,959.7142857,959.7142857,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,0,0,6,6,0,0,6,6,6,6,0,6,0,Sat Oct 26 21:28:40 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/Linzi/Desktop/LM-subject-3M27.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,767,6330,NA,767,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,54982,51420,5512,NA,52729,31750,5548,NA,57010,57780,52702,53756,11895,57010,NA,Sternberg task,5,6718,7,yes,1024
75,75,961.25,961.25,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,0,0,7,7,0,0,7,7,7,7,0,7,0,Sat Oct 26 21:28:40 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/Linzi/Desktop/LM-subject-3M27.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,972,6330,NA,972,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,61372,57811,5512,NA,59119,31750,5548,NA,63399,64374,59093,60146,11895,63398,NA,Sternberg task,6,7690,8,yes,1024
77.77777778,77.77777778,967.8888889,967.8888889,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,0,0,8,8,0,0,8,8,8,8,0,8,0,Sat Oct 26 21:28:40 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/Linzi/Desktop/LM-subject-3M27.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,right,NA,left,NA,1021,6330,NA,1021,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,4,67969,64405,5512,NA,65716,31750,5548,NA,69998,71022,65690,66743,11895,69997,NA,Sternberg task,7,8711,9,yes,1024
70,70,980.9,980.9,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,9,9,0,0,9,9,0,0,9,9,9,9,0,9,0,Sat Oct 26 21:28:40 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/Linzi/Desktop/LM-subject-3M27.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,right,right,NA,right,NA,1098,6330,NA,1098,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,74612,71053,5512,NA,72359,31750,5548,NA,76640,77741,72332,73385,11895,76639,NA,Sternberg task,7,9809,10,yes,1024
