acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
72.72727273,72.72727273,858.9090909,858.9090909,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,10,10,10,0,0,10,10,0,0,10,10,10,0,10,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,966,5933,NA,966,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,74268,64747,72060,1996,NA,72062,70904,2003,NA,76270,77237,73064,7938,76270,NA,Sternberg task,8,9448,11,yes,1024
75,75,857.75,857.75,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,11,11,11,0,0,11,11,0,0,11,11,11,0,11,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,845,5933,NA,845,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,80681,77319,78472,1996,NA,78475,70904,2003,NA,82683,83529,79477,7938,82683,NA,Sternberg task,9,10293,12,yes,1024
76.92307692,76.92307692,836.3846154,836.3846154,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,12,12,12,0,0,12,12,0,0,12,12,12,0,12,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,3 5 9 6 2 4,Kafkaesque Koffka,3.2.8,1,y,0,left,right,right,left,NA,580,5933,10009,580,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,3,97011,83610,94803,1996,94638,94805,70904,2003,84629,99016,99596,95808,7938,99015,NA,Sternberg task,10,10873,13,yes,1024
78.57142857,78.57142857,831,831,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,13,13,13,0,0,13,13,0,0,13,13,13,0,13,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,4 8 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,761,5933,10009,761,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,7,103047,99675,100838,1996,94638,100840,70904,2003,84629,105052,105814,101845,7938,105052,NA,Sternberg task,11,11634,14,yes,1024
80,80,815.2666667,815.2666667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,14,14,14,0,0,14,14,0,0,14,14,14,0,14,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,6 7 5 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,595,5933,10009,595,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,2,109270,105888,107059,1996,94638,107062,70904,2003,84629,111274,111870,108066,7938,111274,NA,Sternberg task,12,12229,15,yes,1024
81.25,81.25,807.4375,807.4375,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,15,15,15,0,0,15,15,0,0,15,15,15,0,15,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,6 2 9 3 8 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,690,5933,10009,690,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,1,115337,111959,113127,1996,94638,113129,70904,2003,84629,117341,118032,114133,7938,117341,NA,Sternberg task,13,12919,16,yes,1024
82.35294118,82.35294118,797.7058824,797.7058824,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,16,16,16,0,0,16,16,0,0,16,16,16,0,16,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,7 6 4 8 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,642,5933,10009,642,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,9,121451,118060,119242,1996,94638,119245,70904,2003,84629,123453,124096,120247,7938,123453,NA,Sternberg task,14,13561,17,yes,1024
83.33333333,83.33333333,800.1666667,800.1666667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,17,17,17,0,0,17,17,0,0,17,17,17,0,17,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,842,5933,10009,842,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,8,127524,124173,125316,1996,94638,125318,70904,2003,84629,129528,130371,126320,7938,129528,NA,Sternberg task,15,14403,18,yes,1024
78.94736842,78.94736842,793.6842105,793.6842105,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,18,18,18,0,0,18,18,0,0,18,18,18,0,18,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,9 5 3 8 4,Kafkaesque Koffka,3.2.8,1,y,0,right,right,right,right,NA,677,5933,10009,677,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,9,133836,130453,131628,1996,94638,131630,70904,2003,84629,135840,136518,132635,7938,135840,NA,Sternberg task,15,15080,19,yes,1024
80,80,784.75,784.75,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,19,19,19,0,0,19,19,0,0,19,19,19,0,19,0,10/24/19 12:30,The main experiment item,yes,Sternbergtask SL.osexp,C:/Users/Sarah Linan/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,11,C:/Users/Sarah Linan/Desktop/subject-S3.csv,legacy,8 5 7 3 6,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,615,5933,10009,615,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,9,139981,130453,137772,1996,94638,137774,136614,2003,84629,141985,142601,138777,7938,141985,NA,Sternberg task,16,15695,20,yes,1024
