acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_PracticeLoop,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_PracticeLoop,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1644,1644,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Oct 24 14:05:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-3.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,left,NA,1644,42787,NA,1644,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,48318,45881,NA,46078,3045,NA,46091,NA,3082,NA,50332,51978,47106,50332,NA,Sternberg Task,1,1644,1,yes,1024
100,100,1682,1682,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,Thu Oct 24 14:05:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-3.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1720,42787,NA,1720,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,55534,45881,52113,53295,3045,NA,53307,NA,3082,NA,57549,59270,54320,57549,NA,Sternberg Task,2,3364,2,yes,1024
66.66666667,66.66666667,1458.666667,1458.666667,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,2,0,2,2,0,0,2,2,0,0,2,2,2,2,0,Thu Oct 24 14:05:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-3.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,right,left,NA,right,NA,1012,42787,NA,1012,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,62699,45881,59290,60459,3045,NA,60471,NA,3082,NA,64712,65725,61483,64712,NA,Sternberg Task,2,4376,3,yes,1024
75,75,1234.25,1234.25,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,0,3,3,0,0,3,3,0,0,3,3,3,3,0,Thu Oct 24 14:05:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-3.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,561,42787,NA,561,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,4,69139,45881,59290,66900,3045,NA,66912,65743,3082,NA,71152,71714,67927,71152,NA,Sternberg Task,3,4937,4,yes,1024
80,80,1136.2,1136.2,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,0,4,4,0,0,4,4,0,0,4,4,4,4,0,Thu Oct 24 14:05:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-3.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,744,42787,NA,744,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,75132,45881,71731,72891,3045,NA,72903,65743,3082,NA,77146,77892,73919,77146,NA,Sternberg Task,4,5681,5,yes,1024
83.33333333,83.33333333,1042.5,1042.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,0,5,5,0,0,5,5,0,0,5,5,5,5,0,Thu Oct 24 14:05:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-3.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,NA,left,NA,574,42787,NA,574,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,81311,45881,77911,79069,3045,NA,79082,65743,3082,NA,83325,83900,80098,83325,NA,Sternberg Task,5,6255,6,yes,1024
85.71428571,85.71428571,969.4285714,969.4285714,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,0,6,6,0,0,6,6,0,0,6,6,6,6,0,Thu Oct 24 14:05:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-3.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,NA,left,NA,531,42787,NA,531,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,4,87312,45881,83918,85071,3045,NA,85083,65743,3082,NA,89327,89859,86099,89327,NA,Sternberg Task,6,6786,7,yes,1024
87.5,87.5,914.375,914.375,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,0,7,7,0,0,7,7,0,0,7,7,7,7,0,Thu Oct 24 14:05:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-3.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,529,42787,NA,529,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,5,93269,45881,89877,91026,3045,NA,91039,65743,3082,NA,95283,95813,92055,95282,NA,Sternberg Task,7,7315,8,yes,1024
88.88888889,88.88888889,893,893,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,0,8,8,0,0,8,8,0,0,8,8,8,8,0,Thu Oct 24 14:05:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-3.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,722,42787,NA,722,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,99229,45881,95832,96986,3045,NA,96998,65743,3082,NA,101244,101967,98012,101244,NA,Sternberg Task,8,8037,9,yes,1024
90,90,871.4,871.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,0,9,9,0,0,9,9,0,0,9,9,9,9,0,Thu Oct 24 14:05:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-3.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,677,42787,NA,677,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,105386,45881,101982,103143,3045,NA,103158,65743,3082,NA,107400,108078,104174,107400,NA,Sternberg Task,9,8714,10,yes,1024
