acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_new_keyboard_response,correct_response,count_Instruction1,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instructions2,count_isi,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_Instruction1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_Instruction1,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instructions2,time_isi,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed Oct 23 08:22:12 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-4-F21.csv,legacy,5,Kafkaesque Koffka,3.2.6,0,n,0,None,left,NA,None,NA,2000,78588,NA,2000,NA,2,legacy,1,1024,2,48000,-16,experiment,4,even,3,3306,NA,82398,3292,NA,82409,NA,NA,84632,88643,83420,86643,81896,86643,NA,Sternberg task,0,2000,1,yes,1024
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,Wed Oct 23 08:22:12 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-4-F21.csv,legacy,2 1,Kafkaesque Koffka,3.2.6,0,n,0,None,left,NA,None,NA,2000,78588,NA,2000,NA,2,legacy,2,1024,2,48000,-16,experiment,4,even,5,3306,NA,89828,3292,NA,89838,88713,NA,92060,96071,90849,94071,81896,94071,NA,Sternberg task,0,4000,2,yes,1024
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,0,2,2,0,0,2,2,0,2,2,2,2,0,2,0,Wed Oct 23 08:22:12 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-4-F21.csv,legacy,4 8,Kafkaesque Koffka,3.2.6,1,y,0,None,left,NA,None,NA,2000,78588,NA,2000,NA,2,legacy,2,1024,2,48000,-16,experiment,4,even,4,3306,NA,97195,3292,NA,97206,96084,NA,99429,103440,98217,101440,81896,101440,NA,Sternberg task,0,6000,3,yes,1024
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,3,3,0,0,3,3,0,3,3,3,3,0,3,0,Wed Oct 23 08:22:12 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-4-F21.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.6,0,n,0,None,left,NA,None,NA,2000,78588,NA,2000,NA,2,legacy,3,1024,2,48000,-16,experiment,4,even,2,3306,NA,104561,3292,NA,104571,103453,NA,106795,110806,105582,108806,81896,108806,NA,Sternberg task,0,8000,4,yes,1024
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,4,4,0,0,4,4,0,4,4,4,4,0,4,0,Wed Oct 23 08:22:12 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-4-F21.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.6,0,n,0,None,left,NA,None,NA,2000,78588,NA,2000,NA,2,legacy,4,1024,2,48000,-16,experiment,4,even,6,3306,NA,111927,3292,NA,111938,110819,NA,114161,118172,112949,116172,81896,116171,NA,Sternberg task,0,10000,5,yes,1024
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,0,5,5,0,0,5,5,0,5,5,5,5,0,5,0,Wed Oct 23 08:22:12 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-4-F21.csv,legacy,6,Kafkaesque Koffka,3.2.6,1,y,0,None,left,NA,None,NA,2000,78588,NA,2000,NA,2,legacy,1,1024,2,48000,-16,experiment,4,even,6,3306,NA,119291,3292,NA,119302,118185,NA,121526,125536,120313,123536,81896,123536,NA,Sternberg task,0,12000,6,yes,1024
14.28571429,14.28571429,1901,1901,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,6,6,0,0,6,6,0,6,6,6,6,0,6,0,Wed Oct 23 08:22:12 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-4-F21.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.6,2,y,0,left,left,NA,left,NA,1307,78588,NA,1307,NA,2,legacy,4,1024,2,48000,-16,experiment,4,even,5,3306,NA,126657,3292,NA,126667,125549,NA,128892,132212,127678,130903,81896,130903,NA,Sternberg task,1,13307,7,yes,1024
25,25,1787,1787,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,7,7,0,0,7,7,0,7,7,7,7,0,7,0,Wed Oct 23 08:22:12 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-4-F21.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.6,3,y,0,left,left,NA,left,NA,989,78588,NA,989,NA,2,legacy,3,1024,2,48000,-16,experiment,4,even,4,3306,132224,133332,3292,NA,133342,125549,NA,135565,138568,134353,137576,81896,137575,NA,Sternberg task,2,14296,8,yes,1024
22.22222222,22.22222222,1749.333333,1749.333333,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,0,8,8,0,0,8,8,0,8,8,8,8,0,8,0,Wed Oct 23 08:22:12 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-4-F21.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.6,4,y,0,right,left,NA,right,NA,1448,78588,NA,1448,NA,2,legacy,5,1024,2,48000,-16,experiment,4,even,8,3306,138581,139692,3292,NA,139703,125549,NA,141924,145385,140713,143936,81896,143936,NA,Sternberg task,2,15744,9,yes,1024
30,30,1682.5,1682.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,9,9,0,0,9,9,0,9,9,9,9,0,9,0,Wed Oct 23 08:22:12 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab3/KB-subject-4-F21.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.6,1,y,0,left,left,NA,left,NA,1081,78588,NA,1081,NA,2,legacy,6,1024,2,48000,-16,experiment,4,even,4,3306,138581,146508,3292,NA,146519,145399,NA,148740,151834,147529,150751,81896,150750,NA,Sternberg task,3,16825,10,yes,1024
