acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExpSequence,count_ExperimentLoop,count_Fixation,count_ISI,count_Instruction1,count_Instructions2,count_MemorySet,count_PracticeLoop,count_Probe,count_ThankYou,count_experiment,count_incorrectFeedback,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instructions2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instructions2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExpSequence,time_ExperimentLoop,time_Fixation,time_ISI,time_Instruction1,time_Instructions2,time_MemorySet,time_PracticeLoop,time_Probe,time_ThankYou,time_experiment,time_incorrectFeedback,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,1015,1015,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/20/19 14:18,The main experiment item,yes,SternbergTask.osexp,F:/Classwork/AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,F:/Classwork/AQMAED/Sternberg_LA_subject-1.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,left,right,NA,NA,left,1015,11007,NA,NA,1015,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,NA,13562,NA,13564,15766,2037,NA,14565,13045,17767,NA,2031,NA,17767,18783,Sternberg Task,0,1015,1,yes,1024
50,50,803,803,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,10/20/19 14:18,The main experiment item,yes,SternbergTask.osexp,F:/Classwork/AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,F:/Classwork/AQMAED/Sternberg_LA_subject-1.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,right,NA,NA,left,591,11007,NA,NA,591,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,NA,19926,NA,19928,22137,2037,NA,20932,13045,24142,NA,2031,18842,24143,24734,Sternberg Task,1,1606,2,yes,1024
66.66666667,66.66666667,898.6666667,898.6666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,0,2,2,0,0,2,0,2,0,0,2,2,2,10/20/19 14:18,The main experiment item,yes,SternbergTask.osexp,F:/Classwork/AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,F:/Classwork/AQMAED/Sternberg_LA_subject-1.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,NA,left,1090,11007,NA,NA,1090,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,24746,25849,NA,25850,28057,2037,NA,26853,13045,30063,NA,2031,18842,30063,31153,Sternberg Task,2,2696,3,yes,1024
75,75,936,936,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,0,3,3,0,0,3,0,3,0,0,3,3,3,10/20/19 14:18,The main experiment item,yes,SternbergTask.osexp,F:/Classwork/AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,F:/Classwork/AQMAED/Sternberg_LA_subject-1.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,1048,11007,NA,NA,1048,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,31157,32255,NA,32257,34467,2037,NA,33261,13045,36472,NA,2031,18842,36473,37521,Sternberg Task,3,3744,4,yes,1024
80,80,964.6,964.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,0,4,4,0,0,4,0,4,0,0,4,4,4,10/20/19 14:18,The main experiment item,yes,SternbergTask.osexp,F:/Classwork/AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,F:/Classwork/AQMAED/Sternberg_LA_subject-1.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,1079,11007,NA,NA,1079,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,37530,38629,NA,38630,40840,2037,NA,39634,13045,42846,NA,2031,18842,42846,43926,Sternberg Task,4,4823,5,yes,1024
83.33333333,83.33333333,956.8333333,956.8333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,10/20/19 14:18,The main experiment item,yes,SternbergTask.osexp,F:/Classwork/AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,F:/Classwork/AQMAED/Sternberg_LA_subject-1.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,918,11007,NA,NA,918,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,43939,45047,NA,45049,47259,2037,NA,46053,13045,49264,NA,2031,18842,49264,50182,Sternberg Task,5,5741,6,yes,1024
85.71428571,85.71428571,952.2857143,952.2857143,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,0,6,6,0,0,6,0,6,0,0,6,6,6,10/20/19 14:18,The main experiment item,yes,SternbergTask.osexp,F:/Classwork/AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,F:/Classwork/AQMAED/Sternberg_LA_subject-1.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,NA,left,925,11007,NA,NA,925,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,50192,51290,NA,51292,53502,2037,NA,52297,13045,55507,NA,2031,18842,55508,56434,Sternberg Task,6,6666,7,yes,1024
87.5,87.5,928.25,928.25,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,0,7,7,0,0,7,0,7,0,0,7,7,7,10/20/19 14:18,The main experiment item,yes,SternbergTask.osexp,F:/Classwork/AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,F:/Classwork/AQMAED/Sternberg_LA_subject-1.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,760,11007,NA,NA,760,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,56446,57537,NA,57539,59748,2037,NA,58543,13045,61753,NA,2031,18842,61753,62513,Sternberg Task,7,7426,8,yes,1024
77.77777778,77.77777778,926.2222222,926.2222222,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,8,8,0,8,8,0,0,8,0,8,0,0,8,8,8,10/20/19 14:18,The main experiment item,yes,SternbergTask.osexp,F:/Classwork/AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,F:/Classwork/AQMAED/Sternberg_LA_subject-1.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,right,right,NA,NA,right,910,11007,NA,NA,910,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,62521,63628,NA,63630,65840,2037,NA,64635,13045,67845,NA,2031,18842,67845,68756,Sternberg Task,7,8336,9,yes,1024
80,80,931.9,931.9,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,9,0,9,9,0,0,9,0,9,0,0,9,9,9,10/20/19 14:18,The main experiment item,yes,SternbergTask.osexp,F:/Classwork/AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,F:/Classwork/AQMAED/Sternberg_LA_subject-1.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,NA,NA,left,983,11007,NA,NA,983,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,62521,69858,NA,69860,72070,2037,NA,70865,13045,74075,NA,2031,68765,74075,75058,Sternberg Task,8,9319,10,yes,1024
