acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Keyboard_response,correct_instruction1,correct_response,count_ISI,count_Keyboard_response,count_PracticeLoop,count_correctFeedback,count_exp_sequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_logger,count_memorySet,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Keyboard_response,response_instruction1,response_instructions2,response_thankYou,response_time,response_time_Keyboard_response,response_time_instruction1,response_time_instructions2,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_Keyboard_response,time_PracticeLoop,time_correctFeedback,time_exp_sequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_logger,time_memorySet,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
81.81818182,81.81818182,896,896,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,left,10,10,0,10,10,0,0,10,10,0,0,10,10,10,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,right,NA,NA,759,759,211857,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,4,280956,282962,214526,277595,278742,2660,NA,278745,233855,2667,NA,283721,279751,282961,NA,Sternberg Task,9,9856,11,yes,1024
83.33333333,83.33333333,867.9166667,867.9166667,black,practice,legacy,legacy,legacy,0,uniform,1,1,undefined,right,11,11,0,11,11,0,0,11,11,0,0,11,11,11,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,NA,NA,559,559,211857,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,6,287126,289133,214526,283781,284914,2660,NA,284917,233855,2667,NA,289693,285923,289132,NA,Sternberg Task,10,10415,12,yes,1024
84.61538462,84.61538462,848.6153846,848.6153846,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,left,12,12,0,12,12,0,0,12,12,0,0,12,12,12,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,3 5 9 6 2 4,Kafkaesque Koffka,3.2.8,1,y,0,left,left,right,right,NA,617,617,211857,8913,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,3,302092,304099,214526,289762,299877,2660,299736,299880,233855,2667,290822,304716,300885,304098,NA,Sternberg Task,11,11032,13,yes,1024
85.71428571,85.71428571,831.9285714,831.9285714,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,left,13,13,0,13,13,0,0,13,13,0,0,13,13,13,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,6 8 9 3 4 9,Kafkaesque Koffka,3.2.8,5,y,0,left,left,right,right,NA,615,615,211857,8913,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,308134,310141,214526,304784,305921,2660,299736,305924,233855,2667,290822,310756,306929,310140,NA,Sternberg Task,12,11647,14,yes,1024
86.66666667,86.66666667,816.7333333,816.7333333,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,14,14,0,14,14,0,0,14,14,0,0,14,14,14,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,2 8 6 3 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,604,604,211857,8913,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,7,314159,316166,214526,310812,311944,2660,299736,311947,233855,2667,290822,316770,312953,316165,NA,Sternberg Task,13,12251,15,yes,1024
81.25,81.25,798.1875,798.1875,black,experiment,legacy,legacy,legacy,0,uniform,0,0,undefined,right,15,15,0,15,15,0,0,15,15,0,0,15,15,15,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,6 3 1 7 9 8,Kafkaesque Koffka,3.2.8,0,n,0,left,left,right,right,NA,520,520,211857,8913,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,320183,322187,214526,316834,317968,2660,299736,317971,233855,2667,290822,322707,318977,322186,NA,Sternberg Task,13,12771,16,yes,1024
82.35294118,82.35294118,780.8823529,780.8823529,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,16,16,0,16,16,0,0,16,16,0,0,16,16,16,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,9 5 3 2 8 6,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,504,504,211857,8913,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,7,326123,328131,214526,316834,323912,2660,299736,323915,322770,2667,290822,328636,324918,328130,NA,Sternberg Task,14,13275,17,yes,1024
83.33333333,83.33333333,769.2777778,769.2777778,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,17,17,0,17,17,0,0,17,17,0,0,17,17,17,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,1 7 5 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,572,572,211857,8913,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,3,332069,334077,214526,328705,329855,2660,299736,329858,322770,2667,290822,334650,330864,334076,NA,Sternberg Task,15,13847,18,yes,1024
84.21052632,84.21052632,768.3684211,768.3684211,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,18,18,0,18,18,0,0,18,18,0,0,18,18,18,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,1 7 8 3 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,752,752,211857,8913,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,2,338114,340121,214526,334716,335905,2660,299736,335908,322770,2667,290822,340873,336911,340121,NA,Sternberg Task,16,14599,19,yes,1024
85,85,762.85,762.85,black,experiment,legacy,legacy,legacy,0,uniform,1,1,undefined,right,19,19,0,19,19,0,0,19,19,0,0,19,19,19,0,10/27/19 8:33,The main experiment item,yes,SternbergTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,11,C:/Users/hosan/Desktop/TB-subject-3.csv,legacy,1 5 3 2 8,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,658,658,211857,8913,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,4,344317,346323,214526,340938,342102,2660,299736,342105,322770,2667,290822,346982,343111,346322,NA,Sternberg Task,17,15257,20,yes,1024
