acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_new_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_getting_started,count_incorrectFeeback,count_instruction1,count_instructions2,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,count_welcome,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,response_time_welcome,response_welcome,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_getting_started,time_incorrectFeeback,time_instruction1,time_instructions2,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
90.90909091,90.90909091,1128.090909,1128.090909,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,10,10,10,0,0,10,NA,10,0,0,10,10,10,0,10,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,10,10,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,left,NA,1456,40974,NA,1456,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,8,110918,107589,108675,2737,NA,108687,NA,94058,2751,NA,114388,109701,112931,43737,112931,NA,NA,Sternberg Task,10,12409,11,yes,1024
91.66666667,91.66666667,1076,1076,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,11,11,11,0,0,11,NA,11,0,0,11,11,11,0,11,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,11,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,503,40974,NA,503,NA,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,6,117730,114402,115487,2737,NA,115499,NA,94058,2751,NA,120248,116513,119744,43737,119743,NA,NA,Sternberg Task,11,12912,12,yes,1024
92.30769231,92.30769231,1085.692308,1085.692308,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,12,12,12,0,0,12,NA,12,0,0,12,12,12,0,12,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,0,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,3 9 8 1 6 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,right,right,NA,1202,40974,66800,1202,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,7,190559,120263,188315,2737,188216,188328,NA,94058,2751,121299,193775,189343,192572,43737,192572,NA,NA,Sternberg Task,12,14114,13,yes,1024
92.85714286,92.85714286,1109.857143,1109.857143,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,13,13,13,0,0,13,NA,13,0,0,13,13,13,0,13,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,1,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,5 2 6,Kafkaesque Koffka,3.2.8,2,y,0,left,left,right,left,NA,1424,40974,66800,1424,NA,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,197119,193791,194876,2737,188216,194889,NA,94058,2751,121299,200557,195903,199132,43737,199132,NA,NA,Sternberg Task,13,15538,14,yes,1024
93.33333333,93.33333333,1112.6,1112.6,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,14,14,14,0,0,14,NA,14,0,0,14,14,14,0,14,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,2,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,6 7 9 3 1 2,Kafkaesque Koffka,3.2.8,1,y,0,left,left,right,left,NA,1151,40974,66800,1151,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,203901,200572,201658,2737,188216,201670,NA,94058,2751,121299,207066,202684,205914,43737,205914,NA,NA,Sternberg Task,14,16689,15,yes,1024
93.75,93.75,1093.75,1093.75,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,15,15,15,0,0,15,NA,15,0,0,15,15,15,0,15,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,3,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,2 5 1 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,right,right,NA,811,40974,66800,811,NA,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,210410,207080,208166,2737,188216,208179,NA,94058,2751,121299,213236,209193,212423,43737,212423,NA,NA,Sternberg Task,15,17500,16,yes,1024
94.11764706,94.11764706,1088.352941,1088.352941,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,16,16,16,0,0,16,NA,16,0,0,16,16,16,0,16,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,4,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,9 3 1 2 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,right,left,NA,1002,40974,66800,1002,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,2,216582,213252,214338,2737,188216,214350,NA,94058,2751,121299,219597,215365,218594,43737,218594,NA,NA,Sternberg Task,16,18502,17,yes,1024
94.44444444,94.44444444,1071.388889,1071.388889,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,17,17,17,0,0,17,NA,17,0,0,17,17,17,0,17,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,5,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,9 8 4,Kafkaesque Koffka,3.2.8,1,y,0,left,left,right,left,NA,783,40974,66800,783,NA,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,9,222938,219612,220701,2737,188216,220714,NA,94058,2751,121299,225735,221726,224950,43737,224950,NA,NA,Sternberg Task,17,19285,18,yes,1024
94.73684211,94.73684211,1078.157895,1078.157895,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,18,18,18,0,0,18,NA,18,0,0,18,18,18,0,18,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,6,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,3 9 6 2,Kafkaesque Koffka,3.2.8,4,y,0,left,left,right,left,NA,1200,40974,66800,1200,NA,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,2,229072,225750,226836,2737,188216,226848,NA,94058,2751,121299,232285,227859,231084,43737,231084,NA,NA,Sternberg Task,18,20485,19,yes,1024
95,95,1070.75,1070.75,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,19,19,19,0,0,19,NA,19,0,0,19,19,19,0,19,0,NA,Fri Oct 25 19:03:25 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,7,11,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-2.csv,legacy,5 9 2 3,Kafkaesque Koffka,3.2.8,0,n,0,right,left,right,right,NA,930,40974,66800,930,NA,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,8,235627,232300,233390,2737,188216,233403,NA,94058,2751,121299,238571,234414,237640,43737,237640,NA,NA,Sternberg Task,19,21415,20,yes,1024
