acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_new_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_getting_started,count_incorrectFeeback,count_instruction1,count_instructions2,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,count_welcome,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,response_time_welcome,response_welcome,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_getting_started,time_incorrectFeeback,time_instruction1,time_instructions2,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1082,1082,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,Fri Oct 25 19:51:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-4.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1082,19715,NA,1082,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,24973,NA,22734,2728,NA,22746,NA,NA,2743,NA,28069,23759,26986,22468,26986,NA,NA,Sternberg Task,1,1082,1,yes,1024
100,100,814.5,814.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,1,0,0,1,NA,1,0,0,1,1,1,0,1,0,NA,Fri Oct 25 19:51:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-4.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,NA,left,NA,547,19715,NA,547,NA,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,31462,28128,29223,2728,NA,29235,NA,NA,2743,NA,34025,30247,33477,22468,33477,NA,NA,Sternberg Task,2,1629,2,yes,1024
100,100,921,921,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,2,0,0,2,NA,2,0,0,2,2,2,0,2,0,NA,Fri Oct 25 19:51:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-4.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,1134,19715,NA,1134,NA,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,4,37372,34041,35128,2728,NA,35140,NA,NA,2743,NA,40520,36154,39385,22468,39385,NA,NA,Sternberg Task,3,2763,3,yes,1024
100,100,878.25,878.25,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,3,0,0,3,NA,3,0,0,3,3,3,0,3,0,NA,Fri Oct 25 19:51:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-4.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,750,19715,NA,750,NA,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,43865,40535,41622,2728,NA,41635,NA,NA,2743,NA,46629,42649,45878,22468,45878,NA,NA,Sternberg Task,4,3513,4,yes,1024
100,100,863.4,863.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,4,0,0,4,NA,4,0,0,4,4,4,0,4,0,NA,Fri Oct 25 19:51:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-4.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,804,19715,NA,804,NA,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,49971,46645,47732,2728,NA,47744,NA,NA,2743,NA,52789,48758,51984,22468,51984,NA,NA,Sternberg Task,5,4317,5,yes,1024
100,100,845.3333333,845.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,5,5,0,0,5,NA,5,0,0,5,5,5,0,5,0,NA,Fri Oct 25 19:51:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-4.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,755,19715,NA,755,NA,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,5,56131,52805,53889,2728,NA,53901,NA,NA,2743,NA,58900,54915,58144,22468,58144,NA,NA,Sternberg Task,6,5072,6,yes,1024
100,100,786.2857143,786.2857143,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,6,0,0,6,NA,6,0,0,6,6,6,0,6,0,NA,Fri Oct 25 19:51:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-4.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,432,19715,NA,432,NA,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,62246,58916,60001,2728,NA,60014,NA,NA,2743,NA,64693,61029,64260,22468,64259,NA,NA,Sternberg Task,7,5504,7,yes,1024
100,100,834.375,834.375,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,7,0,0,7,NA,7,0,0,7,7,7,0,7,0,NA,Fri Oct 25 19:51:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-4.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,1171,19715,NA,1171,NA,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,68039,64709,65797,2728,NA,65809,NA,NA,2743,NA,71225,66823,70053,22468,70053,NA,NA,Sternberg Task,8,6675,8,yes,1024
100,100,874.7777778,874.7777778,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,8,0,0,8,NA,8,0,0,8,8,8,0,8,0,NA,Fri Oct 25 19:51:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-4.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,left,NA,1198,19715,NA,1198,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,74574,71241,72328,2728,NA,72340,NA,NA,2743,NA,77787,73356,76588,22468,76588,NA,NA,Sternberg Task,9,7873,9,yes,1024
100,100,882.4,882.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,9,0,0,9,NA,9,0,0,9,9,9,0,9,0,NA,Fri Oct 25 19:51:04 2019,The main experiment item,yes,SternbergTask.osexp,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/juancastaneda/Documents/Grad School /Advanced Quantitative Methods & Experimental Design/Sterberg Task/JC-subject-4.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,951,19715,NA,951,NA,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,81133,77803,78891,2728,NA,78903,NA,NA,2743,NA,84099,79917,83146,22468,83146,NA,NA,Sternberg Task,10,8824,10,yes,1024
