acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_PracticeLoop,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_PracticeLoop,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
87.70491803,87.70491803,841.9754098,841.9754098,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,121,0,121,121,0,0,121,121,0,0,121,121,121,121,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,109,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,6 8,Kafkaesque Koffka,3.2.8,0,n,0,right,1,left,right,NA,783,43067,2903,783,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,9,811068,46492,807667,808829,3369,129204,808842,737875,3415,126299,813082,813869,809856,813082,NA,Sternberg Task,107,102721,122,yes,1024
87.80487805,87.80487805,845.4552846,845.4552846,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,122,0,122,122,0,0,122,122,0,0,122,122,122,122,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,110,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,5 2 9 6 1 7,Kafkaesque Koffka,3.2.8,3,y,0,left,1,left,left,NA,1270,43067,2903,1270,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,9,817290,46492,813886,815047,3369,129204,815061,737875,3415,126299,819305,820578,816078,819305,NA,Sternberg Task,108,103991,123,yes,1024
87.90322581,87.90322581,844.3467742,844.3467742,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,123,0,123,123,0,0,123,123,0,0,123,123,123,123,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,111,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,6 1 2,Kafkaesque Koffka,3.2.8,3,y,0,left,1,left,left,NA,708,43067,2903,708,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,824012,46492,820598,821769,3369,129204,821783,737875,3415,126299,826026,826737,822796,826026,NA,Sternberg Task,109,104699,124,yes,1024
88,88,844.36,844.36,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,124,0,124,124,0,0,124,124,0,0,124,124,124,124,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,112,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,6 9 4 5 2,Kafkaesque Koffka,3.2.8,0,n,0,right,1,left,right,NA,846,43067,2903,846,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,1,830155,46492,826753,827912,3369,129204,827924,737875,3415,126299,832170,833020,828943,832169,NA,Sternberg Task,110,105545,125,yes,1024
88.0952381,88.0952381,844.4206349,844.4206349,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,125,0,125,125,0,0,125,125,0,0,125,125,125,125,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,113,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,4 6 2 5 1,Kafkaesque Koffka,3.2.8,5,y,0,left,1,left,left,NA,852,43067,2903,852,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,1,836421,46492,833036,834179,3369,129204,834192,737875,3415,126299,838435,839290,835209,838435,NA,Sternberg Task,111,106397,126,yes,1024
88.18897638,88.18897638,843.5275591,843.5275591,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,126,0,126,126,0,0,126,126,0,0,126,126,126,126,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,114,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,3 4 2,Kafkaesque Koffka,3.2.8,0,n,0,right,1,left,right,NA,731,43067,2903,731,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,5,842712,46492,839305,840471,3369,129204,840484,737875,3415,126299,844729,845464,841498,844729,NA,Sternberg Task,112,107128,127,yes,1024
88.28125,88.28125,842.203125,842.203125,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,127,0,127,127,0,0,127,127,0,0,127,127,127,127,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,115,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,4 3 2 5 8,Kafkaesque Koffka,3.2.8,2,y,0,left,1,left,left,NA,674,43067,2903,674,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,848889,46492,845485,846650,3369,129204,846662,737875,3415,126299,850903,851580,847674,850903,NA,Sternberg Task,113,107802,128,yes,1024
88.37209302,88.37209302,841.1085271,841.1085271,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,128,0,128,128,0,0,128,128,0,0,128,128,128,128,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,116,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,6 9 5,Kafkaesque Koffka,3.2.8,0,n,0,right,1,left,right,NA,701,43067,2903,701,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,8,854999,46492,851596,852758,3369,129204,852770,737875,3415,126299,857012,857718,853786,857012,NA,Sternberg Task,114,108503,129,yes,1024
88.46153846,88.46153846,840.3153846,840.3153846,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,129,0,129,129,0,0,129,129,0,0,129,129,129,129,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,117,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,6 9 7 4 5 1,Kafkaesque Koffka,3.2.8,2,y,0,left,1,left,left,NA,738,43067,2903,738,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,9,861120,46492,857734,858879,3369,129204,858892,737875,3415,126299,863135,863876,859908,863135,NA,Sternberg Task,115,109241,130,yes,1024
88.54961832,88.54961832,839.9694656,839.9694656,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,130,0,130,130,0,0,130,130,0,0,130,130,130,130,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,118,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,6 8 9 3 4 9,Kafkaesque Koffka,3.2.8,5,y,0,left,1,left,left,NA,795,43067,2903,795,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,867293,46492,863892,865050,3369,129204,865063,737875,3415,126299,869307,870105,866077,869306,NA,Sternberg Task,116,110036,131,yes,1024
88.63636364,88.63636364,842.3939394,842.3939394,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,131,0,131,131,0,0,131,131,0,0,131,131,131,131,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,119,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,7 9,Kafkaesque Koffka,3.2.8,0,n,0,right,1,left,right,NA,1160,43067,2903,1160,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,1,873508,46492,870121,871267,3369,129204,871280,737875,3415,126299,875521,876685,872296,875521,NA,Sternberg Task,117,111196,132,yes,1024
88.72180451,88.72180451,843.0902256,843.0902256,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,132,0,132,132,0,0,132,132,0,0,132,132,132,132,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,120,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,8 3,Kafkaesque Koffka,3.2.8,2,y,0,left,1,left,left,NA,935,43067,2903,935,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,3,880094,46492,876701,877854,3369,129204,877867,737875,3415,126299,882108,883046,878882,882108,NA,Sternberg Task,118,112131,133,yes,1024
88.80597015,88.80597015,842.2686567,842.2686567,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,133,0,133,133,0,0,133,133,0,0,133,133,133,133,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,121,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,8 1 6,Kafkaesque Koffka,3.2.8,3,y,0,left,1,left,left,NA,733,43067,2903,733,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,6,886455,46492,883063,884211,3369,129204,884225,737875,3415,126299,888471,889207,885240,888470,NA,Sternberg Task,119,112864,134,yes,1024
88.88888889,88.88888889,841.3925926,841.3925926,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,134,0,134,134,0,0,134,134,0,0,134,134,134,134,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,122,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,3 5 9 6 2 4,Kafkaesque Koffka,3.2.8,1,y,0,left,1,left,left,NA,724,43067,2903,724,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,3,892623,46492,889223,890383,3369,129204,890396,737875,3415,126299,894637,895364,891411,894637,NA,Sternberg Task,120,113588,135,yes,1024
88.23529412,88.23529412,842.1176471,842.1176471,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,135,0,135,135,0,0,135,135,0,0,135,135,135,135,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,123,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,6 5,Kafkaesque Koffka,3.2.8,2,y,0,right,1,left,right,NA,940,43067,2903,940,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,898777,46492,895381,896537,3369,129204,896550,737875,3415,126299,900791,901735,897564,900790,NA,Sternberg Task,120,114528,136,yes,1024
88.32116788,88.32116788,845.270073,845.270073,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,136,0,136,136,0,0,136,136,0,0,136,136,136,136,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,124,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,1 3 2 6 9,Kafkaesque Koffka,3.2.8,0,n,0,right,1,left,right,NA,1274,43067,2903,1274,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,5,905141,46492,895381,902900,3369,129204,902913,901752,3415,126299,907155,908433,903928,907155,NA,Sternberg Task,121,115802,137,yes,1024
88.4057971,88.4057971,846.673913,846.673913,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,137,0,137,137,0,0,137,137,0,0,137,137,137,137,0,Thu Oct 24 13:42:33 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,125,11,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1/CB-subject-2.csv,legacy,5 7 3 6 2,Kafkaesque Koffka,3.2.8,5,y,0,left,1,left,left,NA,1039,43067,2903,1039,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,2,911855,46492,908451,909615,3369,129204,909627,901752,3415,126299,913869,914913,910643,913869,NA,Sternberg Task,122,116841,138,yes,1024
