acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_fixation,count_incorrectFeedback,count_instruction1,count_instruction2,count_keyboard_response,count_logger,count_memorySet,count_new_loop,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instruction2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instruction2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_fixation,time_incorrectFeedback,time_instruction1,time_instruction2,time_keyboard_response,time_logger,time_memorySet,time_new_loop,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,984,984,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,984,1036,NA,984,NA,2,legacy,6,1024,2,48000,-16,experiment,4,even,6,6211,NA,4002,2022,4004,NA,2025,NA,8214,9199,5008,NA,3062,8214,NA,New experiment,1,984,1,yes,1024
100,100,878,878,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,772,1036,NA,772,NA,2,legacy,2,1024,2,48000,-16,experiment,4,even,5,12623,9271,10414,2022,10416,NA,2025,NA,14626,15399,11420,NA,3062,14626,NA,New experiment,2,1756,2,yes,1024
100,100,851.3333333,851.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,2,2,0,2,2,0,0,2,2,2,0,0,2,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,798,1036,NA,798,NA,2,legacy,4,1024,2,48000,-16,experiment,4,even,6,18749,15403,16540,2022,16543,NA,2025,NA,20752,21550,17546,NA,3062,20752,NA,New experiment,3,2554,3,yes,1024
100,100,854.5,854.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,3,0,3,3,0,0,3,3,3,0,0,3,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,864,1036,NA,864,NA,2,legacy,3,1024,2,48000,-16,experiment,4,even,2,24898,21555,22690,2022,22693,NA,2025,NA,26901,27766,23696,NA,3062,26901,NA,New experiment,4,3418,4,yes,1024
100,100,891.8,891.8,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,4,4,4,0,4,4,0,0,4,4,4,0,0,4,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,NA,left,NA,1041,1036,NA,1041,NA,2,legacy,5,1024,2,48000,-16,experiment,4,even,8,31122,27771,28914,2022,28916,NA,2025,NA,33125,34166,29919,NA,3062,33125,NA,New experiment,5,4459,5,yes,1024
100,100,847.6666667,847.6666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,5,0,5,5,0,0,5,5,5,0,0,5,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,627,1036,NA,627,NA,2,legacy,6,1024,2,48000,-16,experiment,4,even,4,37520,34171,35313,2022,35315,NA,2025,NA,39523,40150,36317,NA,3062,39523,NA,New experiment,6,5086,6,yes,1024
100,100,805.7142857,805.7142857,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,6,0,6,6,0,0,6,6,6,0,0,6,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,554,1036,NA,554,NA,2,legacy,2,1024,2,48000,-16,experiment,4,even,4,43497,40155,41289,2022,41291,NA,2025,NA,45500,46054,42294,NA,3062,45500,NA,New experiment,7,5640,7,yes,1024
100,100,776,776,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,7,0,7,7,0,0,7,7,7,0,0,7,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,568,1036,NA,568,NA,2,legacy,1,1024,2,48000,-16,experiment,4,even,6,49403,46059,47195,2022,47197,NA,2025,NA,51406,51974,48200,NA,3062,51406,NA,New experiment,8,6208,8,yes,1024
100,100,828.3333333,828.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,8,0,8,8,0,0,8,8,8,0,0,8,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1247,1036,NA,1247,NA,2,legacy,5,1024,2,48000,-16,experiment,4,even,3,55332,51979,53124,2022,53126,NA,2025,NA,57334,58582,54129,NA,3062,57334,NA,New experiment,9,7455,9,yes,1024
100,100,831,831,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,9,9,0,9,9,0,0,9,9,9,0,0,9,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,right,NA,left,NA,855,1036,NA,855,NA,2,legacy,3,1024,2,48000,-16,experiment,4,even,4,61938,58587,59729,2022,59732,NA,2025,NA,63942,64798,60735,NA,3062,63941,NA,New experiment,10,8310,10,yes,1024
100,100,822.1818182,822.1818182,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,10,10,10,0,10,10,0,0,10,10,10,0,0,10,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,734,1036,NA,734,NA,2,legacy,1,1024,2,48000,-16,experiment,4,even,3,68149,64803,65940,2022,65943,NA,2025,NA,70152,70886,66946,NA,3062,70152,NA,New experiment,11,9044,11,yes,1024
100,100,808.1666667,808.1666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,11,11,11,0,11,11,0,0,11,11,11,0,0,11,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,right,NA,left,NA,654,1036,NA,654,NA,2,legacy,4,1024,2,48000,-16,experiment,4,even,5,74237,70892,72028,2022,72031,NA,2025,NA,76240,76894,73034,NA,3062,76240,NA,New experiment,12,9698,12,yes,1024
100,100,801.4615385,801.4615385,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,12,12,12,0,12,12,0,0,12,12,12,0,0,12,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,11,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,5 7 3,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,721,1036,1356,721,NA,2,legacy,3,1024,2,48000,-16,experiment,4,even,9,81657,76899,79448,2022,79451,NA,2025,77929,83660,84382,80454,79286,3062,83660,NA,New experiment,13,10419,13,yes,1024
100,100,803,803,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,13,13,13,0,13,13,0,0,13,13,13,0,0,13,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,11,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,3 5 7 1,Kafkaesque Koffka,3.2.8,3,y,0,left,right,right,left,NA,823,1036,1356,823,NA,2,legacy,4,1024,2,48000,-16,experiment,4,even,7,87739,84387,85531,2022,85533,NA,2025,77929,89742,90566,86536,79286,3062,89742,NA,New experiment,14,11242,14,yes,1024
100,100,799.4,799.4,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,14,14,14,0,14,14,0,0,14,14,14,0,0,14,0,10/27/19 16:40,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,11,C:/Users/DLGoupil/Desktop/dg-subject-4.csv,legacy,2 5 1 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,749,1036,1356,749,NA,2,legacy,4,1024,2,48000,-16,experiment,4,even,6,93918,90571,91710,2022,91712,NA,2025,77929,95921,96670,92715,79286,3062,95921,NA,New experiment,15,11991,15,yes,1024
