acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_fixation,count_incorrectFeedback,count_instruction1,count_instruction2,count_keyboard_response,count_logger,count_memorySet,count_new_loop,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instruction2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instruction2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_fixation,time_incorrectFeedback,time_instruction1,time_instruction2,time_keyboard_response,time_logger,time_memorySet,time_new_loop,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
90.90909091,90.90909091,1311,1311,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,10,10,10,0,10,10,0,0,10,10,10,0,0,10,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,1007,17297,NA,1007,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,93714,90370,91506,2648,91508,37744,2652,NA,95717,96725,92511,NA,19950,95717,NA,New experiment,10,14421,11,yes,1024
91.66666667,91.66666667,1347.583333,1347.583333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,11,11,11,0,11,11,0,0,11,11,11,0,0,11,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,NA,left,NA,1750,17297,NA,1750,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,100075,96730,97866,2648,97869,37744,2652,NA,102078,103829,98872,NA,19950,102078,NA,New experiment,11,16171,12,yes,1024
92.30769231,92.30769231,1325.307692,1325.307692,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,12,12,12,0,12,12,0,0,12,12,12,0,0,12,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,6 7 8 5,Kafkaesque Koffka,3.2.8,3,y,0,left,right,right,left,NA,1058,17297,8780,1058,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,8,116016,103834,113807,2648,113809,37744,2652,104865,118019,119077,114813,113646,19950,118019,NA,New experiment,12,17229,13,yes,1024
92.85714286,92.85714286,1360.785714,1360.785714,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,13,13,13,0,13,13,0,0,13,13,13,0,0,13,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,6 9 7 4 5 1,Kafkaesque Koffka,3.2.8,2,y,0,left,right,right,left,NA,1822,17297,8780,1822,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,9,122428,119082,120221,2648,120223,37744,2652,104865,124431,126253,121225,113646,19950,124431,NA,New experiment,13,19051,14,yes,1024
93.33333333,93.33333333,1352.733333,1352.733333,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,14,14,14,0,14,14,0,0,14,14,14,0,0,14,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,2 7 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,1240,17297,8780,1240,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,8,129602,126258,127393,2648,127396,37744,2652,104865,131605,132845,128399,113646,19950,131605,NA,New experiment,14,20291,15,yes,1024
93.75,93.75,1379.625,1379.625,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,15,15,15,0,15,15,0,0,15,15,15,0,0,15,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,2 8 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,1783,17297,8780,1783,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,6,136194,132850,133985,2648,133988,37744,2652,104865,138197,139981,134991,113646,19950,138197,NA,New experiment,15,22074,16,yes,1024
94.11764706,94.11764706,1380.294118,1380.294118,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,16,16,16,0,16,16,0,0,16,16,16,0,0,16,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,7 8 4 6 9 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,right,left,NA,1391,17297,8780,1391,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,143331,139987,141123,2648,141125,37744,2652,104865,145334,146725,142128,113646,19950,145334,NA,New experiment,16,23465,17,yes,1024
94.44444444,94.44444444,1359.444444,1359.444444,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,17,17,17,0,17,17,0,0,17,17,17,0,0,17,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,7 1 8 5 6 2,Kafkaesque Koffka,3.2.8,2,y,0,left,right,right,left,NA,1005,17297,8780,1005,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,1,150077,146730,147869,2648,147871,37744,2652,104865,152080,153086,148874,113646,19950,152080,NA,New experiment,17,24470,18,yes,1024
94.73684211,94.73684211,1340.315789,1340.315789,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,18,18,18,0,18,18,0,0,18,18,18,0,0,18,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,996,17297,8780,996,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,156430,153090,154221,2648,154224,37744,2652,104865,158433,159429,155227,113646,19950,158433,NA,New experiment,18,25466,19,yes,1024
95,95,1325.75,1325.75,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,19,19,19,0,19,19,0,0,19,19,19,0,0,19,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,6 2,Kafkaesque Koffka,3.2.8,1,y,0,left,right,right,left,NA,1049,17297,8780,1049,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,6,162777,159434,160568,2648,160571,37744,2652,104865,164780,165829,161574,113646,19950,164780,NA,New experiment,19,26515,20,yes,1024
