acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExpSequence,count_ExperimentLoop,count_Fixation,count_ISI,count_Instruction1,count_Instructions2,count_MemorySet,count_PracticeLoop,count_Probe,count_ThankYou,count_experiment,count_incorrectFeedback,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instructions2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instructions2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExpSequence,time_ExperimentLoop,time_Fixation,time_ISI,time_Instruction1,time_Instructions2,time_MemorySet,time_PracticeLoop,time_Probe,time_ThankYou,time_experiment,time_incorrectFeedback,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,815,815,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/27/19 19:27,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,E:/Classwork/AQMAED/Stenberg/MS-subject-3.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,NA,NA,left,815,72833,NA,NA,815,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,NA,75591,NA,75593,77803,2228,NA,76597,75061,79807,NA,2225,NA,79808,80624,Sternberg Task,1,815,1,yes,1024
100,100,751,751,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,10/27/19 19:27,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,E:/Classwork/AQMAED/Stenberg/MS-subject-3.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,687,72833,NA,NA,687,2,legacy,2,1024,2,48000,-16,experiment,3,odd,5,80689,81786,NA,81788,83996,2228,NA,82793,75061,86002,NA,2225,NA,86003,86690,Sternberg Task,2,1502,2,yes,1024
100,100,729,729,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,2,0,2,2,0,0,2,0,2,0,0,2,2,2,10/27/19 19:27,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,E:/Classwork/AQMAED/Stenberg/MS-subject-3.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,685,72833,NA,NA,685,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,86703,87804,NA,87806,90017,2228,NA,88810,75061,92023,NA,2225,NA,92023,92708,Sternberg Task,3,2187,3,yes,1024
75,75,853,853,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,3,3,0,3,3,0,0,3,0,3,0,0,3,3,3,10/27/19 19:27,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,E:/Classwork/AQMAED/Stenberg/MS-subject-3.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,right,left,NA,NA,right,1225,72833,NA,NA,1225,2,legacy,3,1024,2,48000,-16,experiment,3,odd,4,92742,93848,NA,93850,96059,2228,NA,94855,75061,98065,NA,2225,NA,98066,99291,Sternberg Task,3,3412,4,yes,1024
80,80,823.6,823.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,4,4,0,4,4,0,0,4,0,4,0,0,4,4,4,10/27/19 19:27,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,E:/Classwork/AQMAED/Stenberg/MS-subject-3.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,NA,left,706,72833,NA,NA,706,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,92742,100403,NA,100405,102614,2228,NA,101410,75061,104619,NA,2225,99297,104620,105326,Sternberg Task,4,4118,5,yes,1024
83.33333333,83.33333333,816.3333333,816.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,10/27/19 19:27,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,E:/Classwork/AQMAED/Stenberg/MS-subject-3.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,NA,left,780,72833,NA,NA,780,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,105331,106425,NA,106427,108636,2228,NA,107431,75061,110642,NA,2225,99297,110642,111422,Sternberg Task,5,4898,6,yes,1024
85.71428571,85.71428571,878.4285714,878.4285714,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,0,6,6,0,0,6,0,6,0,0,6,6,6,10/27/19 19:27,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,E:/Classwork/AQMAED/Stenberg/MS-subject-3.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,NA,left,1251,72833,NA,NA,1251,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,111427,112523,NA,112525,114735,2228,NA,113530,75061,116741,NA,2225,99297,116741,117992,Sternberg Task,6,6149,7,yes,1024
87.5,87.5,856.625,856.625,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,0,7,7,0,0,7,0,7,0,0,7,7,7,10/27/19 19:27,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,E:/Classwork/AQMAED/Stenberg/MS-subject-3.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,704,72833,NA,NA,704,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,117997,119095,NA,119097,121305,2228,NA,120101,75061,123310,NA,2225,99297,123310,124015,Sternberg Task,7,6853,8,yes,1024
88.88888889,88.88888889,853.1111111,853.1111111,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,0,8,8,0,0,8,0,8,0,0,8,8,8,10/27/19 19:27,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,E:/Classwork/AQMAED/Stenberg/MS-subject-3.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,825,72833,NA,NA,825,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,124020,125128,NA,125130,127339,2228,NA,126134,75061,129344,NA,2225,99297,129344,130169,Sternberg Task,8,7678,9,yes,1024
90,90,849.4,849.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,0,9,9,0,0,9,0,9,0,0,9,9,9,10/27/19 19:27,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,E:/Classwork/AQMAED/Stenberg/MS-subject-3.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,816,72833,NA,NA,816,2,legacy,4,1024,2,48000,-16,experiment,3,odd,6,130176,131280,NA,131282,133493,2228,NA,132287,75061,135498,NA,2225,99297,135499,136315,Sternberg Task,9,8494,10,yes,1024
