acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions1,correct_new_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instructions1,count_instructions2,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instructions1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_instructions1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instructions1,time_instructions2,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
91.35802469,91.35802469,762.8395062,762.8395062,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,80,80,80,0,0,80,80,0,0,80,80,80,0,80,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,68,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,2 5 1 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,566,410332,4441,566,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,903687,900414,901484,2207,495081,901485,751951,2213,490640,906255,902486,905688,412546,905688,NA,Sternberg task,74,61790,81,yes,1024
91.46341463,91.46341463,759.0609756,759.0609756,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,81,81,81,0,0,81,81,0,0,81,81,81,0,81,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,69,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,9 5 3 8 4,Kafkaesque Koffka,3.2.8,1,y,0,left,left,left,left,NA,453,410332,4441,453,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,9,909536,906263,907332,2207,495081,907334,751951,2213,490640,911991,908335,911537,412546,911537,NA,Sternberg task,75,62243,82,yes,1024
90.36144578,90.36144578,755.9036145,755.9036145,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,82,82,82,0,0,82,82,0,0,82,82,82,0,82,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,70,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,7 4 2 6 3 5,Kafkaesque Koffka,3.2.8,6,y,0,right,left,left,right,NA,497,410332,4441,497,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,5,915272,911998,913068,2207,495081,913070,751951,2213,490640,917772,914071,917274,412546,917274,NA,Sternberg task,75,62740,83,yes,1024
90.47619048,90.47619048,754.3571429,754.3571429,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,83,83,83,0,0,83,83,0,0,83,83,83,0,83,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,71,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,8 5 7 3 6,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,626,410332,4441,626,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,9,921055,911998,918850,2207,495081,918852,917780,2213,490640,923683,919854,923056,412546,923056,NA,Sternberg task,76,63366,84,yes,1024
90.58823529,90.58823529,751.8823529,751.8823529,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,84,84,84,0,0,84,84,0,0,84,84,84,0,84,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,72,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,left,left,NA,544,410332,4441,544,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,8,926963,923690,924760,2207,495081,924761,917780,2213,490640,929509,925762,928964,412546,928964,NA,Sternberg task,77,63910,85,yes,1024
90.69767442,90.69767442,749.244186,749.244186,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,85,85,85,0,0,85,85,0,0,85,85,85,0,85,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,73,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,2 6 4 3 9,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,525,410332,4441,525,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,1,932789,929516,930585,2207,495081,930587,917780,2213,490640,935315,931588,934790,412546,934790,NA,Sternberg task,78,64435,86,yes,1024
90.8045977,90.8045977,750.1724138,750.1724138,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,86,86,86,0,0,86,86,0,0,86,86,86,0,86,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,74,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,1 4 9 3 2 5,Kafkaesque Koffka,3.2.8,3,y,0,left,left,left,left,NA,830,410332,4441,830,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,9,938598,935323,936394,2207,495081,936396,917780,2213,490640,941429,937397,940599,412546,940599,NA,Sternberg task,79,65265,87,yes,1024
90.90909091,90.90909091,746.3863636,746.3863636,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,87,87,87,0,0,87,87,0,0,87,87,87,0,87,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,75,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,2,y,0,left,left,left,left,NA,417,410332,4441,417,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,1,944712,941436,942509,2207,495081,942510,917780,2213,490640,947130,943511,946713,412546,946713,NA,Sternberg task,80,65682,88,yes,1024
91.01123596,91.01123596,744.6741573,744.6741573,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,88,88,88,0,0,88,88,0,0,88,88,88,0,88,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,76,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,6 3 1 7 9 8,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,594,410332,4441,594,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,950411,947138,948207,2207,495081,948209,917780,2213,490640,953006,949210,952412,412546,952412,NA,Sternberg task,81,66276,89,yes,1024
91.11111111,91.11111111,743.4777778,743.4777778,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,89,89,89,0,0,89,89,0,0,89,89,89,0,89,0,10/14/19 14:04,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,77,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-2.csv,legacy,6 2 9 3 8 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,637,410332,4441,637,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,1,956287,953013,954082,2207,495081,954084,917780,2213,490640,958926,955085,958288,412546,958288,NA,Sternberg task,82,66913,90,yes,1024
