acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_memorySet_1,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_incorrectFeedback,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_incorrectFeedback,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_memorySet_1,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
92.70833333,92.70833333,687.2395833,687.2395833,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,95,95,0,0,95,95,0,0,95,95,95,95,0,95,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,83,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,6 9 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,835,2710,520589,6716,835,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,8,1166559,1162948,5284,608595,1164308,1077402,5350,601875,1168585,1169427,1164282,1165334,525956,1168585,NA,Sternberg task,89,65975,96,yes,1024
92.78350515,92.78350515,686.7938144,686.7938144,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,96,96,0,0,96,96,0,0,96,96,96,96,0,96,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,84,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,2 8 6 3 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,644,2710,520589,6716,644,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,7,1173064,1169461,5284,608595,1170814,1077402,5350,601875,1175090,1175742,1170788,1171839,525956,1175090,NA,Sternberg task,90,66619,97,yes,1024
92.85714286,92.85714286,685.5816327,685.5816327,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,97,97,0,0,97,97,0,0,97,97,97,97,0,97,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,85,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,6 7 9 3 1 2,Kafkaesque Koffka,3.2.8,1,y,0,left,right,right,left,left,NA,568,2710,520589,6716,568,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,1179384,1175780,5284,608595,1177134,1077402,5350,601875,1181410,1181985,1177109,1178160,525956,1181410,NA,Sternberg task,91,67187,98,yes,1024
92.92929293,92.92929293,686.9292929,686.9292929,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,98,98,0,0,98,98,0,0,98,98,98,98,0,98,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,86,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,8 2 1 4 5 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,819,2710,520589,6716,819,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,7,1185635,1182029,5284,608595,1183384,1077402,5350,601875,1187663,1188491,1183357,1184409,525956,1187663,NA,Sternberg task,92,68006,99,yes,1024
93,93,686.77,686.77,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,99,99,0,0,99,99,0,0,99,99,99,99,0,99,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,87,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,2 3 7 4,Kafkaesque Koffka,3.2.8,1,y,0,left,right,right,left,left,NA,671,2710,520589,6716,671,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,2,1192135,1188525,5284,608595,1189884,1077402,5350,601875,1194160,1194838,1189850,1190910,525956,1194160,NA,Sternberg task,93,68677,100,yes,1024
93.06930693,93.06930693,684.5346535,684.5346535,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,100,100,0,0,100,100,0,0,100,100,100,100,0,100,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,88,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,461,2710,520589,6716,461,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,8,1198478,1194874,5284,608595,1196228,1077402,5350,601875,1200504,1200972,1196201,1197253,525956,1200503,NA,Sternberg task,94,69138,101,yes,1024
93.1372549,93.1372549,684.9509804,684.9509804,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,101,101,0,0,101,101,0,0,101,101,101,101,0,101,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,89,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,7 6 4 8 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,727,2710,520589,6716,727,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,9,1204625,1201005,5284,608595,1202376,1077402,5350,601875,1206652,1207387,1202350,1203400,525956,1206651,NA,Sternberg task,95,69865,102,yes,1024
93.2038835,93.2038835,682.8737864,682.8737864,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,102,102,0,0,102,102,0,0,102,102,102,102,0,102,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,90,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,4 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,471,2710,520589,6716,471,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,6,1211043,1207423,5284,608595,1208793,1077402,5350,601875,1213070,1213549,1208762,1209818,525956,1213069,NA,Sternberg task,96,70336,103,yes,1024
93.26923077,93.26923077,681.2019231,681.2019231,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,103,103,0,0,103,103,0,0,103,103,103,103,0,103,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,91,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,8 7 3,Kafkaesque Koffka,3.2.8,1,y,0,left,right,right,left,left,NA,509,2710,520589,6716,509,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,8,1217200,1213593,5284,608595,1214950,1077402,5350,601875,1219226,1219742,1214922,1215975,525956,1219225,NA,Sternberg task,97,70845,104,yes,1024
93.33333333,93.33333333,680.9238095,680.9238095,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,104,104,0,0,104,104,0,0,104,104,104,104,0,104,0,Sun Oct 20 20:49:33 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,no,768,legacy,92,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,1 5 3 2 8,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,left,right,NA,652,2710,520589,6716,652,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,4,1223383,1219777,5284,608595,1221133,1077402,5350,601875,1225409,1226069,1221106,1222158,525956,1225409,NA,Sternberg task,98,71497,105,yes,1024
