acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExperimentLoop,count_Fixation,count_ISI,count_IncorrectFeedback,count_Instruction1,count_Instruction2,count_MemorySet,count_Practiceloop,count_Probe,count_ThankYou,count_expSequence,count_experiment,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Practiceloop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instruction2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instruction2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExperimentLoop,time_Fixation,time_ISI,time_IncorrectFeedback,time_Instruction1,time_Instruction2,time_MemorySet,time_Practiceloop,time_Probe,time_ThankYou,time_expSequence,time_experiment,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1062,1062,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/19 12:32,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Carolyn/Desktop/cp_subject-1.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,1062,5659,NA,NA,1062,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,NA,NA,20683,22890,NA,6288,NA,21687,11948,24893,NA,20678,6279,24893,25955,Sternberg Task,1,1062,1,yes,1024
50,50,1531,1531,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,10/16/19 12:32,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Carolyn/Desktop/cp_subject-1.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,None,left,NA,NA,None,2000,5659,NA,NA,2000,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,26157,NA,27340,29546,NA,6288,NA,28343,11948,31550,NA,27336,6279,31551,33551,Sternberg Task,1,3062,2,yes,1024
66.66666667,66.66666667,1407.333333,1407.333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,0,2,2,2,0,0,2,0,2,0,2,0,2,2,10/16/19 12:32,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Carolyn/Desktop/cp_subject-1.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,1160,5659,NA,NA,1160,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,26157,NA,34769,36975,33590,6288,NA,35772,11948,38978,NA,34765,6279,38979,40139,Sternberg Task,2,4222,3,yes,1024
75,75,1303.5,1303.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,0,3,3,3,0,0,3,0,3,0,3,0,3,3,10/16/19 12:32,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Carolyn/Desktop/cp_subject-1.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,992,5659,NA,NA,992,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,40182,NA,41360,43567,33590,6288,NA,42363,11948,45570,NA,41356,6279,45571,46563,Sternberg Task,3,5214,4,yes,1024
80,80,1261.6,1261.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,4,0,4,4,4,0,0,4,0,4,0,4,0,4,4,10/16/19 12:32,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Carolyn/Desktop/cp_subject-1.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,NA,left,1094,5659,NA,NA,1094,2,legacy,2,1024,2,48000,-16,experiment,1,odd,4,46607,NA,47787,49993,33590,6288,NA,48790,11948,51997,NA,47783,6279,51997,53091,Sternberg Task,4,6308,5,yes,1024
83.33333333,83.33333333,1326.5,1326.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,0,5,5,5,0,0,5,0,5,0,5,0,5,5,10/16/19 12:32,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Carolyn/Desktop/cp_subject-1.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,NA,left,1651,5659,NA,NA,1651,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,53132,NA,54310,56517,33590,6288,NA,55313,11948,58520,NA,54306,6279,58520,60171,Sternberg Task,5,7959,6,yes,1024
85.71428571,85.71428571,1352.857143,1352.857143,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,0,6,6,6,0,0,6,0,6,0,6,0,6,6,10/16/19 12:32,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Carolyn/Desktop/cp_subject-1.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,NA,NA,left,1511,5659,NA,NA,1511,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,60215,NA,61395,63601,33590,6288,NA,62398,11948,65604,NA,61391,6279,65604,67116,Sternberg Task,6,9470,7,yes,1024
87.5,87.5,1311.5,1311.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,0,7,7,7,0,0,7,0,7,0,7,0,7,7,10/16/19 12:32,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Carolyn/Desktop/cp_subject-1.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,NA,NA,left,1022,5659,NA,NA,1022,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,67157,NA,68338,70545,33590,6288,NA,69341,11948,72548,NA,68334,6279,72549,73571,Sternberg Task,7,10492,8,yes,1024
77.77777778,77.77777778,1388,1388,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,8,0,8,8,8,0,0,8,0,8,0,8,0,8,8,10/16/19 12:32,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Carolyn/Desktop/cp_subject-1.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,None,left,NA,NA,None,2000,5659,NA,NA,2000,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,73615,NA,74792,76999,33590,6288,NA,75796,11948,79002,NA,74789,6279,79002,81002,Sternberg Task,7,12492,9,yes,1024
70,70,1404,1404,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,9,0,9,9,9,0,0,9,0,9,0,9,0,9,9,10/16/19 12:32,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Carolyn/Desktop/cp_subject-1.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,left,left,NA,NA,left,1548,5659,NA,NA,1548,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,73615,NA,82220,84427,81040,6288,NA,83223,11948,86430,NA,82216,6279,86431,87979,Sternberg Task,7,14040,10,yes,1024
