acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_ISI,count_Instruction1,count_Instructions2,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_keyboard_response,count_logger,count_memorySet,count_practiceloop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceloop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instructions2,response_keyboard_response,response_thankYou,response_time,response_time_Instruction1,response_time_Instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_Instruction1,time_Instructions2,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_keyboard_response,time_logger,time_memorySet,time_practiceloop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Oct 27 19:01:07 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-2.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,None,left,NA,None,NA,2000,37077,NA,2000,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,43557,3836,NA,NA,41319,3817,NA,41331,NA,45571,47571,42343,40925,45571,NA,Sternberg Task,0,2000,1,yes,1024
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,Sun Oct 27 19:01:07 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-2.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,None,left,NA,None,NA,2000,37077,NA,2000,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,51013,3836,NA,NA,48773,3817,NA,48784,47640,53025,55025,49799,40925,53025,NA,Sternberg Task,0,4000,2,yes,1024
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,2,0,0,2,2,0,0,2,2,2,2,2,0,2,0,Sun Oct 27 19:01:07 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-2.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,None,left,NA,None,NA,2000,37077,NA,2000,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,58390,3836,NA,NA,56149,3817,NA,56163,55039,60402,62402,57175,40925,60402,NA,Sternberg Task,0,6000,3,yes,1024
0,0,2000,2000,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,3,0,0,3,3,0,0,3,3,3,3,3,0,3,0,Sun Oct 27 19:01:07 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-2.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,None,left,NA,None,NA,2000,37077,NA,2000,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,6,65765,3836,NA,NA,63524,3817,NA,63536,62419,67778,69778,64550,40925,67778,NA,Sternberg Task,0,8000,4,yes,1024
0,0,1783.2,1783.2,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,4,0,0,4,4,0,0,4,4,4,4,4,0,4,0,Sun Oct 27 19:01:07 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-2.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,right,left,NA,right,NA,916,37077,NA,916,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,4,73138,3836,NA,NA,70897,3817,NA,70912,69792,75152,76069,71925,40925,75152,NA,Sternberg Task,0,8916,5,yes,1024
0,0,1819.333333,1819.333333,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,5,0,0,5,5,0,0,5,5,5,5,5,0,5,0,Sun Oct 27 19:01:07 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-2.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,None,left,NA,None,NA,2000,37077,NA,2000,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,5,79430,3836,NA,NA,77191,3817,NA,77203,76084,81442,83442,78216,40925,81442,NA,Sternberg Task,0,10916,6,yes,1024
14.28571429,14.28571429,1644.285714,1644.285714,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,0,0,6,6,0,0,6,6,6,6,6,0,6,0,Sun Oct 27 19:01:07 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-2.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,594,37077,NA,594,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,86801,3836,NA,NA,84562,3817,NA,84574,83456,88813,89408,85587,40925,88813,NA,Sternberg Task,1,11510,7,yes,1024
25,25,1544.125,1544.125,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,0,0,7,7,0,0,7,7,7,7,7,0,7,0,Sun Oct 27 19:01:07 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-2.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,left,NA,843,37077,NA,843,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,8,92773,3836,NA,89425,90532,3817,NA,90544,83456,94786,95631,91556,40925,94786,NA,Sternberg Task,2,12353,8,yes,1024
33.33333333,33.33333333,1443.333333,1443.333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,0,0,8,8,0,0,8,8,8,8,8,0,8,0,Sun Oct 27 19:01:07 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-2.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,637,37077,NA,637,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,98994,3836,NA,95648,96756,3817,NA,96768,83456,101006,101645,97780,40925,101005,NA,Sternberg Task,3,12990,9,yes,1024
40,40,1363.6,1363.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,0,0,9,9,0,0,9,9,9,9,9,0,9,0,Sun Oct 27 19:01:07 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-2.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,646,37077,NA,646,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,105009,3836,NA,101660,102771,3817,NA,102783,83456,107021,107668,103795,40925,107021,NA,Sternberg Task,4,13636,10,yes,1024
