"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboardResponse","correct_response","count_ISI","count_Practiceloop","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrect","count_instruction1","count_instructions2","count_keyboardResponse","count_logger","count_memorySet","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboardResponse","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboardResponse","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Practiceloop","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrect","time_instruction1","time_instructions2","time_keyboardResponse","time_logger","time_memorySet","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","None","space","NA","None","NA","2000","243778","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","257512","248379","NA","255295","4586","NA","255302","NA","4590","NA","259519","261519","256308","259519","NA","Sternberg task","0","2000","1","yes","1024"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","0","1","1","0","0","1","1","0","0","1","1","1","1","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","None","space","NA","None","NA","2000","243778","NA","2000","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","265039","248379","NA","262823","4586","NA","262826","261608","4590","NA","267045","269045","263834","267045","NA","Sternberg task","0","4000","2","yes","1024"
"33.3333333333","33.3333333333","1751.66666667","1751.66666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","0","2","2","0","0","2","2","0","0","2","2","2","2","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","left","space","NA","left","NA","1255","243778","NA","1255","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","272710","248379","NA","270498","4586","NA","270500","269217","4590","NA","274713","275968","271505","274713","NA","Sternberg task","1","5255","3","yes","1024"
"50","50","1740.25","1740.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","0","0","3","3","0","0","3","3","3","3","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","right","space","NA","right","NA","1706","243778","NA","1706","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","279309","248379","275979","277101","4586","NA","277103","269217","4590","NA","281312","283018","278106","281312","NA","Sternberg task","2","6961","4","yes","1024"
"60","60","1745.2","1745.2","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","0","4","4","0","0","4","4","0","0","4","4","4","4","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","left","space","NA","left","NA","1765","243778","NA","1765","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","286360","248379","283038","284152","4586","NA","284153","269217","4590","NA","288363","290128","285157","288363","NA","Sternberg task","3","8726","5","yes","1024"
"66.6666666667","66.6666666667","1694.83333333","1694.83333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","space","NA","right","NA","1443","243778","NA","1443","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","293523","248379","290155","291317","4586","NA","291319","269217","4590","NA","295526","296970","292321","295526","NA","Sternberg task","4","10169","6","yes","1024"
"71.4285714286","71.4285714286","1659.57142857","1659.57142857","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","space","NA","left","NA","1448","243778","NA","1448","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","300288","248379","296979","298081","4586","NA","298082","269217","4590","NA","302291","303739","299086","302291","NA","Sternberg task","5","11617","7","yes","1024"
"62.5","62.5","1495.375","1495.375","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","right","space","NA","right","NA","346","243778","NA","346","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","307096","248379","303758","304888","4586","NA","304889","269217","4590","NA","309103","309450","305893","309102","NA","Sternberg task","5","11963","8","yes","1024"
"66.6666666667","66.6666666667","1395","1395","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","0","8","8","0","0","8","8","0","0","8","8","8","8","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","space","NA","left","NA","592","243778","NA","592","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","312945","248379","303758","310738","4586","NA","310740","309542","4590","NA","314947","315539","311742","314947","NA","Sternberg task","6","12555","9","yes","1024"
"70","70","1368.8","1368.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","space","NA","right","NA","1133","243778","NA","1133","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","318951","248379","315554","316741","4586","NA","316742","309542","4590","NA","320955","322089","317746","320954","NA","Sternberg task","7","13688","10","yes","1024"
"72.7272727273","72.7272727273","1343.09090909","1343.09090909","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","10","0","10","10","0","0","10","10","0","0","10","10","10","10","0","10/02/18 14:26:58","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-1.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","right","space","NA","right","NA","1086","243778","NA","1086","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","325520","248379","322124","323311","4586","NA","323314","309542","4590","NA","327523","328610","324317","327523","NA","Sternberg task","8","14774","11","yes","1024"
