"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1661","1661","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/05/18 14:43:52","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Knitwitty/Documents/subject-2.csv","legacy","1 7 9 8 5","Jazzy James","3.1.9","4","y","0","left","right","NA","left","NA","1661","31612","NA","1661","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","42859","NA","40644","3052","NA","40648","NA","3057","NA","44865","46527","41653","34671","44864","NA","Sternberg task","1","1661","1","yes","1024"
"100","100","1221","1221","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/05/18 14:43:52","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Knitwitty/Documents/subject-2.csv","legacy","2 9 4","Jazzy James","3.1.9","3","y","0","left","right","NA","left","NA","781","31612","NA","781","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","49954","46561","47739","3052","NA","47744","NA","3057","NA","51960","52743","48749","34671","51960","NA","Sternberg task","2","2442","2","yes","1024"
"100","100","992","992","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/05/18 14:43:52","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Knitwitty/Documents/subject-2.csv","legacy","1 5 2 9","Jazzy James","3.1.9","2","y","0","left","right","NA","left","NA","534","31612","NA","534","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","56154","52759","53940","3052","NA","53944","NA","3057","NA","58160","58695","54949","34671","58160","NA","Sternberg task","3","2976","3","yes","1024"
"100","100","896","896","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/05/18 14:43:52","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Knitwitty/Documents/subject-2.csv","legacy","3 1 9 4","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","608","31612","NA","608","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","62102","58711","59887","3052","NA","59891","NA","3057","NA","64109","64719","60896","34671","64108","NA","Sternberg task","4","3584","4","yes","1024"
"100","100","834.8","834.8","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/05/18 14:43:52","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Knitwitty/Documents/subject-2.csv","legacy","9 6 7 4 5","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","590","31612","NA","590","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","68129","64735","65913","3052","NA","65917","NA","3057","NA","70136","70727","66923","34671","70135","NA","Sternberg task","5","4174","5","yes","1024"
"100","100","807.333333333","807.333333333","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/05/18 14:43:52","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Knitwitty/Documents/subject-2.csv","legacy","5","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","670","31612","NA","670","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","74146","70743","71931","3052","NA","71936","NA","3057","NA","76152","76823","72941","34671","76152","NA","Sternberg task","6","4844","6","yes","1024"
"100","100","782.285714286","782.285714286","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/05/18 14:43:52","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Knitwitty/Documents/subject-2.csv","legacy","6","Jazzy James","3.1.9","1","y","0","left","right","NA","left","NA","632","31612","NA","632","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","80247","76840","78032","3052","NA","78037","NA","3057","NA","82254","82887","79042","34671","82253","NA","Sternberg task","7","5476","7","yes","1024"
"100","100","740.75","740.75","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/05/18 14:43:52","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Knitwitty/Documents/subject-2.csv","legacy","4 8","Jazzy James","3.1.9","1","y","0","left","right","NA","left","NA","450","31612","NA","450","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","86301","82904","84086","3052","NA","84090","NA","3057","NA","88308","88759","85096","34671","88307","NA","Sternberg task","8","5926","8","yes","1024"
"100","100","720.333333333","720.333333333","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/05/18 14:43:52","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Knitwitty/Documents/subject-2.csv","legacy","4 1 5","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","557","31612","NA","557","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","92187","88775","89972","3052","NA","89976","NA","3057","NA","94193","94751","90981","34671","94193","NA","Sternberg task","9","6483","9","yes","1024"
"100","100","712.6","712.6","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/05/18 14:43:52","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Knitwitty/Documents/subject-2.csv","legacy","5 7 8 4 1 2","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","643","31612","NA","643","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","98164","94768","95949","3052","NA","95953","NA","3057","NA","100170","100815","96959","34671","100170","NA","Sternberg task","10","7126","10","yes","1024"
