setSize,posInSet,present,numberSet,target,correct_response
1,1,y,6,6,left
1,0,n,5,3,right
2,1,y,4 8,4,left
2,0,n,2 1,5,right
3,3,y,2 9 4,4,left
3,0,n,4 1 5,2,right
4,2,y,1 5 2 9,5,left
4,0,n,3 1 9 4,6,right
5,4,y,1 7 9 8 5,8,left
5,0,n,9 6 7 4 5,3,right
6,1,y,4 3 1 7 9 8,4,left
6,0,n,5 7 8 4 1 2,6,right
