"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_ISI","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_logger","count_memorySet","count_new_keyboard_response","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_ISI","response_instruction1","response_instruction2","response_new_keyboard_response","response_thankYou","response_time","response_time_ISI","response_time_instruction1","response_time_instruction2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_logger","time_memorySet","time_new_keyboard_response","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.9090909091","90.9090909091","1244.45454545","1244.45454545","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","0","right","10","10","10","0","0","10","10","0","0","10","10","10","0","10","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","10","10","/Volumes/USB20FD/subject-3 m.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","left","left","right","NA","left","NA","977","1838","317853","NA","977","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","396272","392924","394030","2377","NA","394040","NA","2397","NA","399100","395053","398121","320256","398121","NA","Sternberg Task","10","13689","11","yes","1024"
"91.6666666667","91.6666666667","1203.83333333","1203.83333333","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","left","11","11","11","0","0","11","11","0","0","11","11","11","0","11","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Volumes/USB20FD/subject-3 m.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","left","left","right","NA","left","NA","757","1470","317853","NA","757","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","402474","392924","400236","2377","NA","400247","399117","2397","NA","404713","401259","403955","320256","403955","NA","Sternberg Task","11","14446","12","yes","1024"
"92.3076923077","92.3076923077","1178.61538462","1178.61538462","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","12","12","12","0","0","12","12","0","0","12","12","12","0","12","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","0","11","/Volumes/USB20FD/subject-3 m.csv","legacy","5 3 2 6 9 8","Kafkaesque Koffka","3.2.5","0","n","0","right","up","right","up","right","NA","876","3642","317853","340810","876","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","748932","404726","746692","2377","746574","746702","399117","2397","405762","753463","747716","752585","320256","752585","NA","Sternberg Task","12","15322","13","yes","1024"
"92.8571428571","92.8571428571","1159.71428571","1159.71428571","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","13","13","13","0","0","13","13","0","0","13","13","13","0","13","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","1","11","/Volumes/USB20FD/subject-3 m.csv","legacy","3 4 9 6 7 8","Kafkaesque Koffka","3.2.5","0","n","0","right","up","right","up","right","NA","914","1350","317853","340810","914","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","2","756825","753475","754582","2377","746574","754592","399117","2397","405762","759102","755606","758187","320256","758187","NA","Sternberg Task","13","16236","14","yes","1024"
"93.3333333333","93.3333333333","1122.6","1122.6","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","14","14","14","0","0","14","14","0","0","14","14","14","0","14","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","2","11","/Volumes/USB20FD/subject-3 m.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","right","up","right","up","right","NA","603","38","317853","340810","603","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","8","762457","759114","760216","2377","746574","760227","399117","2397","405762","763110","761240","762506","320256","762506","NA","Sternberg Task","14","16839","15","yes","1024"
"87.5","87.5","1095.75","1095.75","black","experiment","legacy","legacy","legacy","0","uniform","0","0","undefined","0","right","15","15","15","0","0","15","15","0","0","15","15","15","0","15","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","3","11","/Volumes/USB20FD/subject-3 m.csv","legacy","8 2 1 4 5 9","Kafkaesque Koffka","3.2.5","0","n","0","left","up","right","up","left","NA","693","1738","317853","340810","693","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","7","766474","763124","764231","2377","746574","764245","399117","2397","405762","768918","765258","768224","320256","768224","NA","Sternberg Task","14","17532","16","yes","1024"
"88.2352941176","88.2352941176","1083.64705882","1083.64705882","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","16","16","16","0","0","16","16","0","0","16","16","16","0","16","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","4","11","/Volumes/USB20FD/subject-3 m.csv","legacy","8 5 3 7 4 6","Kafkaesque Koffka","3.2.5","6","y","0","left","up","right","up","left","NA","890","1262","317853","340810","890","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","772282","763124","770040","2377","746574","770052","768931","2397","405762","774448","771066","773556","320256","773556","NA","Sternberg Task","15","18422","17","yes","1024"
"88.8888888889","88.8888888889","1061.44444444","1061.44444444","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","17","17","17","0","0","17","17","0","0","17","17","17","0","17","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","5","11","/Volumes/USB20FD/subject-3 m.csv","legacy","3 9 7 6 4","Kafkaesque Koffka","3.2.5","3","y","0","left","up","right","up","left","NA","684","618","317853","340810","684","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","7","777806","774461","775564","2377","746574","775574","768931","2397","405762","779121","776589","778435","320256","778435","NA","Sternberg Task","16","19106","18","yes","1024"
"84.2105263158","84.2105263158","1054.05263158","1054.05263158","black","experiment","legacy","legacy","legacy","0","uniform","0","0","undefined","0","right","18","18","18","0","0","18","18","0","0","18","18","18","0","18","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","6","11","/Volumes/USB20FD/subject-3 m.csv","legacy","1 5 3 2 8","Kafkaesque Koffka","3.2.5","0","n","0","left","up","right","up","left","NA","921","500","317853","340810","921","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","4","782478","779133","780240","2377","746574","780250","768931","2397","405762","783914","781265","782991","320256","782991","NA","Sternberg Task","16","20027","19","yes","1024"
"85","85","1032","1032","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","19","19","19","0","0","19","19","0","0","19","19","19","0","19","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","7","11","/Volumes/USB20FD/subject-3 m.csv","legacy","3 2 1 4 7","Kafkaesque Koffka","3.2.5","2","y","0","left","up","right","up","left","NA","613","1802","317853","340810","613","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","2","787279","779133","785037","2377","746574","785047","783930","2397","405762","789707","786062","789093","320256","789092","NA","Sternberg Task","17","20640","20","yes","1024"
