"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_Fixation","count_ISI","count_Instruction1","count_Instructions2","count_ThankYou","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_incorrectFeedback","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_ThankYou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_ThankYou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_ISI","time_Instruction1","time_Instructions2","time_ThankYou","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_incorrectFeedback","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","37983","37983","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Anabel/Desktop/subject-3.csv","legacy","4 1 5","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","37983","43734","NA","NA","37983","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","51723","53925","1753","NA","NA","NA","51721","1749","NA","NA","55926","52724","93909","45488","55926","Sternberg Task","1","37983","1","yes","1024"
"50","50","24075.5","24075.5","black","no","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","1","0","0","0","1","1","0","0","1","1","1","1","0","1","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Anabel/Desktop/subject-3.csv","legacy","6","Jazzy James","3.1.9","1","y","0","right","right","NA","NA","right","10168","43734","NA","NA","10168","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","95085","97290","1753","NA","NA","94008","95084","1749","NA","NA","99292","96088","109460","45488","99292","Sternberg Task","1","48151","2","yes","1024"
"66.6666666667","66.6666666667","16410","16410","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","0","0","0","2","2","0","0","2","2","2","2","0","2","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Anabel/Desktop/subject-3.csv","legacy","4 3 1 7 9 8","Jazzy James","3.1.9","1","y","0","left","right","NA","NA","left","1079","43734","NA","NA","1079","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","110597","112801","1753","NA","NA","94008","110595","1749","NA","109519","114803","111599","115883","45488","114803","Sternberg Task","2","49230","3","yes","1024"
"75","75","12558","12558","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","0","0","0","3","3","0","0","3","3","3","3","0","3","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Anabel/Desktop/subject-3.csv","legacy","9 6 7 4 5","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","1002","43734","NA","NA","1002","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","117004","119208","1753","NA","NA","115918","117002","1749","NA","109519","121210","118006","122213","45488","121210","Sternberg Task","3","50232","4","yes","1024"
"80","80","10726.8","10726.8","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","0","0","0","4","4","0","0","4","4","4","4","0","4","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Anabel/Desktop/subject-3.csv","legacy","2 9 4","Jazzy James","3.1.9","3","y","0","left","right","NA","NA","left","3402","43734","NA","NA","3402","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","123349","125553","1753","NA","NA","122273","123347","1749","NA","109519","127555","124351","130958","45488","127555","Sternberg Task","4","53634","5","yes","1024"
"83.3333333333","83.3333333333","9204","9204","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","0","0","0","5","5","0","0","5","5","5","5","0","5","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Anabel/Desktop/subject-3.csv","legacy","4 8","Jazzy James","3.1.9","1","y","0","left","right","NA","NA","left","1590","43734","NA","NA","1590","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","132097","134301","1753","NA","NA","131017","132095","1749","NA","109519","136303","133099","137894","45488","136303","Sternberg Task","5","55224","6","yes","1024"
"85.7142857143","85.7142857143","8032.42857143","8032.42857143","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","0","0","0","6","6","0","0","6","6","6","6","0","6","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Anabel/Desktop/subject-3.csv","legacy","5 7 8 4 1 2","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","1003","43734","NA","NA","1003","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","139004","141208","1753","NA","NA","137929","139002","1749","NA","109519","143210","140006","144214","45488","143210","Sternberg Task","6","56227","7","yes","1024"
"87.5","87.5","7112.125","7112.125","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","0","0","0","7","7","0","0","7","7","7","7","0","7","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Anabel/Desktop/subject-3.csv","legacy","1 5 2 9","Jazzy James","3.1.9","2","y","0","left","right","NA","NA","left","670","43734","NA","NA","670","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","145356","147560","1753","NA","NA","144274","145354","1749","NA","109519","149562","146358","150233","45488","149562","Sternberg Task","7","56897","8","yes","1024"
"88.8888888889","88.8888888889","6388.11111111","6388.11111111","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","0","0","0","8","8","0","0","8","8","8","8","0","8","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Anabel/Desktop/subject-3.csv","legacy","3 1 9 4","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","596","43734","NA","NA","596","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","151362","153566","1753","NA","NA","150285","151360","1749","NA","109519","155568","152364","156165","45488","155568","Sternberg Task","8","57493","9","yes","1024"
"90","90","5811.8","5811.8","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","0","0","9","9","0","0","9","9","9","9","0","9","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Anabel/Desktop/subject-3.csv","legacy","5","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","625","43734","NA","NA","625","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","157297","159501","1753","NA","NA","156218","157295","1749","NA","109519","161503","158299","162129","45488","161503","Sternberg Task","9","58118","10","yes","1024"
"90.9090909091","90.9090909091","5340.27272727","5340.27272727","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","10","10","0","0","0","10","10","0","0","10","10","10","10","0","10","10/02/18 21:35:16","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Anabel/Desktop/subject-3.csv","legacy","2 1","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","625","43734","NA","NA","625","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","163266","165470","1753","NA","NA","162185","163264","1749","NA","109519","167472","164268","168098","45488","167472","Sternberg Task","10","58743","11","yes","1024"
