"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_CorrectResponse","count_ExperimentLoop","count_Fixation","count_ISI","count_IncorrectFeedback","count_Instruction1","count_Instructions2","count_Memory","count_PracticeLoop","count_Probe","count_Sternburgtask","count_Thankyou","count_XSequence","count_keyboard_response","count_logger","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_Thankyou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_Thankyou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_CorrectResponse","time_ExperimentLoop","time_Fixation","time_ISI","time_IncorrectFeedback","time_Instruction1","time_Instructions2","time_Memory","time_PracticeLoop","time_Probe","time_Sternburgtask","time_Thankyou","time_XSequence","time_keyboard_response","time_logger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1240","1240","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct  4 21:47:53 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/danieldalton/subject-3.csv","legacy","4 1 5","Jazzy James","3.1.9","0","n","0","right","left","NA","NA","right","1240","121289","NA","NA","1240","2","legacy","3","1024","2","48000","-16","Sternburgtask","3","odd","2","NA","NA","124719","126954","NA","2224","NA","125734","123531","128975","2198","NA","124708","128975","130217","New experiment","1","1240","1","yes","1024"
"50","50","1620","1620","black","no","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","0","1","1","1","0","0","1","0","1","0","0","1","1","1","Thu Oct  4 21:47:53 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/danieldalton/subject-3.csv","legacy","6","Jazzy James","3.1.9","1","y","0","None","left","NA","NA","None","2000","121289","NA","NA","2000","2","legacy","1","1024","2","48000","-16","Sternburgtask","3","odd","6","130237","NA","131297","133534","NA","2224","NA","132311","123531","135545","2198","NA","131286","135546","137546","New experiment","1","3240","2","yes","1024"
"33.3333333333","33.3333333333","1453.66666667","1453.66666667","black","no","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","2","0","2","2","2","0","0","2","0","2","0","0","2","2","2","Thu Oct  4 21:47:53 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/danieldalton/subject-3.csv","legacy","4 8","Jazzy James","3.1.9","1","y","0","right","left","NA","NA","right","1121","121289","NA","NA","1121","2","legacy","2","1024","2","48000","-16","Sternburgtask","3","odd","4","130237","NA","138615","140844","137560","2224","NA","139627","123531","142856","2198","NA","138603","142856","143979","New experiment","1","4361","3","yes","1024"
"50","50","1563.5","1563.5","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","3","0","0","3","0","3","0","0","3","3","3","Thu Oct  4 21:47:53 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/danieldalton/subject-3.csv","legacy","3 1 9 4","Jazzy James","3.1.9","0","n","0","right","left","NA","NA","right","1893","121289","NA","NA","1893","2","legacy","4","1024","2","48000","-16","Sternburgtask","3","odd","6","130237","NA","145046","147282","143994","2224","NA","146065","123531","149297","2198","NA","145035","149297","151192","New experiment","2","6254","4","yes","1024"
"60","60","1540.4","1540.4","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","0","4","4","4","0","0","4","0","4","0","0","4","4","4","Thu Oct  4 21:47:53 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/danieldalton/subject-3.csv","legacy","1 7 9 8 5","Jazzy James","3.1.9","4","y","0","left","left","NA","NA","left","1448","121289","NA","NA","1448","2","legacy","5","1024","2","48000","-16","Sternburgtask","3","odd","8","151206","NA","152260","154499","143994","2224","NA","153281","123531","156512","2198","NA","152249","156512","157962","New experiment","3","7702","5","yes","1024"
"66.6666666667","66.6666666667","1534.66666667","1534.66666667","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","0","5","5","5","0","0","5","0","5","0","0","5","5","5","Thu Oct  4 21:47:53 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/danieldalton/subject-3.csv","legacy","1 5 2 9","Jazzy James","3.1.9","2","y","0","left","left","NA","NA","left","1506","121289","NA","NA","1506","2","legacy","4","1024","2","48000","-16","Sternburgtask","3","odd","5","157975","NA","159026","161264","143994","2224","NA","160045","123531","163277","2198","NA","159015","163277","164785","New experiment","4","9208","6","yes","1024"
"71.4285714286","71.4285714286","1459.85714286","1459.85714286","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","0","6","6","6","0","0","6","0","6","0","0","6","6","6","Thu Oct  4 21:47:53 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/danieldalton/subject-3.csv","legacy","5","Jazzy James","3.1.9","0","n","0","right","left","NA","NA","right","1011","121289","NA","NA","1011","2","legacy","1","1024","2","48000","-16","Sternburgtask","3","odd","3","164801","NA","165853","168092","143994","2224","NA","166874","123531","170107","2198","NA","165842","170107","171120","New experiment","5","10219","7","yes","1024"
"62.5","62.5","1527.375","1527.375","black","no","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","7","0","7","7","7","0","0","7","0","7","0","0","7","7","7","Thu Oct  4 21:47:53 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/danieldalton/subject-3.csv","legacy","5 7 8 4 1 2","Jazzy James","3.1.9","0","n","0","None","left","NA","NA","None","2000","121289","NA","NA","2000","2","legacy","6","1024","2","48000","-16","Sternburgtask","3","odd","6","171134","NA","172189","174419","143994","2224","NA","173203","123531","176434","2198","NA","172178","176434","178434","New experiment","5","12219","8","yes","1024"
"66.6666666667","66.6666666667","1505.88888889","1505.88888889","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","0","8","8","8","0","0","8","0","8","0","0","8","8","8","Thu Oct  4 21:47:53 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/danieldalton/subject-3.csv","legacy","2 9 4","Jazzy James","3.1.9","3","y","0","left","left","NA","NA","left","1334","121289","NA","NA","1334","2","legacy","3","1024","2","48000","-16","Sternburgtask","3","odd","4","171134","NA","179500","181734","178448","2224","NA","180515","123531","183747","2198","NA","179488","183747","185083","New experiment","6","13553","9","yes","1024"
"70","70","1510.3","1510.3","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","0","9","9","9","0","0","9","0","9","0","0","9","9","9","Thu Oct  4 21:47:53 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/danieldalton/subject-3.csv","legacy","4 3 1 7 9 8","Jazzy James","3.1.9","1","y","0","left","left","NA","NA","left","1550","121289","NA","NA","1550","2","legacy","6","1024","2","48000","-16","Sternburgtask","3","odd","4","185097","NA","186148","188386","178448","2224","NA","187169","123531","190405","2198","NA","186138","190406","191958","New experiment","7","15103","10","yes","1024"
