"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboardResponse","correct_response","count_ISI","count_Practiceloop","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrect","count_instruction1","count_instructions2","count_keyboardResponse","count_logger","count_memorySet","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboardResponse","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboardResponse","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Practiceloop","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrect","time_instruction1","time_instructions2","time_keyboardResponse","time_logger","time_memorySet","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"54.5454545455","54.5454545455","1331.90909091","1331.90909091","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","10","0","10","10","0","0","10","10","0","0","10","10","10","10","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","left","NA","left","NA","1404","21779","NA","1404","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","100350","25688","89620","98139","3875","NA","98141","97003","3879","NA","102355","103759","99145","102355","NA","Sternberg task","6","14651","11","yes","1024"
"58.3333333333","58.3333333333","1284.5","1284.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","11","0","11","11","0","0","11","11","0","0","11","11","11","11","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","left","left","NA","left","NA","763","21779","NA","763","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","107150","25688","103803","104938","3875","NA","104940","97003","3879","NA","109155","109919","105945","109155","NA","Sternberg task","7","15414","12","yes","1024"
"61.5384615385","61.5384615385","1269.92307692","1269.92307692","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","12","0","12","12","0","0","12","12","0","0","12","12","12","12","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","6 9 7 4 5 1","Kafkaesque Koffka","3.2.5","2","y","0","left","left","left","left","NA","1095","21779","4978","1095","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","9","118279","25688","109962","116068","3875","115989","116070","97003","3879","111011","120285","121380","117074","120284","NA","Sternberg task","8","16509","13","yes","1024"
"64.2857142857","64.2857142857","1228.64285714","1228.64285714","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","13","0","13","13","0","0","13","13","0","0","13","13","13","13","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","5 3 8 7 2 4","Kafkaesque Koffka","3.2.5","0","n","0","right","left","left","right","NA","692","21779","4978","692","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","9","124742","25688","121387","122529","3875","115989","122531","97003","3879","111011","126748","127440","123536","126747","NA","Sternberg task","9","17201","14","yes","1024"
"66.6666666667","66.6666666667","1207.2","1207.2","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","14","0","14","14","0","0","14","14","0","0","14","14","14","14","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","7 9 1 6","Kafkaesque Koffka","3.2.5","0","n","0","right","left","left","right","NA","907","21779","4978","907","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","4","130847","25688","127489","128634","3875","115989","128635","97003","3879","111011","132853","133761","129641","132853","NA","Sternberg task","10","18108","15","yes","1024"
"68.75","68.75","1210.0625","1210.0625","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","15","0","15","15","0","0","15","15","0","0","15","15","15","15","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","4 9 7 8 5 3","Kafkaesque Koffka","3.2.5","4","y","0","left","left","left","left","NA","1253","21779","4978","1253","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","8","137192","25688","133805","134979","3875","115989","134981","97003","3879","111011","139197","140451","135986","139197","NA","Sternberg task","11","19361","16","yes","1024"
"70.5882352941","70.5882352941","1211.94117647","1211.94117647","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","16","0","16","16","0","0","16","16","0","0","16","16","16","16","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","4 2 6 9","Kafkaesque Koffka","3.2.5","0","n","0","right","left","left","right","NA","1242","21779","4978","1242","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","7","143852","25688","140497","141641","3875","115989","141642","97003","3879","111011","145858","147101","142647","145857","NA","Sternberg task","12","20603","17","yes","1024"
"72.2222222222","72.2222222222","1212.94444444","1212.94444444","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","17","0","17","17","0","0","17","17","0","0","17","17","17","17","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","1 5 3 2 8","Kafkaesque Koffka","3.2.5","0","n","0","right","left","left","right","NA","1230","21779","4978","1230","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","4","150495","25688","147145","148283","3875","115989","148285","97003","3879","111011","152500","153731","149290","152500","NA","Sternberg task","13","21833","18","yes","1024"
"68.4210526316","68.4210526316","1219.63157895","1219.63157895","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","18","0","18","18","0","0","18","18","0","0","18","18","18","18","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","8 5 4 7 3 1","Kafkaesque Koffka","3.2.5","2","y","0","right","left","left","right","NA","1340","21779","4978","1340","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","5","157135","25688","153780","154923","3875","115989","154924","97003","3879","111011","159140","160481","155929","159140","NA","Sternberg task","13","23173","19","yes","1024"
"70","70","1202.7","1202.7","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","19","0","19","19","0","0","19","19","0","0","19","19","19","19","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","8 9 5 7 1 6","Kafkaesque Koffka","3.2.5","4","y","0","left","left","left","left","NA","881","21779","4978","881","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","7","163874","25688","153780","161662","3875","115989","161664","160528","3879","111011","165879","166760","162669","165878","NA","Sternberg task","14","24054","20","yes","1024"
