"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"81.8181818182","81.8181818182","843","843","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","10","10","10","0","0","10","10","0","0","10","10","10","0","10","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","656","66083","NA","656","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","140372","129848","138072","1719","NA","138139","136438","1751","NA","142375","139169","143032","67835","142375","NA","Sternburg task","9","9273","11","yes","1024"
"83.3333333333","83.3333333333","828.833333333","828.833333333","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","11","11","11","0","0","11","11","0","0","11","11","11","0","11","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","673","66083","NA","673","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","147007","143089","144731","1719","NA","144787","136438","1751","NA","149023","145803","149697","67835","149023","NA","Sternburg task","10","9946","12","yes","1024"
"84.6153846154","84.6153846154","807.846153846","807.846153846","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","12","12","12","0","0","12","12","0","0","12","12","12","0","12","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","3 5 4 7","Kafkaesque Koffka","3.2.5","1","y","0","left","right","left","left","NA","556","66083","12480","556","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","3","166196","149751","163924","1719","163301","163964","136438","1751","150820","168212","164992","168769","67835","168212","NA","Sternburg task","11","10502","13","yes","1024"
"85.7142857143","85.7142857143","785.857142857","785.857142857","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","13","13","13","0","0","13","13","0","0","13","13","13","0","13","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","5 2","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","500","66083","12480","500","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","7","172769","168821","170476","1719","163301","170525","136438","1751","150820","174785","171554","175285","67835","174785","NA","Sternburg task","12","11002","14","yes","1024"
"86.6666666667","86.6666666667","760.266666667","760.266666667","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","14","14","14","0","0","14","14","0","0","14","14","14","0","14","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","6 7 9 3 1 2","Kafkaesque Koffka","3.2.5","1","y","0","left","right","left","left","NA","402","66083","12480","402","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","179278","175334","176983","1719","163301","177031","136438","1751","150820","181281","178062","181684","67835","181281","NA","Sternburg task","13","11404","15","yes","1024"
"87.5","87.5","754.875","754.875","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","15","15","15","0","0","15","15","0","0","15","15","15","0","15","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","9 5 3 2 8 6","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","674","66083","12480","674","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","7","185699","181719","183393","1719","163301","183452","136438","1751","150820","187715","184482","188389","67835","187715","NA","Sternburg task","14","12078","16","yes","1024"
"88.2352941176","88.2352941176","745.529411765","745.529411765","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","16","16","16","0","0","16","16","0","0","16","16","16","0","16","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","8 6 3 4 7","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","596","66083","12480","596","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","1","192374","188446","190090","1719","163301","190140","136438","1751","150820","194377","191170","194975","67835","194377","NA","Sternburg task","15","12674","17","yes","1024"
"83.3333333333","83.3333333333","734.777777778","734.777777778","black","experiment","xpyriment","legacy","legacy","0","uniform","0","undefined","0","left","17","17","17","0","0","17","17","0","0","17","17","17","0","17","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","7 4 2 6 3 5","Kafkaesque Koffka","3.2.5","6","y","0","right","right","left","right","NA","552","66083","12480","552","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","5","198997","195045","196693","1719","163301","196741","136438","1751","150820","201000","197781","201552","67835","201000","NA","Sternburg task","15","13226","18","yes","1024"
"84.2105263158","84.2105263158","734.578947368","734.578947368","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","18","18","18","0","0","18","18","0","0","18","18","18","0","18","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","3 2 1 4 7","Kafkaesque Koffka","3.2.5","2","y","0","left","right","left","left","NA","731","66083","12480","731","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","2","205534","195045","203259","1719","163301","203307","201605","1751","150820","207549","204330","208281","67835","207549","NA","Sternburg task","16","13957","19","yes","1024"
"85","85","729","729","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","19","19","19","0","0","19","19","0","0","19","19","19","0","19","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","2 8 5 1","Kafkaesque Koffka","3.2.5","4","y","0","left","right","left","left","NA","623","66083","12480","623","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","1","212258","208339","209979","1719","163301","210028","201605","1751","150820","214274","211053","214899","67835","214274","NA","Sternburg task","17","14580","20","yes","1024"
