"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_CorrectResponse","count_ExperimentLoop","count_Fixation","count_ISI","count_IncorrectFeedback","count_Instruction1","count_Instructions2","count_Memory","count_PracticeLoop","count_Probe","count_Sternburgtask","count_Thankyou","count_XSequence","count_keyboard_response","count_logger","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_Thankyou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_Thankyou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_CorrectResponse","time_ExperimentLoop","time_Fixation","time_ISI","time_IncorrectFeedback","time_Instruction1","time_Instructions2","time_Memory","time_PracticeLoop","time_Probe","time_Sternburgtask","time_Thankyou","time_XSequence","time_keyboard_response","time_logger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","no","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed Oct  3 19:42:11 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/danieldalton/subject-2.csv","legacy","4 1 5","Jazzy James","3.1.9","0","n","0","None","right","NA","NA","None","2000","37932","NA","NA","2000","2","legacy","3","1024","2","48000","-16","Sternburgtask","2","even","2","NA","NA","41189","43421","NA","2155","NA","42204","40099","45434","2128","NA","41178","45435","47435","New experiment","0","2000","1","yes","1024"
"50","50","1332.5","1332.5","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","0","1","1","1","0","0","1","0","1","0","0","1","1","1","Wed Oct  3 19:42:11 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/danieldalton/subject-2.csv","legacy","5 7 8 4 1 2","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","665","37932","NA","NA","665","2","legacy","6","1024","2","48000","-16","Sternburgtask","2","even","6","NA","NA","48518","50754","47453","2155","NA","49533","40099","52766","2128","NA","48505","52767","53433","New experiment","1","2665","2","yes","1024"
"66.6666666667","66.6666666667","1433","1433","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","0","2","2","2","0","0","2","0","2","0","0","2","2","2","Wed Oct  3 19:42:11 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/danieldalton/subject-2.csv","legacy","4 3 1 7 9 8","Jazzy James","3.1.9","1","y","0","left","right","NA","NA","left","1634","37932","NA","NA","1634","2","legacy","6","1024","2","48000","-16","Sternburgtask","2","even","4","53455","NA","54518","56750","47453","2155","NA","55532","40099","58762","2128","NA","54507","58763","60399","New experiment","2","4299","3","yes","1024"
"75","75","1337.75","1337.75","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","3","0","0","3","0","3","0","0","3","3","3","Wed Oct  3 19:42:11 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/danieldalton/subject-2.csv","legacy","9 6 7 4 5","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","1052","37932","NA","NA","1052","2","legacy","5","1024","2","48000","-16","Sternburgtask","2","even","3","60413","NA","61464","63703","47453","2155","NA","62483","40099","65714","2128","NA","61453","65714","66768","New experiment","3","5351","4","yes","1024"
"80","80","1440.6","1440.6","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","0","4","4","4","0","0","4","0","4","0","0","4","4","4","Wed Oct  3 19:42:11 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/danieldalton/subject-2.csv","legacy","3 1 9 4","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","1852","37932","NA","NA","1852","2","legacy","4","1024","2","48000","-16","Sternburgtask","2","even","6","66782","NA","67839","70070","47453","2155","NA","68854","40099","72082","2128","NA","67827","72083","73937","New experiment","4","7203","5","yes","1024"
"83.3333333333","83.3333333333","1409.16666667","1409.16666667","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","0","5","5","5","0","0","5","0","5","0","0","5","5","5","Wed Oct  3 19:42:11 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/danieldalton/subject-2.csv","legacy","6","Jazzy James","3.1.9","1","y","0","left","right","NA","NA","left","1252","37932","NA","NA","1252","2","legacy","1","1024","2","48000","-16","Sternburgtask","2","even","6","73951","NA","75003","77244","47453","2155","NA","76022","40099","79262","2128","NA","74993","79262","80516","New experiment","5","8455","6","yes","1024"
"85.7142857143","85.7142857143","1354.57142857","1354.57142857","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","0","6","6","6","0","0","6","0","6","0","0","6","6","6","Wed Oct  3 19:42:11 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/danieldalton/subject-2.csv","legacy","4 8","Jazzy James","3.1.9","1","y","0","left","right","NA","NA","left","1027","37932","NA","NA","1027","2","legacy","2","1024","2","48000","-16","Sternburgtask","2","even","4","80531","NA","81585","83821","47453","2155","NA","82600","40099","85836","2128","NA","81574","85836","86865","New experiment","6","9482","7","yes","1024"
"87.5","87.5","1364.875","1364.875","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","0","7","7","7","0","0","7","0","7","0","0","7","7","7","Wed Oct  3 19:42:11 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/danieldalton/subject-2.csv","legacy","1 7 9 8 5","Jazzy James","3.1.9","4","y","0","left","right","NA","NA","left","1437","37932","NA","NA","1437","2","legacy","5","1024","2","48000","-16","Sternburgtask","2","even","8","86879","NA","87931","90164","47453","2155","NA","88947","40099","92177","2128","NA","87920","92177","93616","New experiment","7","10919","8","yes","1024"
"88.8888888889","88.8888888889","1320.88888889","1320.88888889","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","8","8","8","0","0","8","0","8","0","0","8","8","8","Wed Oct  3 19:42:11 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/danieldalton/subject-2.csv","legacy","2 1","Jazzy James","3.1.9","0","n","0","right","right","NA","NA","right","969","37932","NA","NA","969","2","legacy","2","1024","2","48000","-16","Sternburgtask","2","even","5","93629","NA","94684","96920","47453","2155","NA","95702","40099","98933","2128","NA","94672","98933","99904","New experiment","8","11888","9","yes","1024"
"90","90","1309.2","1309.2","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","0","9","9","9","0","0","9","0","9","0","0","9","9","9","Wed Oct  3 19:42:11 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/danieldalton/subject-2.csv","legacy","1 5 2 9","Jazzy James","3.1.9","2","y","0","left","right","NA","NA","left","1204","37932","NA","NA","1204","2","legacy","4","1024","2","48000","-16","Sternburgtask","2","even","5","99919","NA","100971","103203","47453","2155","NA","101986","40099","105222","2128","NA","100959","105222","106428","New experiment","9","13092","10","yes","1024"
