"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Keyboard_response","correct_instructions1","correct_response","count_Fixation","count_ISI","count_Keyboard_response","count_Logger","count_Probe","count_Thankyou","count_correctFeedback","count_expSequence","count_experiment","count_experimentalLoop","count_incorrectFeedback","count_instructions1","count_instructions2","count_memorySet","count_practiceLoop","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Keyboard_response","response_Thankyou","response_instructions1","response_instructions2","response_time","response_time_Keyboard_response","response_time_Thankyou","response_time_instructions1","response_time_instructions2","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_ISI","time_Keyboard_response","time_Logger","time_Probe","time_Thankyou","time_correctFeedback","time_expSequence","time_experiment","time_experimentalLoop","time_incorrectFeedback","time_instructions1","time_instructions2","time_memorySet","time_practiceLoop","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"79.3103448276","79.3103448276","1169.82758621","1169.82758621","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","left","57","57","57","57","57","0","57","57","0","0","57","0","0","57","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","45","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","2 6 1 7 4","Lentiform Loewenfeld","3.3.12","2","y","0","left","left","NA","return","return","1050","1050","NA","52389","10446","2","legacy","5","1024","2","48000","-16","experiment","4","even","6","438527","440733","442734","443785","442734","NA","437455","438526","6688","149553","232598","6692","139106","439528","59081","Sternberg task ","46","67850","58","yes","1024"
"79.6610169492","79.6610169492","1170.62711864","1170.62711864","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","left","58","58","58","58","58","0","58","58","0","0","58","0","0","58","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","46","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","7 2 3","Lentiform Loewenfeld","3.3.12","3","y","0","left","left","NA","return","return","1217","1217","NA","52389","10446","2","legacy","3","1024","2","48000","-16","experiment","4","even","3","444862","447070","449071","450289","449071","NA","443789","444860","6688","149553","232598","6692","139106","445866","59081","Sternberg task ","47","69067","59","yes","1024"
"80","80","1167.05","1167.05","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","left","59","59","59","59","59","0","59","59","0","0","59","0","0","59","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","47","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","5 2 9 6 1 7","Lentiform Loewenfeld","3.3.12","3","y","0","left","left","NA","return","return","956","956","NA","52389","10446","2","legacy","6","1024","2","48000","-16","experiment","4","even","9","451365","453570","455571","456528","455571","NA","450293","451364","6688","149553","232598","6692","139106","452366","59081","Sternberg task ","48","70023","60","yes","1024"
"80.3278688525","80.3278688525","1164.93442623","1164.93442623","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","left","60","60","60","60","60","0","60","60","0","0","60","0","0","60","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","48","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","3 9 6 2","Lentiform Loewenfeld","3.3.12","4","y","0","left","left","NA","return","return","1038","1038","NA","52389","10446","2","legacy","4","1024","2","48000","-16","experiment","4","even","2","457604","459809","461810","462849","461810","NA","456532","457602","6688","149553","232598","6692","139106","458606","59081","Sternberg task ","49","71061","61","yes","1024"
"80.6451612903","80.6451612903","1162.43548387","1162.43548387","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","61","61","61","61","61","0","61","61","0","0","61","0","0","61","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","49","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","8 2 1 4 5 9","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","1010","1010","NA","52389","10446","2","legacy","6","1024","2","48000","-16","experiment","4","even","7","463928","466133","468134","469145","468134","NA","462853","463926","6688","149553","232598","6692","139106","464929","59081","Sternberg task ","50","72071","62","yes","1024"
"80.9523809524","80.9523809524","1160.04761905","1160.04761905","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","62","62","62","62","62","0","62","62","0","0","62","0","0","62","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","50","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","6 8","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","1012","1012","NA","52389","10446","2","legacy","2","1024","2","48000","-16","experiment","4","even","9","470220","472423","474428","475441","474428","NA","469149","470218","6688","149553","232598","6692","139106","471221","59081","Sternberg task ","51","73083","63","yes","1024"
"81.25","81.25","1164.578125","1164.578125","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","63","63","63","63","63","0","63","63","0","0","63","0","0","63","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","51","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","8 5 4 2 9 6","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","1450","1450","NA","52389","10446","2","legacy","6","1024","2","48000","-16","experiment","4","even","3","476520","478725","480726","482177","480726","NA","475446","476518","6688","149553","232598","6692","139106","477521","59081","Sternberg task ","52","74533","64","yes","1024"
"81.5384615385","81.5384615385","1162.67692308","1162.67692308","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","64","64","64","64","64","0","64","64","0","0","64","0","0","64","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","52","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","8 5 7 3 6","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","1041","1041","NA","52389","10446","2","legacy","5","1024","2","48000","-16","experiment","4","even","9","483254","485459","487463","488505","487463","NA","482182","483253","6688","149553","232598","6692","139106","484255","59081","Sternberg task ","53","75574","65","yes","1024"
"81.8181818182","81.8181818182","1171.24242424","1171.24242424","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","65","65","65","65","65","0","65","65","0","0","65","0","0","65","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","53","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","6 9 4 5 2","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","1728","1728","NA","52389","10446","2","legacy","5","1024","2","48000","-16","experiment","4","even","1","489580","491784","493785","495514","493785","NA","488509","489578","6688","149553","232598","6692","139106","490581","59081","Sternberg task ","54","77302","66","yes","1024"
"82.0895522388","82.0895522388","1168.56716418","1168.56716418","black","experiment","legacy","legacy","legacy","0","uniform","1","1","undefined","right","66","66","66","66","66","0","66","66","0","0","66","0","0","66","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","54","11","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","8 4 3 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","return","992","992","NA","52389","10446","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","496592","498798","500800","501793","500800","NA","495518","496590","6688","149553","232598","6692","139106","497594","59081","Sternberg task ","55","78294","67","yes","1024"
