"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ExpSequence","count_Fixation","count_ISI","count_MemorySet","count_PracticeLoop","count_Probe","count_correctFeedback","count_experiment","count_experimentLoop","count_getting_started","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_thankYou","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","response_time_welcome","response_welcome","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ExpSequence","time_Fixation","time_ISI","time_MemorySet","time_PracticeLoop","time_Probe","time_correctFeedback","time_experiment","time_experimentLoop","time_getting_started","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_thankYou","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","772","772","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","NA","Sat Oct 15 16:47:50 2022","The main experiment item","yes","Lab_3.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Owner/Downloads/MC-subject-2.csv","legacy","6","Lentiform Loewenfeld","3.3.12","1","y","0","right","right","NA","right","NA","772","979","NA","772","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","4541","4543","6745","5544","3904","8746","NA","2919","NA","NA","NA","2924","NA","8746","9520","NA","NA","Sternberg Task","0","772","1","yes","1024"
"50","50","836","836","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","1","1","0","1","1","0","0","NA","1","0","0","1","1","0","NA","Sat Oct 15 16:47:50 2022","The main experiment item","yes","Lab_3.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Owner/Downloads/MC-subject-2.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","900","979","NA","900","NA","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","10653","10654","12856","11655","3904","14857","NA","2919","NA","NA","9565","2924","NA","14857","15758","NA","NA","Sternberg Task","1","1672","2","yes","1024"
"33.333333333333336","33.333333333333336","946.6666666666666","946.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","2","2","2","2","0","2","2","0","0","NA","2","0","0","2","2","0","NA","Sat Oct 15 16:47:50 2022","The main experiment item","yes","Lab_3.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Owner/Downloads/MC-subject-2.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","0","left","right","NA","left","NA","1168","979","NA","1168","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","16828","16830","19032","17831","3904","21033","15762","2919","NA","NA","9565","2924","NA","21033","22202","NA","NA","Sternberg Task","1","2840","3","yes","1024"
"50","50","938.75","938.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","3","3","0","3","3","0","0","NA","3","0","0","3","3","0","NA","Sat Oct 15 16:47:50 2022","The main experiment item","yes","Lab_3.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Owner/Downloads/MC-subject-2.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","left","right","NA","left","NA","915","979","NA","915","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","23274","23275","25477","24276","3904","27478","15762","2919","NA","NA","22209","2924","NA","27478","28395","NA","NA","Sternberg Task","2","3755","4","yes","1024"
"60","60","929.6","929.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","4","0","4","4","0","0","NA","4","0","0","4","4","0","NA","Sat Oct 15 16:47:50 2022","The main experiment item","yes","Lab_3.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Owner/Downloads/MC-subject-2.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.12","3","y","0","left","right","NA","left","NA","893","979","NA","893","NA","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","29469","29470","31673","30472","3904","33674","28403","2919","NA","NA","22209","2924","NA","33674","34568","NA","NA","Sternberg Task","3","4648","5","yes","1024"
"66.66666666666667","66.66666666666667","932","932","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","5","0","5","5","0","0","NA","5","0","0","5","5","0","NA","Sat Oct 15 16:47:50 2022","The main experiment item","yes","Lab_3.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Owner/Downloads/MC-subject-2.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","944","979","NA","944","NA","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","35639","35640","37842","36641","3904","39843","34573","2919","NA","NA","22209","2924","NA","39843","40788","NA","NA","Sternberg Task","4","5592","6","yes","1024"
"71.42857142857143","71.42857142857143","934.5714285714286","934.5714285714286","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","6","0","6","6","0","0","NA","6","0","0","6","6","0","NA","Sat Oct 15 16:47:50 2022","The main experiment item","yes","Lab_3.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Owner/Downloads/MC-subject-2.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.12","4","y","0","left","right","NA","left","NA","950","979","NA","950","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","41858","41860","44062","42861","3904","46063","40791","2919","NA","NA","22209","2924","NA","46063","47014","NA","NA","Sternberg Task","5","6542","7","yes","1024"
"75","75","901.5","901.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","7","0","7","7","0","0","NA","7","0","0","7","7","0","NA","Sat Oct 15 16:47:50 2022","The main experiment item","yes","Lab_3.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Owner/Downloads/MC-subject-2.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","670","979","NA","670","NA","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","48093","48095","50297","49096","3904","52298","47021","2919","NA","NA","22209","2924","NA","52298","52969","NA","NA","Sternberg Task","6","7212","8","yes","1024"
"77.77777777777777","77.77777777777777","899.4444444444445","899.4444444444445","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","8","0","8","8","0","0","NA","8","0","0","8","8","0","NA","Sat Oct 15 16:47:50 2022","The main experiment item","yes","Lab_3.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Owner/Downloads/MC-subject-2.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","883","979","NA","883","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","54040","54042","56244","55043","3904","58245","52973","2919","NA","NA","22209","2924","NA","58245","59129","NA","NA","Sternberg Task","7","8095","9","yes","1024"
"70","70","886.5","886.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","9","9","9","9","0","9","9","0","0","NA","9","0","0","9","9","0","NA","Sat Oct 15 16:47:50 2022","The main experiment item","yes","Lab_3.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Owner/Downloads/MC-subject-2.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","0","left","right","NA","left","NA","770","979","NA","770","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","60200","60201","62405","61204","3904","64406","59133","2919","NA","NA","22209","2924","NA","64406","65178","NA","NA","Sternberg Task","7","8865","10","yes","1024"
