subject,gender,age
1,f,22
2,m,46
3,f,48
4,m,27
5,f,26
6,m,21
7,f,44
8,m,47
9,m,26
10,f,21
11,m,27
12,f,25
13,m,25
14,f,24
15,m,24
16,f,24
17,f,32
18,m,30
19,m,33
20,f,66
21,f,25
22,f,22
23,f,38
24,m,27
25,f,21
26,f,21
27,f,19
28,f,22
29,f,23
30,m,55
31,f,26
32,m,19
33,f,28
34,f,26
35,f,50
36,m,18
37,f,23
38,f,50
39,m,25
40,f,24
41,f,23
42,f,26
43,f,28
44,f,22
