"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","two + six = five","l","921","small","2","F"
"1","word","three + three = six","a","756","small","2","T"
"1","digit","4 + 4 = 9","l","681","small","2","F"
"1","word","eight + two = ten","a","970","small","2","T"
"1","digit","3 + 8 = 10","l","700","small","2","F"
"1","digit","6 + 4 = 10","a","603","small","2","T"
"1","digit","7 + 7 = 14","a","677","large","2","T"
"1","digit","3 + 3 = 6","a","576","small","2","T"
"1","word","five + two = four","l","964","small","2","F"
"1","word","eight + five = seventeen","l","1438","large","2","F"
"1","word","four + four = eight","a","889","small","2","T"
"1","word","two + nine = eleven","a","1152","small","2","T"
"1","digit","2 + 3 = 5","a","1186","small","2","T"
"1","word","eight + eight = eighteen","l","1343","large","2","F"
"1","digit","7 + 9 = 16","a","942","large","2","T"
"1","word","four + eight = twelve","a","908","large","2","T"
"1","word","eight + seven = fifteen","a","963","large","2","T"
"1","word","seven + six = thirteen","a","1015","large","2","T"
"1","word","three + eight = twelve","l","1277","small","2","F"
"1","digit","5 + 8 = 13","a","743","large","2","T"
"1","digit","9 + 9 = 17","l","1229","large","2","F"
"1","word","seven + three = fourteen","l","1583","small","2","F"
"1","word","seven + five = fourteen","l","1238","large","2","F"
"1","digit","6 + 5 = 14","l","859","large","2","F"
"1","word","five + five = eight","l","1070","small","2","F"
"1","word","two + two = four","a","1076","small","2","T"
"1","digit","2 + 7 = 9","a","770","small","2","T"
"1","digit","4 + 9 = 13","a","991","large","2","T"
"1","word","four + five = thirteen","l","934","small","2","F"
"1","digit","9 + 6 = 11","l","1516","large","2","F"
"1","digit","2 + 9 = 11","a","1093","small","2","T"
"1","digit","9 + 8 = 15","l","1262","large","2","F"
"1","word","nine + six = fifteen","a","1411","large","2","T"
"1","digit","5 + 3 = 4","l","661","small","2","F"
"1","word","seven + two = nine","a","923","small","2","T"
"1","digit","7 + 3 = 12","l","839","small","2","F"
"1","digit","6 + 7 = 13","a","865","large","2","T"
"1","digit","4 + 2 = 6","a","652","small","2","T"
"1","word","six + eight = fourteen","a","1371","large","2","T"
"1","word","three + four = six","l","379","small","2","F"
"1","digit","9 + 5 = 16","l","1103","large","2","F"
"1","word","nine + five = eleven","l","1179","large","2","F"
"1","digit","2 + 2 = 6","l","900","small","2","F"
"1","word","five + three = eight","a","941","small","2","T"
"1","word","two + four = six","a","935","small","2","T"
"1","digit","6 + 6 = 12","a","706","large","2","T"
"1","digit","3 + 6 = 7","l","933","small","2","F"
"1","digit","3 + 9 = 12","a","1363","large","2","T"
"1","digit","5 + 7 = 12","a","654","large","2","T"
"1","word","seven + four = twelve","l","1046","large","2","F"
"1","digit","2 + 5 = 11","l","1576","small","2","F"
"1","word","three + two = seven","l","1050","small","2","F"
"1","word","nine + nine = fifteen","l","945","large","2","F"
"1","digit","6 + 2 = 5","l","1213","small","2","F"
"1","digit","8 + 8 = 13","l","942","large","2","F"
"1","digit","8 + 6 = 18","l","1166","large","2","F"
"1","word","six + four = nine","l","1323","small","2","F"
"1","word","six + six = nine","l","1492","large","2","F"
"1","digit","5 + 4 = 9","a","843","small","2","T"
"1","digit","3 + 4 = 7","a","1211","small","2","T"
"1","digit","7 + 8 = 15","a","804","large","2","T"
"1","word","three + nine = twelve","a","1227","large","2","T"
"1","word","six + three = nine","a","1533","small","2","T"
"1","word","eight + nine = sixteen","l","1478","large","2","F"
"1","digit","4 + 8 = 11","l","1275","large","2","F"
"1","word","six + five = ten","l","1054","large","2","F"
"1","word","seven + nine = sixteen","a","1715","large","2","T"
"1","digit","2 + 8 = 10","a","802","small","2","T"
"1","digit","7 + 4 = 13","l","1106","large","2","F"
"1","word","seven + seven = fourteen","a","1000","large","2","T"
"1","digit","5 + 5 = 8","l","690","small","2","F"
"1","word","four + nine = thirteen","a","1747","large","2","T"
"1","word","five + five = ten","a","1390","small","2","T"
"1","word","four + eight = nine","l","1152","large","2","F"
"1","word","two + four = nine","l","902","small","2","F"
"1","digit","5 + 5 = 10","a","654","small","2","T"
"1","digit","8 + 3 = 11","a","739","small","2","T"
"1","word","five + seven = twelve","a","1105","large","2","T"
"1","word","seven + four = eleven","a","1094","large","2","T"
"1","digit","6 + 7 = 14","l","1409","large","2","F"
"1","digit","9 + 8 = 17","a","1062","large","2","T"
"1","digit","6 + 2 = 8","a","706","small","2","T"
"1","digit","4 + 3 = 9","l","658","small","2","F"
"1","word","three + five = twelve","l","1125","small","2","F"
"1","word","six + four = ten","a","968","small","2","T"
"1","word","seven + seven = fifteen","l","1011","large","2","F"
"1","word","eight + six = seventeen","l","1048","large","2","F"
"1","word","four + nine = sixteen","l","1180","large","2","F"
"1","word","eight + three = eleven","a","1035","small","2","T"
"1","word","two + nine = ten","l","1180","small","2","F"
"1","word","eight + eight = sixteen","a","1022","large","2","T"
"1","digit","4 + 9 = 16","l","936","large","2","F"
"1","word","two + two = five","l","755","small","2","F"
"1","digit","4 + 2 = 5","l","728","small","2","F"
"1","digit","5 + 7 = 11","l","845","large","2","F"
"1","digit","5 + 2 = 7","a","914","small","2","T"
"1","digit","9 + 5 = 14","a","1305","large","2","T"
"1","word","seven + six = twelve","l","995","large","2","F"
"1","digit","6 + 9 = 15","a","968","large","2","T"
"1","word","three + three = four","l","910","small","2","F"
"1","digit","3 + 6 = 9","a","761","small","2","T"
"1","digit","2 + 2 = 4","a","681","small","2","T"
"1","digit","9 + 9 = 18","a","685","large","2","T"
"1","digit","4 + 6 = 13","l","852","small","2","F"
"1","word","five + eight = thirteen","a","1238","large","2","T"
"1","digit","3 + 5 = 8","a","920","small","2","T"
"1","digit","2 + 9 = 8","l","1053","small","2","F"
"1","word","nine + five = fourteen","a","1857","large","2","T"
"1","digit","3 + 7 = 10","a","1079","small","2","T"
"1","digit","3 + 9 = 10","l","1063","large","2","F"
"1","word","nine + nine = eighteen","a","1191","large","2","T"
"1","word","three + six = seven","l","1232","small","2","F"
"1","word","four + four = six","l","819","small","2","F"
"1","word","two + seven = eight","l","987","small","2","F"
"1","word","four + three = seven","a","2011","small","2","T"
"1","word","two + eight = eleven","l","1370","small","2","F"
"1","digit","7 + 9 = 13","l","928","large","2","F"
"1","word","two + five = seven","a","936","small","2","T"
"1","digit","8 + 7 = 12","l","853","large","2","F"
"1","digit","3 + 3 = 7","l","671","small","2","F"
"1","digit","3 + 2 = 4","l","690","small","2","F"
"1","digit","2 + 8 = 7","l","853","small","2","F"
"1","digit","5 + 4 = 11","l","694","small","2","F"
"1","word","three + two = five","a","940","small","2","T"
"1","digit","6 + 6 = 15","l","690","large","2","F"
"1","digit","8 + 6 = 14","a","1030","large","2","T"
"1","word","six + two = eight","a","1336","small","2","T"
"1","word","six + six = twelve","a","798","large","2","T"
"1","word","seven + eight = thirteen","l","1039","large","2","F"
"1","digit","7 + 2 = 6","l","766","small","2","F"
"1","digit","7 + 7 = 18","l","786","large","2","F"
"1","word","three + nine = eleven","l","1949","large","2","F"
"1","word","eight + nine = seventeen","a","1101","large","2","T"
"0","word","seven + nine = eighteen","a","1082","large","2","F"
"1","digit","5 + 8 = 17","l","848","large","2","F"
"1","digit","6 + 5 = 11","a","820","large","2","T"
"1","digit","8 + 4 = 12","a","1268","large","2","T"
"1","word","six + nine = fourteen","l","1400","large","2","F"
"1","word","three + seven = ten","a","1235","small","2","T"
"1","digit","7 + 4 = 11","a","1096","large","2","T"
"1","digit","8 + 8 = 16","a","879","large","2","T"
"1","digit","4 + 4 = 8","a","763","small","2","T"
"1","word","six + five = eleven","a","954","large","2","T"
"1","word","five + four = nine","a","976","small","2","T"
"1","digit","7 + 4 = 12","l","1073","large","2","F"
"1","digit","4 + 6 = 10","a","688","small","2","T"
"1","word","six + four = eight","l","1063","small","2","F"
"1","digit","8 + 8 = 15","l","706","large","2","F"
"1","word","four + five = ten","l","1386","small","2","F"
"1","digit","4 + 2 = 6","a","732","small","2","T"
"1","digit","7 + 9 = 16","a","986","large","2","T"
"1","digit","4 + 4 = 10","l","1189","small","2","F"
"1","digit","3 + 4 = 7","a","713","small","2","T"
"1","word","six + seven = thirteen","a","1510","large","2","T"
"1","word","six + two = seven","l","1204","small","2","F"
"1","digit","3 + 8 = 9","l","887","small","2","F"
"1","word","five + five = nine","l","977","small","2","F"
"1","word","seven + eight = fifteen","a","1213","large","2","T"
"1","word","two + seven = nine","a","1053","small","2","T"
"1","digit","4 + 9 = 13","a","1153","large","2","T"
"1","word","six + five = fourteen","l","1351","large","2","F"
"1","word","two + eight = ten","a","897","small","2","T"
"1","digit","3 + 6 = 8","l","986","small","2","F"
"1","word","nine + eight = eighteen","l","1477","large","2","F"
"1","digit","6 + 7 = 13","a","898","large","2","T"
"1","word","four + seven = fifteen","l","1162","large","2","F"
"1","digit","7 + 3 = 6","l","1042","small","2","F"
"1","word","seven + seven = fourteen","a","907","large","2","T"
"1","word","eight + four = twelve","a","1494","large","2","T"
"1","digit","7 + 5 = 12","a","742","large","2","T"
"1","digit","2 + 5 = 4","l","867","small","2","F"
"1","digit","6 + 6 = 12","a","578","large","2","T"
"1","word","three + nine = twelve","a","1034","large","2","T"
"1","digit","6 + 8 = 17","l","777","large","2","F"
"1","word","six + eight = fourteen","a","974","large","2","T"
"1","digit","2 + 2 = 5","l","647","small","2","F"
"1","digit","2 + 7 = 9","a","783","small","2","T"
"1","digit","5 + 6 = 13","l","682","large","2","F"
"1","word","two + three = four","l","854","small","2","F"
"1","word","nine + five = twelve","l","1154","large","2","F"
"1","digit","7 + 7 = 14","a","849","large","2","T"
"1","word","nine + nine = seventeen","l","727","large","2","F"
"1","digit","8 + 7 = 15","a","751","large","2","T"
"1","word","four + four = eight","a","1024","small","2","T"
"1","word","two + two = four","a","690","small","2","T"
"1","digit","6 + 2 = 11","l","748","small","2","F"
"1","digit","5 + 4 = 9","a","900","small","2","T"
"1","word","three + four = five","l","1309","small","2","F"
"1","digit","8 + 4 = 13","l","779","large","2","F"
"1","digit","2 + 8 = 10","a","628","small","2","T"
"1","digit","6 + 9 = 12","l","790","large","2","F"
"0","word","six + three = nine","l","965","small","2","T"
"1","digit","5 + 5 = 12","l","857","small","2","F"
"1","word","three + seven = twelve","l","1111","small","2","F"
"1","word","three + three = six","a","888","small","2","T"
"1","word","eight + three = seven","l","970","small","2","F"
"1","word","six + six = eleven","l","995","large","2","F"
"1","digit","3 + 2 = 5","a","784","small","2","T"
"1","word","two + nine = eleven","a","2150","small","2","T"
"1","digit","5 + 8 = 13","a","976","large","2","T"
"1","digit","9 + 2 = 11","a","782","small","2","T"
"1","word","four + two = six","a","933","small","2","T"
"1","word","five + eight = fifteen","l","1270","large","2","F"
"1","word","two + five = six","l","1168","small","2","F"
"1","digit","9 + 5 = 18","l","1581","large","2","F"
"1","digit","5 + 3 = 7","l","946","small","2","F"
"1","digit","9 + 9 = 16","l","703","large","2","F"
"1","digit","3 + 3 = 6","a","746","small","2","T"
"1","word","five + seven = sixteen","l","1654","large","2","F"
"1","word","five + three = eight","a","1185","small","2","T"
"1","word","nine + four = thirteen","a","1096","large","2","T"
"1","digit","9 + 8 = 14","l","1633","large","2","F"
"1","word","seven + nine = sixteen","a","1453","large","2","T"
"1","word","eight + eight = thirteen","l","993","large","2","F"
"1","word","six + nine = fifteen","a","1341","large","2","T"
"1","digit","3 + 9 = 12","a","766","large","2","T"
"1","digit","2 + 9 = 12","l","902","small","2","F"
"1","digit","4 + 9 = 17","l","784","large","2","F"
