correct,format,problem,response,response_time,size,subject_nr,truth
1,digit,9 + 8 = 15,l,6750,large,1,F
1,digit,4 + 9 = 13,a,3355,large,1,T
1,word,two + two = four,a,1464,small,1,T
1,digit,6 + 2 = 5,l,1630,small,1,F
1,digit,3 + 8 = 10,l,2592,small,1,F
1,word,nine + six = fifteen,a,9118,large,1,T
1,digit,6 + 6 = 12,a,911,large,1,T
1,digit,5 + 4 = 9,a,1259,small,1,T
1,word,seven + five = fourteen,l,6755,large,1,F
1,digit,7 + 7 = 14,a,1813,large,1,T
1,word,seven + two = nine,a,1687,small,1,T
1,digit,5 + 5 = 8,l,4728,small,1,F
1,word,seven + six = thirteen,a,4914,large,1,T
1,digit,9 + 9 = 17,l,2183,large,1,F
1,digit,3 + 4 = 7,a,1227,small,1,T
1,digit,7 + 9 = 16,a,1344,large,1,T
1,word,two + four = six,a,1437,small,1,T
1,word,six + six = nine,l,1257,large,1,F
1,digit,7 + 3 = 12,l,7173,small,1,F
1,word,eight + two = ten,a,1495,small,1,T
1,word,three + four = six,l,1510,small,1,F
1,digit,4 + 4 = 9,l,952,small,1,F
0,digit,8 + 8 = 13,a,951,large,1,F
1,digit,8 + 6 = 18,l,1338,large,1,F
0,word,five + three = eight,l,2382,small,1,T
1,digit,7 + 4 = 13,l,4207,large,1,F
1,word,eight + five = seventeen,l,4958,large,1,F
1,digit,2 + 8 = 10,a,1332,small,1,T
1,word,two + nine = eleven,a,3369,small,1,T
0,digit,6 + 5 = 14,a,4771,large,1,F
1,word,five + five = eight,l,4513,small,1,F
1,digit,6 + 4 = 10,a,4140,small,1,T
1,digit,2 + 5 = 11,l,3107,small,1,F
1,word,nine + five = eleven,l,3118,large,1,F
1,word,six + five = ten,l,2763,large,1,F
1,digit,5 + 8 = 13,a,8062,large,1,T
1,word,seven + four = twelve,l,5352,large,1,F
1,word,four + nine = thirteen,a,6143,large,1,T
1,digit,5 + 7 = 12,a,1409,large,1,T
1,word,three + nine = twelve,a,3008,large,1,T
1,word,six + eight = fourteen,a,2998,large,1,T
1,word,eight + eight = eighteen,l,2595,large,1,F
1,word,three + eight = twelve,l,15979,small,1,F
1,word,four + eight = twelve,a,19550,large,1,T
1,digit,3 + 6 = 7,l,9551,small,1,F
1,word,seven + three = fourteen,l,6763,small,1,F
1,digit,7 + 8 = 15,a,3861,large,1,T
1,digit,4 + 8 = 11,l,3566,large,1,F
1,word,three + three = six,a,2602,small,1,T
1,word,eight + seven = fifteen,a,4626,large,1,T
1,digit,3 + 3 = 6,a,1716,small,1,T
1,digit,9 + 5 = 16,l,3773,large,1,F
1,digit,4 + 2 = 6,a,1997,small,1,T
1,word,six + three = nine,a,1817,small,1,T
1,word,seven + seven = fourteen,a,2573,large,1,T
1,digit,2 + 2 = 6,l,1521,small,1,F
1,digit,2 + 9 = 11,a,4560,small,1,T
1,word,nine + nine = fifteen,l,2016,large,1,F
0,digit,5 + 3 = 4,a,3755,small,1,F
1,digit,9 + 6 = 11,l,8547,large,1,F
1,digit,2 + 3 = 5,a,1950,small,1,T
1,digit,3 + 9 = 12,a,1865,large,1,T
1,word,four + four = eight,a,1875,small,1,T
1,word,six + four = nine,l,3505,small,1,F
1,word,four + five = thirteen,l,2693,small,1,F
1,word,seven + nine = sixteen,a,9008,large,1,T
1,digit,2 + 7 = 9,a,2299,small,1,T
1,digit,6 + 7 = 13,a,4824,large,1,T
1,word,eight + nine = sixteen,l,6153,large,1,F
1,word,two + six = five,l,2995,small,1,F
1,word,five + two = four,l,10277,small,1,F
1,word,three + two = seven,l,3307,small,1,F
1,digit,3 + 5 = 8,a,6627,small,1,T
1,digit,7 + 2 = 6,l,3763,small,1,F
1,word,seven + four = eleven,a,8444,large,1,T
1,word,three + five = twelve,l,7111,small,1,F
1,word,six + four = ten,a,2225,small,1,T
1,digit,4 + 4 = 8,a,1302,small,1,T
1,digit,8 + 7 = 12,l,4277,large,1,F
1,digit,4 + 2 = 5,l,4510,small,1,F
1,digit,8 + 3 = 11,a,5104,small,1,T
1,word,eight + three = eleven,a,11632,small,1,T
1,word,three + nine = eleven,l,3106,large,1,F
1,digit,4 + 3 = 9,l,2525,small,1,F
1,digit,7 + 4 = 11,a,5804,large,1,T
1,word,two + five = seven,a,3974,small,1,T
1,word,six + five = eleven,a,6571,large,1,T
1,digit,7 + 7 = 18,l,2148,large,1,F
1,digit,4 + 9 = 16,l,2509,large,1,F
1,digit,2 + 8 = 7,l,3242,small,1,F
1,word,five + four = nine,a,7035,small,1,T
1,digit,8 + 8 = 16,a,2696,large,1,T
1,word,two + two = five,l,2400,small,1,F
1,digit,5 + 5 = 10,a,1211,small,1,T
1,word,eight + nine = seventeen,a,2468,large,1,T
1,digit,4 + 6 = 13,l,1822,small,1,F
1,word,eight + six = seventeen,l,3666,large,1,F
1,digit,7 + 9 = 13,l,1420,large,1,F
1,digit,6 + 9 = 15,a,1732,large,1,T
1,word,two + seven = eight,l,3286,small,1,F
1,digit,5 + 2 = 7,a,3546,small,1,T
1,word,three + three = four,l,7770,small,1,F
1,word,five + seven = twelve,a,2162,large,1,T
1,digit,3 + 3 = 7,l,1053,small,1,F
1,word,four + three = seven,a,6016,small,1,T
1,digit,8 + 4 = 12,a,2475,large,1,T
1,word,six + nine = fourteen,l,2148,large,1,F
1,word,five + five = ten,a,1804,small,1,T
1,word,two + nine = ten,l,2321,small,1,F
1,word,seven + nine = eighteen,l,2669,large,1,F
1,digit,3 + 9 = 10,l,3078,large,1,F
1,word,four + four = six,l,1384,small,1,F
1,word,four + nine = sixteen,l,2735,large,1,F
1,word,seven + eight = thirteen,l,3015,large,1,F
1,word,three + two = five,a,1515,small,1,T
1,digit,9 + 5 = 14,a,1222,large,1,T
1,digit,2 + 2 = 4,a,1285,small,1,T
1,digit,9 + 9 = 18,a,1268,large,1,T
1,word,nine + five = fourteen,a,2364,large,1,T
0,digit,3 + 6 = 9,l,1333,small,1,T
1,digit,6 + 7 = 14,l,1243,large,1,F
1,digit,9 + 8 = 17,a,1237,large,1,T
0,digit,3 + 7 = 10,l,1290,small,1,T
1,digit,6 + 2 = 8,a,1693,small,1,T
1,word,four + eight = nine,l,4097,large,1,F
1,word,eight + eight = sixteen,a,1740,large,1,T
1,digit,5 + 7 = 11,l,1951,large,1,F
0,word,three + seven = ten,l,2512,small,1,T
1,word,two + eight = eleven,l,3031,small,1,F
1,digit,6 + 6 = 15,l,2030,large,1,F
1,digit,8 + 6 = 14,a,4370,large,1,T
1,digit,5 + 8 = 17,l,2338,large,1,F
1,digit,6 + 5 = 11,a,2273,large,1,T
1,digit,2 + 9 = 8,l,1548,small,1,F
1,word,six + two = eight,a,1497,small,1,T
1,word,six + six = twelve,a,1492,large,1,T
1,word,two + four = nine,l,4209,small,1,F
1,digit,3 + 2 = 4,l,3555,small,1,F
1,word,three + six = seven,l,5929,small,1,F
1,word,seven + six = twelve,l,3466,large,1,F
0,word,five + eight = thirteen,l,3043,large,1,T
1,word,seven + seven = fifteen,l,1603,large,1,F
1,digit,5 + 4 = 11,l,1988,small,1,F
1,word,nine + nine = eighteen,a,1251,large,1,T
1,word,two + three = four,l,1778,small,1,F
