age,gender,listType,time1,time2,time3,time4,time5,time6,meanTime
32,m,OR,24,4,4,10,3,3,8.00
35,f,OR,48,3,5,44,2,3,17.50
36,f,UN,3,4,20,7,2,5,6.83
22,f,UN,25,28,47,6,29,37,28.67
35,m,OR,21,240,11,32,240,8,92.00
37,m,OR,3,240,240,3,240,240,161.00
30,m,UN,240,3,8,240,2,3,82.67
60,m,UN,3,240,7,240,240,240,161.67
50,f,OR,5,4,4,3,5,12,5.50
59,m,OR,140,7,3,18,71,50,48.17
25,f,UN,1,7,2,17,31,16,12.33
60,f,UN,3,98,8,14,240,240,100.50
40,f,OR,5,8,4,4,4,4,4.83
40,m,OR,5,7,4,5,9,3,5.50
63,f,UN,6,7,5,34,4,5,10.17
20,f,UN,3,6,6,4,4,4,4.50
25,f,OR,1,25,29,11,1,1,11.33
29,f,OR,1,110,1,1,1,1,19.17
47,m,UN,4,1,1,11,1,1,3.17
21,m,UN,1,3,7,17,85,2,19.17
19,m,OR,3,9,18,3,3,10,7.67
20,f,OR,18,40,2,2,50,5,19.50
19,f,UN,2,3,2,2,4,3,2.67
20,m,UN,16,21,33,8,17,13,18.00
33,f,OR,2,29,33,15,4,18,16.83
41,m,OR,4,2,3,2,2,5,3.00
38,m,UN,3,25,3,14,41,9,15.83
40,f,UN,2,1,49,8,3,12,12.50
50,f,OR,84,2,3,4,3,26,20.33
27,f,OR,127,4,8,2,2,1,24.00
43,f,UN,27,3,4,87,60,4,30.83
29,f,UN,4,1,1,6,240,2,42.33
28,m,OR,19,5,7,3,15,15,10.67
25,f,OR,8,3,3,67,2,2,14.17
22,f,UN,3,6,38,91,142,240,86.67
22,f,UN,3,22,240,2,2,3,45.33
21,f,OR,3,3,2,2,2,2,2.33
19,f,OR,3,2,38,3,20,60,21.00
20,f,UN,17,60,5,60,17,120,46.50
20,f,UN,3,8,3,3,3,23,7.17
24,f,OR,9,18,3,2,3,4,6.50
22,m,OR,7,5,2,8,2,2,4.33
28,f,UN,10,30,14,23,6,7,15.00
22,f,UN,33,28,11,36,15,6,21.50
25,f,OR,119,5,7,3,16,2,25.33
18,m,OR,4,3,24,9,1,62,17.17
33,f,UN,1,6,3,7,12,88,19.50
40,m,UN,2,8,6,12,8,24,10.00
18,f,OR,5,6,4,2,34,2,8.83
40,m,OR,23,1,11,2,4,21,10.33
60,f,UN,4,4,1,7,8,3,4.50
41,f,UN,5,240,3,4,2,3,42.83
20,f,OR,240,10,240,35,6,3,89.00
20,m,OR,4,11,21,240,8,3,47.83
19,f,UN,1,4,1,2,2,1,1.83
20,m,UN,3,3,3,3,5,8,4.17
19,f,OR,3,6,4,3,2,1,3.17
21,m,OR,1,8,8,2,240,25,47.33
19,f,UN,20,9,2,18,3,4,9.33
20,m,UN,57,240,48,97,5,1,74.67
64,f,OR,4,2,5,72,4,12,16.50
42,f,OR,2,2,3,2,2,2,2.17
44,f,UN,5,5,4,2,6,3,4.17
68,m,UN,6,8,16,7,22,9,11.33
48,f,OR,2,7,2,2,2,2,2.83
19,m,OR,3,240,11,20,27,12,52.17
22,m,UN,18,1,2,1,1,1,4.00
53,m,UN,48,3,12,73,33,1,28.33
22,f,OR,3,240,3,3,4,4,42.83
22,f,OR,2,10,2,2,1,2,3.17
25,m,UN,5,18,3,2,27,7,10.33
47,f,UN,5,7,4,2,12,3,5.50
50,m,OR,3,49,2,2,1,1,9.67
29,f,OR,3,8,3,11,1,1,4.50
22,f,UN,3,2,14,82,45,36,30.33
29,m,UN,19,14,3,240,5,240,86.83
20,m,OR,1,2,16,2,1,7,4.83
42,f,OR,3,6,2,2,1,1,2.50
20,f,UN,8,7,10,5,16,5,8.50
20,m,UN,6,10,6,1,12,4,6.50
54,f,OR,30,42,33,25,40,39,34.83
56,f,OR,34,50,37,29,32,30,35.33
30,m,UN,45,60,52,47,50,56,51.67
60,m,UN,42,30,49,46,39,50,42.67
18,m,OR,158,2,4,131,31,3,54.83
58,f,OR,200,26,20,69,23,15,58.83
38,m,UN,6,2,3,9,11,36,11.17
56,m,UN,13,9,10,7,19,52,18.33
63,f,OR,172,240,65,74,124,84,126.50
35,m,OR,100,170,40,90,141,180,120.17
40,f,UN,160,180,204,240,240,223,207.83
37,f,UN,182,240,160,140,230,196,191.33
40,f,OR,40,3,3,3,9,3,10.17
43,m,OR,43,240,17,7,2,3,52.00
25,m,UN,25,7,2,3,2,4,7.17
18,f,UN,18,2,4,6,3,5,6.33
20,m,OR,1,2,1,18,1,27,8.33
19,f,OR,2,4,2,3,6,6,3.83
23,f,UN,2,47,19,3,35,6,18.67
20,m,UN,4,2,11,7,28,37,14.83
23,f,OR,68,6,17,20,4,14,21.50
21,f,OR,3,2,3,10,3,9,5.00
23,m,UN,60,240,12,4,3,2,53.50
22,f,UN,69,76,3,12,15,2,29.50
21,f,OR,5,2,1,5,2,3,3.00
20,m,OR,15,240,3,5,6,2,45.17
20,m,UN,30,23,6,15,2,10,14.33
19,m,UN,240,200,10,50,120,15,105.83
