age,gender,isep,coatHanger
56,f,53,12
31,m,50,7
30,f,48,7
32,m,52,11
63,f,45,5
37,m,49,19
43,f,54,19
27,f,27,2
60,f,55,5
29,m,47,10
29,f,54,6
29,f,57,5
24,f,50,11
19,f,39,8
21,f,48,4
20,f,41,13
22,f,47,7
25,f,41,11
22,f,60,9
24,f,48,4
25,f,45,8
23,f,47,8
47,m,43,11
28,f,49,18
20,f,58,11
20,m,46,6
21,m,51,2
20,m,45,5
43,f,51,7
66,f,56,8
41,m,34,4
38,f,49,12
20,f,54,11
19,m,58,8
21,f,53,9
20,m,48,3
50,f,55,4
27,f,52,20
33,m,44,19
35,f,43,9
21,f,51,3
24,m,42,4
24,f,49,5
23,m,33,6
20,f,60,9
21,f,53,6
21,f,41,5
20,f,63,10
37,f,50,9
43,m,55,9
22,m,52,11
22,f,42,13
22,f,60,9
22,f,55,5
24,f,56,8
22,f,57,7
42,m,53,12
25,f,63,11
70,m,52,16
65,f,53,8
38,m,40,21
57,m,46,17
59,f,66,4
37,f,43,4
40,f,54,4
35,f,54,5
35,m,52,9
19,f,60,8
22,f,48,4
21,f,60,9
22,m,39,5
18,f,51,7
26,m,58,8
63,f,48,5
40,f,48,4
22,m,43,6
48,f,45,8
53,m,33,5
53,f,52,4
60,f,43,5
40,m,58,7
18,f,42,9
18,m,51,8
20,f,44,10
18,f,48,12
23,m,51,9
20,m,55,4
20,m,60,6
19,f,48,9
21,m,47,8
19,f,41,7
22,m,32,9
21,f,53,5
21,f,28,11
23,m,49,8
21,f,33,7
21,f,44,8
21,m,47,12
22,f,46,7
44,f,33,4
64,f,52,4
42,f,51,5
68,m,41,3
20,m,51,10
20,m,43,3
19,m,52,7
21,f,54,6
