"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","digit","7 + 3 = 12","l","793","small","2","F"
"1","digit","4 + 4 = 9","l","636","small","2","F"
"1","word","six + three = nine","a","1306","small","2","T"
"1","word","seven + two = nine","a","1213","small","2","T"
"1","digit","8 + 6 = 18","l","730","large","2","F"
"1","word","four + four = eight","a","740","small","2","T"
"1","word","five + three = eight","a","1148","small","2","T"
"1","digit","4 + 9 = 13","a","953","large","2","T"
"1","word","eight + eight = eighteen","l","849","large","2","F"
"1","word","three + two = seven","l","1036","small","2","F"
"1","digit","8 + 8 = 13","l","661","large","2","F"
"0","digit","5 + 4 = 9","l","679","small","2","T"
"1","word","three + eight = twelve","l","1351","small","2","F"
"1","word","three + nine = twelve","a","907","large","2","T"
"1","word","nine + nine = fifteen","l","992","large","2","F"
"1","digit","3 + 3 = 6","a","771","small","2","T"
"1","digit","5 + 7 = 12","a","756","large","2","T"
"1","digit","4 + 2 = 6","a","800","small","2","T"
"1","word","six + four = nine","l","1521","small","2","F"
"1","word","four + eight = twelve","a","1252","large","2","T"
"1","digit","9 + 5 = 16","l","1336","large","2","F"
"1","digit","6 + 7 = 13","a","1255","large","2","T"
"0","word","seven + seven = fourteen","l","1244","large","2","T"
"1","digit","5 + 3 = 4","l","853","small","2","F"
"1","word","seven + four = twelve","l","1429","large","2","F"
"1","digit","2 + 3 = 5","a","846","small","2","T"
"1","digit","3 + 9 = 12","a","732","large","2","T"
"1","digit","7 + 4 = 13","l","1026","large","2","F"
"1","word","eight + nine = sixteen","l","2394","large","2","F"
"1","digit","6 + 2 = 5","l","1141","small","2","F"
"1","digit","2 + 5 = 11","l","797","small","2","F"
"1","word","seven + nine = sixteen","a","1531","large","2","T"
"1","digit","5 + 5 = 8","l","687","small","2","F"
"1","digit","2 + 7 = 9","a","624","small","2","T"
"1","word","six + eight = fourteen","a","1678","large","2","T"
"0","word","seven + six = thirteen","l","2785","large","2","T"
"1","digit","7 + 8 = 15","a","1393","large","2","T"
"1","digit","6 + 5 = 14","l","969","large","2","F"
"1","digit","7 + 9 = 16","a","1213","large","2","T"
"1","word","two + nine = eleven","a","1447","small","2","T"
"1","word","eight + seven = fifteen","a","2431","large","2","T"
"1","digit","9 + 6 = 11","l","1173","large","2","F"
"1","digit","3 + 4 = 7","a","681","small","2","T"
"1","word","two + two = four","a","791","small","2","T"
"1","digit","4 + 8 = 11","l","795","large","2","F"
"1","word","nine + six = fifteen","a","1841","large","2","T"
"1","word","three + four = six","l","942","small","2","F"
"1","digit","9 + 9 = 17","l","989","large","2","F"
"1","word","three + three = six","a","712","small","2","T"
"1","digit","6 + 4 = 10","a","726","small","2","T"
"1","digit","3 + 6 = 7","l","845","small","2","F"
"1","word","seven + five = fourteen","l","2504","large","2","F"
"1","word","nine + five = eleven","l","2130","large","2","F"
"1","digit","2 + 2 = 6","l","975","small","2","F"
"1","word","eight + two = ten","a","2340","small","2","T"
"1","word","two + six = five","l","1268","small","2","F"
"1","word","two + four = six","a","1021","small","2","T"
"1","word","five + two = four","l","1237","small","2","F"
"1","word","four + five = thirteen","l","2042","small","2","F"
"1","digit","2 + 8 = 10","a","688","small","2","T"
"1","digit","5 + 8 = 13","a","977","large","2","T"
"1","word","six + five = ten","l","1317","large","2","F"
"1","digit","9 + 8 = 15","l","1631","large","2","F"
"1","word","eight + five = seventeen","l","2764","large","2","F"
"1","word","seven + three = fourteen","l","2632","small","2","F"
"1","digit","2 + 9 = 11","a","642","small","2","T"
"1","word","five + five = eight","l","964","small","2","F"
"1","word","four + nine = thirteen","a","1863","large","2","T"
"1","digit","6 + 6 = 12","a","677","large","2","T"
"1","word","six + six = nine","l","1049","large","2","F"
"1","digit","3 + 8 = 10","l","765","small","2","F"
"1","digit","7 + 7 = 14","a","922","large","2","T"
"1","digit","6 + 6 = 15","l","1408","large","2","F"
"1","digit","5 + 2 = 7","a","644","small","2","T"
"1","word","six + six = twelve","a","742","large","2","T"
"1","digit","6 + 2 = 8","a","587","small","2","T"
"1","word","eight + eight = sixteen","a","1170","large","2","T"
"1","word","seven + four = eleven","a","1523","large","2","T"
"1","digit","7 + 4 = 11","a","547","large","2","T"
"1","word","three + nine = eleven","l","2078","large","2","F"
"1","digit","3 + 3 = 7","l","1112","small","2","F"
"1","digit","3 + 5 = 8","a","774","small","2","T"
"1","digit","8 + 4 = 12","a","744","large","2","T"
"1","word","seven + nine = eighteen","l","2270","large","2","F"
"1","word","four + eight = nine","l","1415","large","2","F"
"1","digit","2 + 9 = 8","l","927","small","2","F"
"1","digit","3 + 9 = 10","l","790","large","2","F"
"1","word","two + seven = eight","l","1371","small","2","F"
"1","digit","8 + 3 = 11","a","1181","small","2","T"
"1","word","four + three = seven","a","2904","small","2","T"
"1","word","six + four = ten","a","2867","small","2","T"
"1","digit","4 + 4 = 8","a","778","small","2","T"
