subject,gender,age
1,f,25
2,f,21
3,f,24
4,m,27
5,f,27
6,f,26
7,f,24
8,f,32
9,f,25
10,m,26
11,f,23
12,f,61
13,f,24
14,f,22
15,f,19
16,f,18
17,m,37
18,m,26
19,m,39
20,f,34
21,f,25
22,m,51
23,f,51
24,m,18
25,f,23
26,m,22
27,f,24
28,f,19
29,f,26
30,m,55
31,f,29
32,f,54
33,f,24
34,f,37
35,f,52
36,m,50
37,f,23
38,m,52
39,f,52
40,m,20
41,f,23
42,f,22
43,f,21
44,f,21
45,f,23
46,f,27
47,m,31
48,m,27
49,f,29
50,f,27
51,m,27
52,m,29
53,f,22
54,m,26
55,m,30
56,f,24
