"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","five + two = four","l","1135","small","1","F"
"0","digit","7 + 3 = 12","a","1007","small","1","F"
"0","word","six + three = nine","l","1123","small","1","T"
"1","digit","7 + 4 = 13","l","1050","large","1","F"
"0","digit","5 + 7 = 12","l","863","large","1","T"
"1","word","seven + four = twelve","l","1011","large","1","F"
"1","word","three + nine = twelve","a","1199","large","1","T"
"1","digit","6 + 5 = 14","l","730","large","1","F"
"1","word","five + five = eight","l","1156","small","1","F"
"1","digit","4 + 8 = 11","l","653","large","1","F"
"1","digit","7 + 7 = 14","a","1232","large","1","T"
"1","digit","3 + 6 = 7","l","1156","small","1","F"
"1","digit","6 + 4 = 10","a","886","small","1","T"
"1","word","two + six = five","l","979","small","1","F"
"1","word","six + four = nine","l","1254","small","1","F"
"0","word","six + six = nine","a","948","large","1","F"
"0","digit","4 + 9 = 13","l","2277","large","1","T"
"1","word","four + four = eight","a","1009","small","1","T"
"1","word","nine + six = fifteen","a","2503","large","1","T"
"1","word","seven + three = fourteen","l","1307","small","1","F"
"1","digit","2 + 8 = 10","a","952","small","1","T"
"1","word","three + four = six","l","1416","small","1","F"
"1","digit","2 + 3 = 5","a","932","small","1","T"
"1","word","three + two = seven","l","1417","small","1","F"
"1","digit","2 + 9 = 11","a","936","small","1","T"
"1","word","four + five = thirteen","l","1117","small","1","F"
"0","digit","4 + 2 = 6","l","1223","small","1","T"
"1","word","nine + nine = fifteen","l","1208","large","1","F"
"1","word","eight + five = seventeen","l","1287","large","1","F"
"1","word","eight + eight = eighteen","l","1147","large","1","F"
"1","word","six + five = ten","l","1669","large","1","F"
"1","digit","7 + 8 = 15","a","1280","large","1","T"
"0","word","two + nine = eleven","l","1107","small","1","T"
"1","word","nine + five = eleven","l","1014","large","1","F"
"0","word","eight + nine = sixteen","a","1623","large","1","F"
"1","digit","5 + 8 = 13","a","1528","large","1","T"
"1","digit","8 + 8 = 13","l","1198","large","1","F"
"1","digit","5 + 5 = 8","l","1026","small","1","F"
"1","digit","4 + 4 = 9","l","791","small","1","F"
"1","digit","5 + 3 = 4","l","964","small","1","F"
"1","digit","7 + 9 = 16","a","1819","large","1","T"
"1","word","four + eight = twelve","a","1207","large","1","T"
"1","word","eight + two = ten","a","1410","small","1","T"
"1","word","two + four = six","a","1097","small","1","T"
"1","word","seven + two = nine","a","954","small","1","T"
"1","digit","6 + 6 = 12","a","868","large","1","T"
"0","word","two + two = four","l","972","small","1","T"
"1","digit","2 + 2 = 6","l","895","small","1","F"
"1","digit","2 + 5 = 11","l","968","small","1","F"
"1","digit","6 + 7 = 13","a","948","large","1","T"
"1","word","three + three = six","a","894","small","1","T"
"1","word","seven + six = thirteen","a","1265","large","1","T"
"1","digit","6 + 2 = 5","l","837","small","1","F"
"1","word","three + eight = twelve","l","2353","small","1","F"
"0","digit","9 + 5 = 16","a","1025","large","1","F"
"1","digit","9 + 6 = 11","l","1758","large","1","F"
"1","digit","3 + 4 = 7","a","881","small","1","T"
"1","digit","3 + 3 = 6","a","623","small","1","T"
"1","digit","3 + 9 = 12","a","1244","large","1","T"
"0","word","four + nine = thirteen","l","1359","large","1","T"
"1","word","eight + seven = fifteen","a","1517","large","1","T"
"1","digit","2 + 7 = 9","a","853","small","1","T"
"0","digit","8 + 6 = 18","a","2870","large","1","F"
"1","word","six + eight = fourteen","a","1721","large","1","T"
"1","digit","9 + 9 = 17","l","967","large","1","F"
"1","word","seven + five = fourteen","l","2540","large","1","F"
"1","digit","9 + 8 = 15","l","1468","large","1","F"
"0","digit","5 + 4 = 9","l","877","small","1","T"
"1","word","seven + seven = fourteen","a","970","large","1","T"
"1","word","seven + nine = sixteen","a","2159","large","1","T"
"1","word","five + three = eight","a","1057","small","1","T"
"1","digit","3 + 8 = 10","l","1380","small","1","F"
"1","word","five + eight = thirteen","a","2329","large","1","T"
