"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","digit","2 + 8 = 10","a","3131.0","small","2","T"
"0","digit","9 + 8 = 15","a","2695.0","large","2","F"
"1","word","six + five = ten","l","3241.0","large","2","F"
"1","digit","6 + 6 = 12","a","1770.0","large","2","T"
"1","word","eight + eight = eighteen","l","2735.0","large","2","F"
"1","word","seven + four = twelve","l","7420.0","large","2","F"
"1","digit","9 + 9 = 17","l","1759.0","large","2","F"
"1","digit","6 + 5 = 14","l","4472.0","large","2","F"
"1","digit","2 + 3 = 5","a","3976.0","small","2","T"
"1","word","five + three = eight","a","4106.0","small","2","T"
"1","word","four + five = thirteen","l","2075.0","small","2","F"
"1","digit","4 + 4 = 9","l","2495.0","small","2","F"
"1","digit","8 + 6 = 18","l","2107.0","large","2","F"
"1","digit","3 + 9 = 12","a","4904.0","large","2","T"
"1","digit","6 + 2 = 5","l","3197.0","small","2","F"
"1","word","two + six = five","l","4742.0","small","2","F"
"1","digit","4 + 2 = 6","a","3721.0","small","2","T"
"1","word","eight + two = ten","a","8163.0","small","2","T"
"0","word","seven + five = fourteen","a","4798.0","large","2","F"
"1","word","nine + five = eleven","l","5317.0","large","2","F"
"1","digit","8 + 8 = 13","l","2524.0","large","2","F"
"1","word","seven + two = nine","a","4459.0","small","2","T"
"1","digit","3 + 4 = 7","a","4694.0","small","2","T"
"0","digit","5 + 8 = 13","l","2526.0","large","2","T"
"1","digit","7 + 3 = 12","l","6082.0","small","2","F"
"1","word","four + eight = twelve","a","10627.0","large","2","T"
"1","digit","2 + 9 = 11","a","2790.0","small","2","T"
"1","word","seven + three = fourteen","l","4679.0","small","2","F"
"1","word","three + two = seven","l","5362.0","small","2","F"
"1","word","eight + seven = fifteen","a","3375.0","large","2","T"
"1","digit","7 + 8 = 15","a","2955.0","large","2","T"
"1","word","five + five = eight","l","2069.0","small","2","F"
"1","digit","9 + 5 = 16","l","4740.0","large","2","F"
"1","word","two + four = six","a","4972.0","small","2","T"
"1","word","four + four = eight","a","2662.0","small","2","T"
"1","word","two + two = four","a","1883.0","small","2","T"
"1","digit","7 + 7 = 14","a","1588.0","large","2","T"
