correct,format,problem,response,response_time,size,subject_nr,truth
1,digit,4 + 9 = 13,a,2105,large,4,T
1,digit,7 + 3 = 12,l,788,small,4,F
1,word,six + four = nine,l,2744,small,4,F
1,word,three + four = six,l,2061,small,4,F
1,digit,2 + 5 = 11,l,938,small,4,F
1,digit,3 + 8 = 10,l,753,small,4,F
1,digit,3 + 9 = 12,a,957,large,4,T
1,word,seven + seven = fourteen,a,1334,large,4,T
1,digit,7 + 9 = 16,a,1201,large,4,T
1,word,six + eight = fourteen,a,1750,large,4,T
1,digit,6 + 6 = 12,a,775,large,4,T
1,word,seven + four = twelve,l,2085,large,4,F
1,digit,5 + 7 = 12,a,803,large,4,T
1,digit,5 + 3 = 4,l,897,small,4,F
1,digit,9 + 9 = 17,l,1170,large,4,F
1,digit,6 + 5 = 14,l,830,large,4,F
1,word,eight + nine = sixteen,l,2100,large,4,F
1,digit,9 + 8 = 15,l,928,large,4,F
1,digit,4 + 2 = 6,a,1066,small,4,T
1,word,nine + nine = fifteen,l,1616,large,4,F
1,digit,3 + 3 = 6,a,745,small,4,T
1,word,eight + eight = eighteen,l,1405,large,4,F
1,digit,8 + 6 = 18,l,1063,large,4,F
1,digit,8 + 8 = 13,l,901,large,4,F
0,word,seven + nine = sixteen,l,1620,large,4,T
1,digit,2 + 8 = 10,a,972,small,4,T
1,digit,2 + 7 = 9,a,1133,small,4,T
1,word,seven + three = fourteen,l,1486,small,4,F
1,word,six + five = ten,l,1403,large,4,F
1,digit,5 + 8 = 13,a,928,large,4,T
1,digit,2 + 2 = 6,l,1290,small,4,F
1,digit,6 + 7 = 13,a,1136,large,4,T
1,digit,7 + 8 = 15,a,991,large,4,T
1,word,six + three = nine,a,2179,small,4,T
0,word,two + four = six,l,1711,small,4,T
1,word,three + three = six,a,1332,small,4,T
1,digit,9 + 6 = 11,l,1068,large,4,F
1,word,eight + seven = fifteen,a,1375,large,4,T
1,digit,4 + 4 = 9,l,951,small,4,F
1,word,six + six = nine,l,1341,large,4,F
1,word,seven + five = fourteen,l,1539,large,4,F
1,digit,9 + 5 = 16,l,1732,large,4,F
1,word,seven + six = thirteen,a,1971,large,4,T
1,digit,5 + 5 = 8,l,1283,small,4,F
1,digit,4 + 8 = 11,l,1047,large,4,F
0,digit,3 + 4 = 7,l,1087,small,4,T
1,word,two + two = four,a,1052,small,4,T
1,word,four + eight = twelve,a,2132,large,4,T
1,word,three + two = seven,l,1639,small,4,F
1,word,eight + two = ten,a,1414,small,4,T
1,digit,3 + 6 = 7,l,1034,small,4,F
1,word,five + two = four,l,1479,small,4,F
1,word,five + three = eight,a,1743,small,4,T
1,digit,2 + 9 = 11,a,984,small,4,T
1,digit,7 + 4 = 13,l,841,large,4,F
0,word,three + eight = twelve,a,3522,small,4,F
1,word,four + four = eight,a,1026,small,4,T
1,word,seven + two = nine,a,1559,small,4,T
1,digit,5 + 4 = 9,a,880,small,4,T
1,word,three + nine = twelve,a,2129,large,4,T
1,word,nine + five = eleven,l,1255,large,4,F
1,digit,7 + 7 = 14,a,1484,large,4,T
0,word,four + nine = thirteen,l,2933,large,4,T
0,word,eight + five = seventeen,a,1531,large,4,F
1,digit,6 + 4 = 10,a,743,small,4,T
1,word,two + six = five,l,1993,small,4,F
1,digit,2 + 3 = 5,a,910,small,4,T
0,word,two + nine = eleven,l,1370,small,4,T
1,word,four + five = thirteen,l,1593,small,4,F
1,word,nine + six = fifteen,a,2633,large,4,T
1,word,five + five = eight,l,1252,small,4,F
1,digit,6 + 2 = 5,l,867,small,4,F
1,digit,3 + 3 = 7,l,916,small,4,F
1,word,three + two = five,a,1525,small,4,T
1,word,nine + nine = eighteen,a,1336,large,4,T
1,word,six + five = eleven,a,1755,large,4,T
1,word,four + three = seven,a,1830,small,4,T
1,digit,5 + 2 = 7,a,1033,small,4,T
1,digit,8 + 3 = 11,a,880,small,4,T
1,word,four + eight = nine,l,1653,large,4,F
1,word,four + four = six,l,1029,small,4,F
1,digit,6 + 2 = 8,a,1173,small,4,T
1,word,eight + six = seventeen,l,2442,large,4,F
1,digit,9 + 5 = 14,a,824,large,4,T
1,word,two + two = five,l,1119,small,4,F
1,digit,6 + 9 = 15,a,2010,large,4,T
1,word,seven + six = twelve,l,1767,large,4,F
1,digit,6 + 5 = 11,a,990,large,4,T
1,digit,3 + 9 = 10,l,879,large,4,F
1,word,two + seven = eight,l,1424,small,4,F
1,word,six + four = ten,a,1935,small,4,T
1,digit,3 + 6 = 9,a,816,small,4,T
1,digit,4 + 3 = 9,l,1391,small,4,F
1,digit,3 + 2 = 4,l,1250,small,4,F
1,digit,5 + 5 = 10,a,783,small,4,T
1,word,seven + eight = thirteen,l,2551,large,4,F
1,digit,9 + 8 = 17,a,1911,large,4,T
1,digit,3 + 7 = 10,a,754,small,4,T
1,word,two + five = seven,a,1183,small,4,T
1,digit,8 + 8 = 16,a,819,large,4,T
1,word,five + eight = thirteen,a,1379,large,4,T
1,digit,9 + 9 = 18,a,720,large,4,T
1,digit,7 + 2 = 6,l,866,small,4,F
0,digit,8 + 7 = 12,a,968,large,4,F
1,word,four + nine = sixteen,l,2387,large,4,F
1,digit,5 + 4 = 11,l,843,small,4,F
1,word,eight + eight = sixteen,a,995,large,4,T
1,digit,4 + 6 = 13,l,798,small,4,F
1,word,three + seven = ten,a,1649,small,4,T
1,digit,8 + 4 = 12,a,957,large,4,T
1,digit,7 + 9 = 13,l,1468,large,4,F
1,digit,8 + 6 = 14,a,1433,large,4,T
1,digit,4 + 9 = 16,l,1322,large,4,F
1,digit,2 + 8 = 7,l,958,small,4,F
1,word,three + nine = eleven,l,3707,large,4,F
1,digit,5 + 7 = 11,l,1090,large,4,F
1,word,three + five = twelve,l,2545,small,4,F
1,digit,4 + 4 = 8,a,692,small,4,T
1,digit,6 + 7 = 14,l,1275,large,4,F
1,word,three + three = four,l,1398,small,4,F
1,digit,6 + 6 = 15,l,859,large,4,F
1,digit,7 + 4 = 11,a,1173,large,4,T
1,digit,5 + 8 = 17,l,969,large,4,F
1,word,five + five = ten,a,1133,small,4,T
1,digit,2 + 2 = 4,a,627,small,4,T
1,digit,2 + 9 = 8,l,861,small,4,F
1,word,six + six = twelve,a,1732,large,4,T
1,word,five + four = nine,a,1770,small,4,T
1,word,two + four = nine,l,1321,small,4,F
1,word,two + nine = ten,l,1673,small,4,F
1,digit,4 + 2 = 5,l,979,small,4,F
1,word,six + two = eight,a,1870,small,4,T
1,word,seven + seven = fifteen,l,1020,large,4,F
1,word,five + seven = twelve,a,1266,large,4,T
1,digit,7 + 7 = 18,l,851,large,4,F
0,word,seven + four = eleven,l,1803,large,4,T
1,word,two + eight = eleven,l,1713,small,4,F
1,digit,3 + 5 = 8,a,770,small,4,T
1,word,eight + three = eleven,a,2068,small,4,T
1,word,nine + five = fourteen,a,1489,large,4,T
1,word,three + six = seven,l,1119,small,4,F
1,word,seven + nine = eighteen,l,2142,large,4,F
1,word,eight + nine = seventeen,a,2323,large,4,T
1,word,six + nine = fourteen,l,2888,large,4,F
1,digit,6 + 8 = 17,l,1607,large,4,F
1,word,two + three = four,l,1428,small,4,F
1,digit,3 + 9 = 12,a,867,large,4,T
1,word,five + seven = sixteen,l,1290,large,4,F
1,digit,4 + 4 = 10,l,829,small,4,F
1,word,eight + eight = thirteen,l,1548,large,4,F
1,digit,3 + 6 = 8,l,1275,small,4,F
0,word,nine + four = thirteen,l,1441,large,4,T
1,digit,4 + 2 = 6,a,1256,small,4,T
1,digit,3 + 8 = 9,l,1100,small,4,F
0,digit,9 + 9 = 16,a,840,large,4,F
1,digit,9 + 2 = 11,a,745,small,4,T
1,word,seven + eight = fifteen,a,2107,large,4,T
1,digit,3 + 2 = 5,a,1074,small,4,T
1,word,six + three = nine,a,1621,small,4,T
1,word,six + six = eleven,l,1073,large,4,F
1,digit,5 + 5 = 12,l,1138,small,4,F
1,word,four + five = ten,l,2239,small,4,F
1,word,four + seven = fifteen,l,3032,large,4,F
1,word,five + three = eight,a,1524,small,4,T
1,word,three + seven = twelve,l,2192,small,4,F
1,digit,7 + 5 = 12,a,1010,large,4,T
1,word,six + eight = fourteen,a,2267,large,4,T
1,digit,2 + 8 = 10,a,838,small,4,T
1,digit,5 + 4 = 9,a,1438,small,4,T
1,digit,5 + 6 = 13,l,1428,large,4,F
1,digit,6 + 2 = 11,l,869,small,4,F
1,digit,3 + 3 = 6,a,820,small,4,T
1,word,two + nine = eleven,a,1545,small,4,T
1,digit,8 + 4 = 13,l,1540,large,4,F
1,word,five + five = nine,l,1725,small,4,F
1,word,seven + seven = fourteen,a,1013,large,4,T
1,digit,4 + 6 = 10,a,697,small,4,T
0,digit,8 + 7 = 15,l,818,large,4,T
1,digit,7 + 9 = 16,a,1772,large,4,T
1,word,two + eight = ten,a,1216,small,4,T
1,word,two + two = four,a,1190,small,4,T
1,word,six + two = seven,l,2087,small,4,F
1,digit,5 + 3 = 7,l,962,small,4,F
1,digit,2 + 7 = 9,a,773,small,4,T
1,digit,2 + 5 = 4,l,1325,small,4,F
1,word,two + seven = nine,a,1757,small,4,T
1,word,six + five = fourteen,l,2273,large,4,F
1,digit,4 + 9 = 13,a,1679,large,4,T
1,word,three + three = six,a,1491,small,4,T
1,word,nine + five = twelve,l,3145,large,4,F
1,word,three + four = five,l,1450,small,4,F
1,digit,9 + 8 = 14,l,988,large,4,F
1,digit,2 + 2 = 5,l,892,small,4,F
1,digit,5 + 8 = 13,a,922,large,4,T
1,word,six + four = eight,l,2460,small,4,F
1,word,two + five = six,l,1586,small,4,F
1,word,six + nine = fifteen,a,2086,large,4,T
1,word,four + four = eight,a,1525,small,4,T
1,word,nine + nine = seventeen,l,1502,large,4,F
1,word,six + seven = thirteen,a,1371,large,4,T
1,word,eight + three = seven,l,2863,small,4,F
1,digit,3 + 4 = 7,a,844,small,4,T
1,digit,6 + 7 = 13,a,1487,large,4,T
1,word,eight + four = twelve,a,2388,large,4,T
1,word,three + nine = twelve,a,2087,large,4,T
1,digit,6 + 6 = 12,a,617,large,4,T
1,digit,7 + 3 = 6,l,2403,small,4,F
1,digit,6 + 9 = 12,l,1425,large,4,F
1,word,five + eight = fifteen,l,1836,large,4,F
1,digit,7 + 4 = 12,l,890,large,4,F
1,digit,9 + 5 = 18,l,1086,large,4,F
1,digit,7 + 7 = 14,a,684,large,4,T
1,word,four + two = six,a,1951,small,4,T
1,digit,8 + 8 = 15,l,715,large,4,F
1,word,seven + nine = sixteen,a,2044,large,4,T
1,word,nine + eight = eighteen,l,1536,large,4,F
1,digit,2 + 6 = 8,a,2280,small,4,T
1,digit,8 + 8 = 16,a,720,large,4,T
1,word,eight + seven = twelve,l,1686,large,4,F
1,digit,4 + 9 = 17,l,1204,large,4,F
