"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequense","count_experiment","count_experimentLoop","count_fixation","count_incorredtFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequense","time_experiment","time_experimentLoop","time_fixation","time_incorredtFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1780","1780","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Oct 24 11:01:18 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/suzannejosey/Documents/subject-2.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","down","NA","left","NA","1780","55465","NA","1780","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","60455","NA","58089","2448","NA","58144","NA","2538","NA","62520","64300","59202","58017","62520","NA","Sternberg Task","1","1780","1","yes","1024"
"100","100","1476.5","1476.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sat Oct 24 11:01:18 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/suzannejosey/Documents/subject-2.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","down","NA","left","NA","1173","55465","NA","1173","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","68078","64433","65748","2448","NA","65792","NA","2538","NA","70123","71296","66839","58017","70123","NA","Sternberg Task","2","2953","2","yes","1024"
"100","100","1158.3333333333333","1158.3333333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sat Oct 24 11:01:18 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/suzannejosey/Documents/subject-2.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","down","NA","right","NA","522","55465","NA","522","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","74849","71342","72492","2448","NA","72553","NA","2538","NA","76894","77417","73600","58017","76894","NA","Sternberg Task","3","3475","3","yes","1024"
"100","100","1040.75","1040.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sat Oct 24 11:01:18 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/suzannejosey/Documents/subject-2.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","down","NA","right","NA","688","55465","NA","688","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","80960","77466","78634","2448","NA","78673","NA","2538","NA","83003","83692","79719","58017","83003","NA","Sternberg Task","4","4163","4","yes","1024"
"100","100","937","937","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sat Oct 24 11:01:18 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/suzannejosey/Documents/subject-2.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","down","NA","left","NA","522","55465","NA","522","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","87238","83742","84914","2448","NA","84953","NA","2538","NA","89282","89805","85999","58017","89282","NA","Sternberg Task","5","4685","5","yes","1024"
"100","100","887.8333333333334","887.8333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sat Oct 24 11:01:18 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/suzannejosey/Documents/subject-2.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","down","NA","right","NA","642","55465","NA","642","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","93344","89859","91023","2448","NA","91060","NA","2538","NA","95389","96032","92107","58017","95389","NA","Sternberg Task","6","5327","6","yes","1024"
"100","100","878.8571428571429","878.8571428571429","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sat Oct 24 11:01:18 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/suzannejosey/Documents/subject-2.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","down","NA","left","NA","825","55465","NA","825","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","99573","96081","97243","2448","NA","97281","NA","2538","NA","101611","102437","98327","58017","101611","NA","Sternberg Task","7","6152","7","yes","1024"
"100","100","934.625","934.625","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sat Oct 24 11:01:18 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","no","768","legacy","7","7","/Users/suzannejosey/Documents/subject-2.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","down","NA","left","NA","1325","55465","NA","1325","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","105924","102483","103610","2448","NA","103648","NA","2538","NA","107969","109295","104687","58017","107969","NA","Sternberg Task","8","7477","8","yes","1024"
"100","100","895.3333333333334","895.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sat Oct 24 11:01:18 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","no","768","legacy","8","8","/Users/suzannejosey/Documents/subject-2.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","down","NA","right","NA","581","55465","NA","581","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","112794","109342","110467","2448","NA","110506","NA","2538","NA","114833","115415","111545","58017","114833","NA","Sternberg Task","9","8058","9","yes","1024"
"100","100","912.4","912.4","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sat Oct 24 11:01:18 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","no","768","legacy","9","9","/Users/suzannejosey/Documents/subject-2.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","down","NA","right","NA","1066","55465","NA","1066","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","118915","115468","116584","2448","NA","116624","NA","2538","NA","120959","122026","117666","58017","120959","NA","Sternberg Task","10","9124","10","yes","1024"
