"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctfeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrect","count_instruction1","count_instruction2","count_memorySet","count_new_keyboard_response","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_new_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctfeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrect","time_instruction1","time_instruction2","time_memorySet","time_new_keyboard_response","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 25 14:38:01 2020","The main experiment item","yes","SternbergTask-AL.osexp","/Users/annielenoir/Desktop","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/annielenoir/Desktop/AL-subject-3.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","None","left","NA","None","NA","2000","110535","NA","2000","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","115165","NA","112510","1690","NA","112666","NA","1862","NA","113817","117314","119314","112406","117314","NA","Sternberg Task","0","2000","1","yes","1024"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct 25 14:38:01 2020","The main experiment item","yes","SternbergTask-AL.osexp","/Users/annielenoir/Desktop","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/annielenoir/Desktop/AL-subject-3.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","None","left","NA","None","NA","2000","110535","NA","2000","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","123588","NA","120936","1690","NA","121088","119517","1862","NA","122237","125744","127744","112406","125744","NA","Sternberg Task","0","4000","2","yes","1024"
"33.333333333333336","33.333333333333336","1895","1895","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct 25 14:38:01 2020","The main experiment item","yes","SternbergTask-AL.osexp","/Users/annielenoir/Desktop","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/annielenoir/Desktop/AL-subject-3.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","1685","110535","NA","1685","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","131645","NA","129010","1690","NA","129155","127894","1862","NA","130298","133787","135473","112406","133787","NA","Sternberg Task","1","5685","3","yes","1024"
"50","50","1724","1724","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct 25 14:38:01 2020","The main experiment item","yes","SternbergTask-AL.osexp","/Users/annielenoir/Desktop","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/annielenoir/Desktop/AL-subject-3.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","1211","110535","NA","1211","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","139368","135622","136734","1690","NA","136882","127894","1862","NA","138024","141513","142724","112406","141513","NA","Sternberg Task","2","6896","4","yes","1024"
"60","60","1638.2","1638.2","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct 25 14:38:01 2020","The main experiment item","yes","SternbergTask-AL.osexp","/Users/annielenoir/Desktop","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/annielenoir/Desktop/AL-subject-3.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","1295","110535","NA","1295","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","146669","142881","144041","1690","NA","144182","127894","1862","NA","145322","148811","150107","112406","148811","NA","Sternberg Task","3","8191","5","yes","1024"
"66.66666666666667","66.66666666666667","1594.1666666666667","1594.1666666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct 25 14:38:01 2020","The main experiment item","yes","SternbergTask-AL.osexp","/Users/annielenoir/Desktop","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/annielenoir/Desktop/AL-subject-3.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","1374","110535","NA","1374","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","154036","150254","151400","1690","NA","151546","127894","1862","NA","152690","156182","157557","112406","156181","NA","Sternberg Task","4","9565","6","yes","1024"
"71.42857142857143","71.42857142857143","1556.4285714285713","1556.4285714285713","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct 25 14:38:01 2020","The main experiment item","yes","SternbergTask-AL.osexp","/Users/annielenoir/Desktop","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/annielenoir/Desktop/AL-subject-3.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","left","NA","left","NA","1330","110535","NA","1330","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","161510","157710","158862","1690","NA","159010","127894","1862","NA","160159","163650","164981","112406","163650","NA","Sternberg Task","5","10895","7","yes","1024"
"62.5","62.5","1611.875","1611.875","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct 25 14:38:01 2020","The main experiment item","yes","SternbergTask-AL.osexp","/Users/annielenoir/Desktop","no","mono","no","18","no","white","no","no","768","legacy","7","7","/Users/annielenoir/Desktop/AL-subject-3.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","None","left","NA","None","NA","2000","110535","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","168903","165132","166277","1690","NA","166413","127894","1862","NA","167556","171048","173048","112406","171048","NA","Sternberg Task","5","12895","8","yes","1024"
"66.66666666666667","66.66666666666667","1552.6666666666667","1552.6666666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct 25 14:38:01 2020","The main experiment item","yes","SternbergTask-AL.osexp","/Users/annielenoir/Desktop","no","mono","no","18","no","white","no","no","768","legacy","8","8","/Users/annielenoir/Desktop/AL-subject-3.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","1079","110535","NA","1079","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","176960","165132","174328","1690","NA","174464","173191","1862","NA","175612","179106","180186","112406","179105","NA","Sternberg Task","6","13974","9","yes","1024"
"70","70","1520.8","1520.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct 25 14:38:01 2020","The main experiment item","yes","SternbergTask-AL.osexp","/Users/annielenoir/Desktop","no","mono","no","18","no","white","no","no","768","legacy","9","9","/Users/annielenoir/Desktop/AL-subject-3.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","1234","110535","NA","1234","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","184098","180330","181467","1690","NA","181604","173191","1862","NA","182751","186243","187478","112406","186243","NA","Sternberg Task","7","15208","10","yes","1024"
