"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions1","correct_KeyboardResponse","correct_response","count_CorrectFeedback","count_ExpSequence","count_ExperimentLoop","count_Fixation","count_ISI","count_IncorrectFeedback","count_Instructions1","count_Instructions2","count_KeyboardResponse","count_Logger","count_MemorySet","count_PracticeLoop","count_Probe","count_ThankYou","count_experiment","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instructions1","response_Instructions2","response_KeyboardResponse","response_ThankYou","response_time","response_time_Instructions1","response_time_Instructions2","response_time_KeyboardResponse","response_time_ThankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_CorrectFeedback","time_ExpSequence","time_ExperimentLoop","time_Fixation","time_ISI","time_IncorrectFeedback","time_Instructions1","time_Instructions2","time_KeyboardResponse","time_Logger","time_MemorySet","time_PracticeLoop","time_Probe","time_ThankYou","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1608","1608","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Oct 17 19:35:48 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","left","NA","left","NA","1608","79356","NA","1608","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","NA","81626","NA","81628","83834","NA","1928","NA","85837","87445","82630","81284","85837","NA","1920","Sternberg Task","1","1608","1","yes","1024"
"100","100","1289","1289","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","0","1","1","1","0","0","1","1","1","0","1","0","0","Sat Oct 17 19:35:48 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","970","79356","NA","970","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","87537","88653","NA","88654","90860","NA","1928","NA","92862","93832","89657","81284","92861","NA","1920","Sternberg Task","2","2578","2","yes","1024"
"100","100","1256","1256","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","0","2","2","2","0","0","2","2","2","0","2","0","0","Sat Oct 17 19:35:48 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","1190","79356","NA","1190","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","93841","94942","NA","94944","97154","NA","1928","NA","99156","100346","95949","81284","99156","NA","1920","Sternberg Task","3","3768","3","yes","1024"
"100","100","1147.5","1147.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","0","3","3","3","0","0","3","3","3","0","3","0","0","Sat Oct 17 19:35:48 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","822","79356","NA","822","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","100372","101469","NA","101471","103681","NA","1928","NA","105683","106506","102475","81284","105683","NA","1920","Sternberg Task","4","4590","4","yes","1024"
"100","100","1053","1053","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","0","4","4","4","0","0","4","4","4","0","4","0","0","Sat Oct 17 19:35:48 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","675","79356","NA","675","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","106531","107627","NA","107629","109839","NA","1928","NA","111844","112519","108633","81284","111844","NA","1920","Sternberg Task","5","5265","5","yes","1024"
"100","100","976.6666666666666","976.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","0","5","5","5","0","0","5","5","5","0","5","0","0","Sat Oct 17 19:35:48 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","595","79356","NA","595","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","112544","113652","NA","113653","115859","NA","1928","NA","117861","118456","114655","81284","117861","NA","1920","Sternberg Task","6","5860","6","yes","1024"
"100","100","955","955","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","0","6","6","6","0","0","6","6","6","0","6","0","0","Sat Oct 17 19:35:48 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","825","79356","NA","825","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","118463","119559","NA","119561","121770","NA","1928","NA","123774","124600","120565","81284","123774","NA","1920","Sternberg Task","7","6685","7","yes","1024"
"100","100","925.375","925.375","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","0","7","7","7","0","0","7","7","7","0","7","0","0","Sat Oct 17 19:35:48 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","718","79356","NA","718","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","124606","125703","NA","125705","127914","NA","1928","NA","129916","130634","126710","81284","129916","NA","1920","Sternberg Task","8","7403","8","yes","1024"
"100","100","890.3333333333334","890.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","0","8","8","8","0","0","8","8","8","0","8","0","0","Sat Oct 17 19:35:48 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","left","NA","left","NA","610","79356","NA","610","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","130643","131750","NA","131752","133961","NA","1928","NA","135966","136576","132756","81284","135965","NA","1920","Sternberg Task","9","8013","9","yes","1024"
"100","100","870.7","870.7","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","9","9","9","0","0","9","9","9","0","9","0","0","Sat Oct 17 19:35:48 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","694","79356","NA","694","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","136585","137685","NA","137687","139894","NA","1928","NA","141896","142591","138690","81284","141896","NA","1920","Sternberg Task","10","8707","10","yes","1024"
