acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_new_keyboard_response,correct_response,count_ISI,count_correctfeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrect,count_instruction1,count_instruction2,count_memorySet,count_new_keyboard_response,count_new_logger,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instruction2,response_new_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instruction2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctfeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrect,time_instruction1,time_instruction2,time_memorySet,time_new_keyboard_response,time_new_logger,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
81.81818182,81.81818182,877.8181818,877.8181818,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,10,10,10,0,0,10,10,0,0,10,10,10,0,10,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,10,10,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,9 6 7 4 5,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,NA,right,NA,772,16676,NA,772,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,90867,87095,88244,1693,NA,88387,73598,1853,NA,89528,93012,93785,18538,93011,NA,Sternberg Task,9,9656,11,yes,1024
75,75,888.4166667,888.4166667,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,11,11,11,0,0,11,11,0,0,11,11,11,0,11,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,11,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,1 7 9 8 5,Lentiform Loewenfeld,3.3.3,4,y,0,right,right,NA,right,NA,1005,16676,NA,1005,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,97715,93933,95089,1693,NA,95228,73598,1853,NA,96364,99862,100868,18538,99862,NA,Sternberg Task,9,10661,12,yes,1024
69.23076923,69.23076923,885,885,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,12,12,12,0,0,12,12,0,0,12,12,12,0,12,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,0,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,8 9 5 7 1 6,Lentiform Loewenfeld,3.3.3,4,y,0,right,right,left,right,NA,844,16676,3794,844,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,7,108726,93933,106097,1693,106029,106233,101017,1853,102235,107379,110871,111715,18538,110871,NA,Sternberg Task,9,11505,13,yes,1024
64.28571429,64.28571429,889,889,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,13,13,13,0,0,13,13,0,0,13,13,13,0,13,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,1,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,3 9 6 2,Lentiform Loewenfeld,3.3.3,4,y,0,right,right,left,right,NA,941,16676,3794,941,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,2,115671,93933,113046,1693,106029,113183,111866,1853,102235,114317,117816,118758,18538,117816,NA,Sternberg Task,9,12446,14,yes,1024
60,60,880.7333333,880.7333333,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,right,14,14,14,0,0,14,14,0,0,14,14,14,0,14,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,2,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,2 7 5,Lentiform Loewenfeld,3.3.3,0,n,0,left,right,left,left,NA,765,16676,3794,765,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,8,122695,93933,120072,1693,106029,120211,118909,1853,102235,121349,124838,125604,18538,124837,NA,Sternberg Task,9,13211,15,yes,1024
62.5,62.5,869.5625,869.5625,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,15,15,15,0,0,15,15,0,0,15,15,15,0,15,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,3,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,3 5 4 7,Lentiform Loewenfeld,3.3.3,1,y,0,left,right,left,left,NA,702,16676,3794,702,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,3,129544,93933,126919,1693,106029,127056,125756,1853,102235,128195,131689,132392,18538,131689,NA,Sternberg Task,10,13913,16,yes,1024
64.70588235,64.70588235,880.0588235,880.0588235,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,16,16,16,0,0,16,16,0,0,16,16,16,0,16,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,4,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,3 4 2,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,left,right,NA,1048,16676,3794,1048,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,5,136328,132533,133700,1693,106029,133843,125756,1853,102235,134981,138471,139520,18538,138470,NA,Sternberg Task,11,14961,17,yes,1024
61.11111111,61.11111111,879.0555556,879.0555556,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,right,17,17,17,0,0,17,17,0,0,17,17,17,0,17,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,5,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,7 1 8 4 9 3,Lentiform Loewenfeld,3.3.3,0,n,0,left,right,left,left,NA,862,16676,3794,862,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,143466,139666,140845,1693,106029,140982,125756,1853,102235,142118,145608,146470,18538,145608,NA,Sternberg Task,11,15823,18,yes,1024
63.15789474,63.15789474,876.2631579,876.2631579,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,18,18,18,0,0,18,18,0,0,18,18,18,0,18,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,6,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,1 7 5 2,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,left,right,NA,826,16676,3794,826,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,3,150433,139666,147808,1693,106029,147947,146622,1853,102235,149082,152579,153405,18538,152579,NA,Sternberg Task,12,16649,19,yes,1024
60,60,873.5,873.5,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,right,19,19,19,0,0,19,19,0,0,19,19,19,0,19,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,7,11,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,3 9 8 1 6 4,Lentiform Loewenfeld,3.3.3,0,n,0,left,right,left,left,NA,821,16676,3794,821,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,7,157354,153549,154733,1693,106029,154871,146622,1853,102235,156006,159500,160322,18538,159499,NA,Sternberg Task,12,17470,20,yes,1024
