"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_ISI","count_Instructions1","count_Practiceloop","count_closing","count_correctFeedback","count_experiment","count_experimentalLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instructions2","count_keyboard_response","count_logger","count_memoryset","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","psychopy_suppress_warnings","repeat_cycle","response","response_Instructions1","response_closing","response_instructions2","response_keyboard_response","response_time","response_time_Instructions1","response_time_closing","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions1","time_Practiceloop","time_closing","time_correctFeedback","time_experiment","time_experimentalLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instructions2","time_keyboard_response","time_logger","time_memoryset","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","755","755","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/25/20 17:50:47","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-2.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","left","left","NA","NA","left","755","60294","NA","NA","755","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","67777","2365","62660","NA","NA","2361","NA","65566","65569","NA","NA","69783","70538","66575","69783","Sternberg Task","0","755","1","yes","1024"
"50","50","682.5","682.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","0","0","0","1","0","0","1","1","1","0","1","1","1","1","10/25/20 17:50:47","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-2.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","NA","right","610","60294","NA","NA","610","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","73980","2365","62660","NA","NA","2361","NA","71766","71769","70627","NA","75987","76598","72775","75986","Sternberg Task","1","1365","2","yes","1024"
"66.6666666667","66.6666666667","658.333333333","658.333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","0","0","0","2","0","0","2","2","2","0","2","2","2","2","10/25/20 17:50:47","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-2.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","yes","0","left","left","NA","NA","left","610","60294","NA","NA","610","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","79953","2365","62660","NA","76603","2361","NA","77739","77741","70627","NA","81959","82570","78747","81958","Sternberg Task","2","1975","3","yes","1024"
"75","75","631.5","631.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","0","0","0","3","0","0","3","3","3","0","3","3","3","3","10/25/20 17:50:47","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-2.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","left","NA","NA","left","551","60294","NA","NA","551","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","85924","2365","62660","NA","82575","2361","NA","83709","83712","70627","NA","87931","88482","84718","87930","Sternberg Task","3","2526","4","yes","1024"
"80","80","665.8","665.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","0","0","0","4","0","0","4","4","4","0","4","4","4","4","10/25/20 17:50:47","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-2.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","NA","right","803","60294","NA","NA","803","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","91840","2365","62660","NA","88488","2361","NA","89624","89627","70627","NA","93846","94650","90633","93846","Sternberg Task","4","3329","5","yes","1024"
"83.3333333333","83.3333333333","677.666666667","677.666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","0","0","0","5","0","0","5","5","5","0","5","5","5","5","10/25/20 17:50:47","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-2.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","yes","0","left","left","NA","NA","left","737","60294","NA","NA","737","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","98008","2365","62660","NA","94655","2361","NA","95793","95796","70627","NA","100014","100751","96802","100014","Sternberg Task","5","4066","6","yes","1024"
"85.7142857143","85.7142857143","646.714285714","646.714285714","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","0","0","0","6","0","0","6","6","6","0","6","6","6","6","10/25/20 17:50:47","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-2.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","left","NA","NA","left","461","60294","NA","NA","461","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","104105","2365","62660","NA","100757","2361","NA","101891","101893","70627","NA","106112","106574","102900","106111","Sternberg Task","6","4527","7","yes","1024"
"87.5","87.5","615.125","615.125","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","0","0","0","7","0","0","7","7","7","0","7","7","7","7","10/25/20 17:50:47","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-2.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","NA","right","394","60294","NA","NA","394","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","109937","2365","62660","NA","106579","2361","NA","107722","107725","70627","NA","111943","112337","108730","111943","Sternberg Task","7","4921","8","yes","1024"
"77.7777777778","77.7777777778","602.555555556","602.555555556","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","8","0","0","0","8","0","0","8","8","8","0","8","8","8","8","10/25/20 17:50:47","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-2.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","yes","0","right","left","NA","NA","right","502","60294","NA","NA","502","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","115702","2365","62660","NA","112343","2361","NA","113488","113490","70627","NA","117709","118212","114496","117708","Sternberg Task","7","5423","9","yes","1024"
"80","80","587.6","587.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","0","0","9","0","0","9","9","9","0","9","9","9","9","10/25/20 17:50:47","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-2.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","NA","right","453","60294","NA","NA","453","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","121564","2365","62660","NA","112343","2361","NA","119350","119352","118217","NA","123567","124020","120358","123567","Sternberg Task","8","5876","10","yes","1024"
