"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_Fixation","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_incorrectFeedback","count_instruction1","count_instructions2","count_memorySet","count_new_keyboard_response","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_new_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_incorrectFeedback","time_instruction1","time_instructions2","time_memorySet","time_new_keyboard_response","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","1185","1185","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 25 18:38:57 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/MM-subject-4.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","NA","left","NA","1185","28930","NA","1185","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","31889","34126","NA","31875","2607","NA","NA","2623","NA","32907","36143","37329","31563","36143","NA","Sternberg Task","0","1185","1","yes","1024"
"0","0","886.5","886.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","1","1","1","0","0","1","0","0","1","1","1","0","1","0","Sun Oct 25 18:38:57 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/MM-subject-4.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","NA","left","NA","588","28930","NA","588","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","38467","40703","NA","38452","2607","NA","37371","2623","NA","39484","42721","43310","31563","42721","NA","Sternberg Task","0","1773","2","yes","1024"
"0","0","830.3333333333334","830.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","2","2","2","2","0","0","2","0","0","2","2","2","0","2","0","Sun Oct 25 18:38:57 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/MM-subject-4.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","right","right","NA","right","NA","718","28930","NA","718","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","44414","46650","NA","44398","2607","NA","43328","2623","NA","45431","48667","49386","31563","48667","NA","Sternberg Task","0","2491","3","yes","1024"
"0","0","821.25","821.25","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","3","3","3","3","0","0","3","0","0","3","3","3","0","3","0","Sun Oct 25 18:38:57 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/MM-subject-4.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","NA","left","NA","794","28930","NA","794","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","50487","52723","NA","50470","2607","NA","49402","2623","NA","51504","54741","55536","31563","54741","NA","Sternberg Task","0","3285","4","yes","1024"
"0","0","761","761","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","4","4","4","4","0","0","4","0","0","4","4","4","0","4","0","Sun Oct 25 18:38:57 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/MM-subject-4.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","right","right","NA","right","NA","520","28930","NA","520","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","56637","58875","NA","56622","2607","NA","55552","2623","NA","57655","60892","61412","31563","60892","NA","Sternberg Task","0","3805","5","yes","1024"
"0","0","740.5","740.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","5","5","5","5","0","0","5","0","0","5","5","5","0","5","0","Sun Oct 25 18:38:57 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/MM-subject-4.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","NA","left","NA","638","28930","NA","638","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","62515","64751","NA","62499","2607","NA","61429","2623","NA","63532","66768","67407","31563","66768","NA","Sternberg Task","0","4443","6","yes","1024"
"0","0","710.5714285714286","710.5714285714286","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","6","6","6","6","0","0","6","0","0","6","6","6","0","6","0","Sun Oct 25 18:38:57 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/MM-subject-4.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","right","right","NA","right","NA","531","28930","NA","531","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","68507","70743","NA","68491","2607","NA","67423","2623","NA","69524","72761","73292","31563","72761","NA","Sternberg Task","0","4974","7","yes","1024"
"0","0","762.75","762.75","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","7","7","7","7","0","0","7","0","0","7","7","7","0","7","0","Sun Oct 25 18:38:57 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/MM-subject-4.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","right","right","NA","right","NA","1128","28930","NA","1128","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","74394","76631","NA","74378","2607","NA","73309","2623","NA","75412","78649","79777","31563","78648","NA","Sternberg Task","0","6102","8","yes","1024"
"11.11111111111111","11.11111111111111","777.1111111111111","777.1111111111111","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","8","0","0","8","0","0","8","8","8","0","8","0","Sun Oct 25 18:38:57 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/MM-subject-4.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","892","28930","NA","892","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","80882","83117","NA","80865","2607","NA","79793","2623","NA","81899","85134","86027","31563","85134","NA","Sternberg Task","1","6994","9","yes","1024"
"10","10","791.6","791.6","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","9","9","9","9","0","0","9","0","0","9","9","9","0","9","0","Sun Oct 25 18:38:57 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/MM-subject-4.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","NA","left","NA","922","28930","NA","922","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","87128","89363","86043","87112","2607","NA","79793","2623","NA","88143","91380","92303","31563","91380","NA","Sternberg Task","1","7916","10","yes","1024"
