subject,gender,age
1,f,25
2,m,21
3,f,44
4,m,47
5,f,32
6,m,33
7,f,66
8,m,30
9,m,24
10,f,24
11,m,24
12,f,24
13,f,25
14,f,61
15,m,64
16,f,33
17,m,26
18,f,21
19,m,27
20,f,25
21,f,25
22,m,27
23,f,38
24,f,22
25,f,21
26,f,20
27,f,21
28,f,21
29,f,23
30,f,51
31,m,25
32,m,33
33,f,25
34,m,21
35,f,52
36,f,28
37,f,27
38,f,26
39,m,28
40,m,22
41,m,27
42,m,46
43,f,48
44,f,22
45,f,23
46,f,24
47,m,28
48,f,50
49,f,23
50,m,23
51,m,59
52,f,56
