"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Instructions1","count_Instructions2","count_Instructions3","count_error_feedback","count_experiment","count_faster","count_fixation","count_isi","count_keyboard_response","count_logger","count_new_sketchpad_2","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","psychopy_waitblanking","repeat_cycle","response","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_new_sketchpad_2","response_time","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","response_time_new_sketchpad_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Instructions1","time_Instructions2","time_Instructions3","time_error_feedback","time_experiment","time_faster","time_fixation","time_isi","time_keyboard_response","time_logger","time_new_sketchpad_2","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.9090909090909","90.9090909090909","595.0909090909091","595.0909090909091","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","10","0","10","10","10","10","10","0","10","10","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","580","7863","NA","NA","580","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","11115","NA","NA","3250","NA","NA","17964","3248","NA","29337","28282","29438","30019","NA","29336","29438","As Boring or as Not Boring as You Want","10","6546","11","yes","1024"
"91.66666666666667","91.66666666666667","590.9166666666666","590.9166666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","11","0","11","11","11","11","11","0","11","11","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","545","7863","NA","NA","545","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","11115","NA","NA","3250","NA","NA","17964","3248","NA","31082","30024","31185","31731","NA","31079","31184","As Boring or as Not Boring as You Want","11","7091","12","yes","1024"
"84.61538461538461","84.61538461538461","585.1538461538462","585.1538461538462","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","0","0","0","12","0","12","12","12","12","12","0","12","12","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","516","7863","NA","NA","516","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","11115","NA","NA","3250","NA","NA","17964","3248","NA","32795","31735","32896","33413","NA","32793","32896","As Boring or as Not Boring as You Want","11","7607","13","yes","1024"
"85.71428571428571","85.71428571428571","590.0714285714286","590.0714285714286","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","13","0","13","13","13","13","13","0","13","13","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","654","7863","NA","NA","654","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","34973","33918","35074","35729","NA","34972","35074","As Boring or as Not Boring as You Want","12","8261","14","yes","1024"
"86.66666666666667","86.66666666666667","580.5333333333333","580.5333333333333","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","14","0","14","14","14","14","14","0","14","14","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","447","7863","NA","NA","447","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","36807","35734","36911","37360","NA","36805","36910","As Boring or as Not Boring as You Want","13","8708","15","yes","1024"
"87.5","87.5","577.6875","577.6875","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","15","0","15","15","15","15","15","0","15","15","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","535","7863","NA","NA","535","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","38419","37364","38520","39057","NA","38417","38520","As Boring or as Not Boring as You Want","14","9243","16","yes","1024"
"88.23529411764706","88.23529411764706","574.7647058823529","574.7647058823529","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","16","0","16","16","16","16","16","0","16","16","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","528","7863","NA","NA","528","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","40121","39064","40225","40754","NA","40119","40225","As Boring or as Not Boring as You Want","15","9771","17","yes","1024"
"88.88888888888889","88.88888888888889","576","576","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","17","0","17","17","17","17","17","0","17","17","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","597","7863","NA","NA","597","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","41816","40760","41917","42515","NA","41813","41917","As Boring or as Not Boring as You Want","16","10368","18","yes","1024"
"89.47368421052632","89.47368421052632","577.4736842105264","577.4736842105264","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","18","0","18","18","18","18","18","0","18","18","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","604","7863","NA","NA","604","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","43587","42520","43689","44294","NA","43585","43689","As Boring or as Not Boring as You Want","17","10972","19","yes","1024"
"90","90","571.6","571.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","19","0","19","19","19","19","19","0","19","19","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","460","7863","NA","NA","460","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","33417","3248","NA","45354","44299","45455","45916","NA","45352","45455","As Boring or as Not Boring as You Want","18","11432","20","yes","1024"
