acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_KeyboardResponse,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_KeyboardResponse,count_Logger,count_Sequence,count_experiment,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_KeyboardResponse,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_KeyboardResponse,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_KeyboardResponse,time_Logger,time_Sequence,time_experiment,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
98,98,434.28,434.28,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,49,49,0,49,49,0,0,0,49,49,49,0,49,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,49,49,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,411,NA,22535,NA,NA,411,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,24497,NA,NA,61024,NA,NA,104968,103896,1960,NA,NA,105069,105481,104965,1958,105069,Flanker Task,49,21714,50,yes,1024
98.03921569,98.03921569,434.627451,434.627451,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,50,50,0,50,50,0,0,0,50,50,50,0,50,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,50,50,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,452,NA,22535,NA,NA,452,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,24497,NA,NA,61024,NA,NA,106565,105491,1960,NA,NA,106666,107119,106563,1958,106666,Flanker Task,50,22166,51,yes,1024
98.07692308,98.07692308,435.7115385,435.7115385,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,51,51,0,51,51,0,0,0,51,51,51,0,51,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,51,51,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,491,NA,22535,NA,NA,491,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,24497,NA,NA,61024,NA,NA,108215,107125,1960,NA,NA,108316,108807,108212,1958,108316,Flanker Task,51,22657,52,yes,1024
96.22641509,96.22641509,434.6981132,434.6981132,black,legacy,legacy,legacy,0,Incongruent,uniform,0,undefined,0,s,0,0,0,52,52,0,52,52,0,0,0,52,52,52,0,52,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,52,52,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,382,NA,22535,NA,NA,382,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,24497,NA,NA,61024,NA,NA,109894,108821,1960,NA,NA,109997,110380,109892,1958,109997,Flanker Task,51,23039,53,yes,1024
96.2962963,96.2962963,433.962963,433.962963,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,53,53,0,53,53,0,0,0,53,53,53,0,53,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,53,53,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,395,NA,22535,NA,NA,395,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,24497,NA,NA,110385,NA,NA,111961,110887,1960,NA,NA,112062,112457,111958,1958,112062,Flanker Task,52,23434,54,yes,1024
96.36363636,96.36363636,434.4,434.4,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,54,54,0,54,54,0,0,0,54,54,54,0,54,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,54,54,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,458,NA,22535,NA,NA,458,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,24497,NA,NA,110385,NA,NA,113549,112472,1960,NA,NA,113650,114109,113546,1958,113650,Flanker Task,53,23892,55,yes,1024
96.42857143,96.42857143,433.6785714,433.6785714,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,55,55,0,55,55,0,0,0,55,55,55,0,55,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,55,55,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,394,NA,22535,NA,NA,394,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,24497,NA,NA,110385,NA,NA,115183,114115,1960,NA,NA,115290,115684,115182,1958,115290,Flanker Task,54,24286,56,yes,1024
96.49122807,96.49122807,433.5263158,433.5263158,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,56,56,0,56,56,0,0,0,56,56,56,0,56,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,56,56,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,425,NA,22535,NA,NA,425,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,24497,NA,NA,110385,NA,NA,116759,115691,1960,NA,NA,116860,117286,116756,1958,116860,Flanker Task,55,24711,57,yes,1024
96.55172414,96.55172414,434.637931,434.637931,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,57,57,0,57,57,0,0,0,57,57,57,0,57,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,57,57,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,498,NA,22535,NA,NA,498,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,24497,NA,NA,110385,NA,NA,118379,117293,1960,NA,NA,118480,118979,118377,1958,118480,Flanker Task,56,25209,58,yes,1024
96.61016949,96.61016949,437.1525424,437.1525424,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,58,58,0,58,58,0,0,0,58,58,58,0,58,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,58,58,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,583,NA,22535,NA,NA,583,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,24497,NA,NA,110385,NA,NA,120057,118987,1960,NA,NA,120158,120742,120055,1958,120158,Flanker Task,57,25792,59,yes,1024
96.66666667,96.66666667,437.7166667,437.7166667,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,59,59,0,59,59,0,0,0,59,59,59,0,59,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,59,59,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,471,NA,22535,NA,NA,471,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,24497,NA,NA,110385,NA,NA,121812,120746,1960,NA,NA,121913,122385,121810,1958,121913,Flanker Task,58,26263,60,yes,1024
