acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_KeyboardResponse,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_KeyboardResponse,count_Logger,count_Sequence,count_experiment,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_KeyboardResponse,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_KeyboardResponse,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_KeyboardResponse,time_Logger,time_Sequence,time_experiment,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1032,1032,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Sep 13 19:11:31 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,0,0,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,caps lock,NA,NA,s,1032,NA,10058,NA,NA,1032,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,11895,NA,NA,NA,NA,NA,11957,NA,1835,NA,NA,12064,13097,11955,1831,12061,Flanker Task,1,1032,1,yes,1024
100,100,769.5,769.5,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,Tue Sep 13 19:11:31 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,1,1,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,caps lock,NA,NA,h,507,NA,10058,NA,NA,507,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,11895,NA,NA,NA,NA,NA,14165,13103,1835,NA,NA,14267,14775,14163,1831,14267,Flanker Task,2,1539,2,yes,1024
100,100,645.6666667,645.6666667,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,2,0,0,0,2,2,2,0,2,Tue Sep 13 19:11:31 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,2,2,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,caps lock,NA,NA,h,398,NA,10058,NA,NA,398,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,11895,NA,NA,NA,NA,NA,15841,14779,1835,NA,NA,15946,16344,15839,1831,15945,Flanker Task,3,1937,3,yes,1024
100,100,580.5,580.5,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,3,0,0,0,3,3,3,0,3,Tue Sep 13 19:11:31 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,3,3,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,caps lock,NA,NA,h,385,NA,10058,NA,NA,385,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,11895,NA,NA,NA,NA,NA,17413,16348,1835,NA,NA,17514,17900,17410,1831,17514,Flanker Task,4,2322,4,yes,1024
80,80,521.8,521.8,black,legacy,legacy,legacy,0,Incongruent,uniform,0,undefined,0,h,0,0,0,4,4,0,4,4,0,0,0,4,4,4,0,4,Tue Sep 13 19:11:31 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,4,4,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,caps lock,NA,NA,s,287,NA,10058,NA,NA,287,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,11895,NA,NA,NA,NA,NA,18966,17904,1835,NA,NA,19067,19355,18965,1831,19067,Flanker Task,4,2609,5,yes,1024
83.33333333,83.33333333,528.8333333,528.8333333,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,5,5,0,5,5,0,0,0,5,5,5,0,5,Tue Sep 13 19:11:31 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,5,5,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,caps lock,NA,NA,h,564,NA,10058,NA,NA,564,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,11895,NA,NA,19358,NA,NA,20921,19859,1835,NA,NA,21025,21589,20919,1831,21024,Flanker Task,5,3173,6,yes,1024
85.71428571,85.71428571,518.2857143,518.2857143,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,6,6,0,6,6,0,0,0,6,6,6,0,6,Tue Sep 13 19:11:31 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,6,6,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,caps lock,NA,NA,h,455,NA,10058,NA,NA,455,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,11895,NA,NA,19358,NA,NA,22651,21593,1835,NA,NA,22756,23212,22649,1831,22755,Flanker Task,6,3628,7,yes,1024
87.5,87.5,502.375,502.375,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,7,0,0,0,7,7,7,0,7,Tue Sep 13 19:11:31 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,7,7,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,caps lock,NA,NA,s,391,NA,10058,NA,NA,391,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,11895,NA,NA,19358,NA,NA,24278,23215,1835,NA,NA,24383,24775,24276,1831,24383,Flanker Task,7,4019,8,yes,1024
88.88888889,88.88888889,504.6666667,504.6666667,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,8,8,0,8,8,0,0,0,8,8,8,0,8,Tue Sep 13 19:11:31 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,8,8,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,caps lock,NA,NA,h,523,NA,10058,NA,NA,523,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,11895,NA,NA,19358,NA,NA,25859,24780,1835,NA,NA,25960,26484,25857,1831,25960,Flanker Task,8,4542,9,yes,1024
90,90,490.9,490.9,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,9,0,0,0,9,9,9,0,9,Tue Sep 13 19:11:31 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,9,9,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-4.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,caps lock,NA,NA,h,367,NA,10058,NA,NA,367,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,11895,NA,NA,19358,NA,NA,27547,26487,1835,NA,NA,27652,28019,27546,1831,27652,Flanker Task,9,4909,10,yes,1024
