"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_Keyboard_Response","correct_response","count_ErrorFeedback","count_FasterFeedback","count_Finish","count_Fixation","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_Keyboard_Response","count_Logger","count_Sequence","count_Stimulus","count_block1","count_block2","count_block3","count_experiment","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_Keyboard_Response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_Keyboard_Response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ErrorFeedback","time_FasterFeedback","time_Finish","time_Fixation","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_Keyboard_Response","time_Logger","time_Sequence","time_Stimulus","time_block1","time_block2","time_block3","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","532.545454545","532.545454545","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","10","10","0","10","10","0","0","0","10","10","10","10","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","435","NA","22620","NA","NA","435","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","NA","41627","40588","2025","NA","NA","41728","42163","41625","41728","24646","NA","NA","2023","Flanker Task ","11","5858","11","yes","1024"
"100","100","529.083333333","529.083333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","11","11","0","11","11","0","0","0","11","11","11","11","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","491","NA","22620","NA","NA","491","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","NA","NA","43211","42176","2025","NA","NA","43312","43803","43209","43312","24646","NA","NA","2023","Flanker Task ","12","6349","12","yes","1024"
"100","100","521.384615385","521.384615385","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","12","12","0","12","12","0","0","0","12","12","12","12","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","429","NA","22620","NA","NA","429","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","NA","44850","43815","2025","NA","NA","44952","45381","44848","44952","24646","NA","NA","2023","Flanker Task ","13","6778","13","yes","1024"
"100","100","508","508","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","13","13","0","13","13","0","0","0","13","13","13","13","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","334","NA","22620","NA","NA","334","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","NA","NA","46426","45393","2025","NA","NA","46528","46862","46424","46528","24646","NA","NA","2023","Flanker Task ","14","7112","14","yes","1024"
"100","100","502.466666667","502.466666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","14","14","0","14","14","0","0","0","14","14","14","14","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","425","NA","22620","NA","NA","425","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","NA","NA","47907","46874","2025","NA","NA","48009","48435","47906","48009","24646","NA","NA","2023","Flanker Task ","15","7537","15","yes","1024"
"100","100","497.0625","497.0625","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","15","15","0","15","15","0","0","0","15","15","15","15","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","416","NA","22620","NA","NA","416","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","NA","NA","49482","48448","2025","NA","NA","49583","49999","49481","49583","24646","NA","NA","2023","Flanker Task ","16","7953","16","yes","1024"
"100","100","488.882352941","488.882352941","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","16","16","0","16","16","0","0","0","16","16","16","16","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","358","NA","22620","NA","NA","358","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","NA","NA","51036","50001","2025","NA","NA","51137","51496","51035","51137","24646","NA","NA","2023","Flanker Task ","17","8311","17","yes","1024"
"100","100","482.055555556","482.055555556","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","17","17","0","17","17","0","0","0","17","17","17","17","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","366","NA","22620","NA","NA","366","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","NA","52543","51509","2025","NA","NA","52645","53012","52541","52645","24646","NA","NA","2023","Flanker Task ","18","8677","18","yes","1024"
"100","100","477.368421053","477.368421053","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","18","18","0","18","18","0","0","0","18","18","18","18","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","393","NA","22620","NA","NA","393","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","NA","NA","54058","53024","2025","NA","NA","54159","54552","54056","54159","24646","NA","NA","2023","Flanker Task ","19","9070","19","yes","1024"
"100","100","476.65","476.65","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","19","19","0","19","19","0","0","0","19","19","19","19","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","463","NA","22620","NA","NA","463","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","NA","NA","55592","54555","2025","NA","NA","55694","56157","55590","55694","24646","NA","NA","2023","Flanker Task ","20","9533","20","yes","1024"
