acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_KeyboardResponse,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_KeyboardResponse,count_Logger,count_Sequence,count_experiment,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_KeyboardResponse,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_KeyboardResponse,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_KeyboardResponse,time_Logger,time_Sequence,time_experiment,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,478,478,black,legacy,legacy,legacy,0,Incongruent,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,0,0,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,478,NA,1045,NA,NA,478,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,2995,NA,NA,NA,NA,NA,3067,NA,1949,NA,NA,3173,3651,3066,1946,3171,Flanker Task,0,478,1,yes,1024
50,50,485,485,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,1,1,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,492,NA,1045,NA,NA,492,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,2995,NA,NA,3669,NA,NA,5274,4174,1949,NA,NA,5385,5878,5272,1946,5385,Flanker Task,1,970,2,yes,1024
66.66666667,66.66666667,487.3333333,487.3333333,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,2,0,0,0,2,2,2,0,2,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,2,2,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,492,NA,1045,NA,NA,492,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,2995,NA,NA,3669,NA,NA,6993,5893,1949,NA,NA,7099,7592,6991,1946,7099,Flanker Task,2,1462,3,yes,1024
75,75,484.75,484.75,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,3,0,0,0,3,3,3,0,3,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,3,3,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,477,NA,1045,NA,NA,477,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,2995,NA,NA,3669,NA,NA,8686,7606,1949,NA,NA,8791,9269,8684,1946,8791,Flanker Task,3,1939,4,yes,1024
80,80,485.8,485.8,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,4,4,0,4,4,0,0,0,4,4,4,0,4,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,4,4,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,490,NA,1045,NA,NA,490,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,2995,NA,NA,3669,NA,NA,10382,9283,1949,NA,NA,10487,10978,10380,1946,10487,Flanker Task,4,2429,5,yes,1024
83.33333333,83.33333333,468,468,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,5,0,0,0,5,5,5,0,5,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,5,5,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,379,NA,1045,NA,NA,379,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,2995,NA,NA,3669,NA,NA,12085,10991,1949,NA,NA,12189,12569,12084,1946,12189,Flanker Task,5,2808,6,yes,1024
85.71428571,85.71428571,471.8571429,471.8571429,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,6,0,0,0,6,6,6,0,6,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,6,6,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,495,NA,1045,NA,NA,495,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,2995,NA,NA,3669,NA,NA,13697,12584,1949,NA,NA,13802,14297,13695,1946,13802,Flanker Task,6,3303,7,yes,1024
87.5,87.5,464.125,464.125,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,7,7,0,7,7,0,0,0,7,7,7,0,7,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,7,7,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,410,NA,1045,NA,NA,410,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,2995,NA,NA,3669,NA,NA,15395,14302,1949,NA,NA,15500,15910,15393,1946,15500,Flanker Task,7,3713,8,yes,1024
88.88888889,88.88888889,456.8888889,456.8888889,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,8,0,0,0,8,8,8,0,8,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,8,8,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,399,NA,1045,NA,NA,399,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,2995,NA,NA,3669,NA,NA,17025,15925,1949,NA,NA,17130,17530,17023,1946,17130,Flanker Task,8,4112,9,yes,1024
90,90,455.8,455.8,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,9,0,0,0,9,9,9,0,9,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,9,9,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,446,NA,1045,NA,NA,446,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,2995,NA,NA,3669,NA,NA,18638,17544,1949,NA,NA,18743,19189,18636,1946,18743,Flanker Task,9,4558,10,yes,1024
90.90909091,90.90909091,452.0909091,452.0909091,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,10,10,0,10,10,0,0,0,10,10,10,0,10,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,10,10,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,415,NA,1045,NA,NA,415,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,2995,NA,NA,3669,NA,NA,20303,19204,1949,NA,NA,20408,20823,20301,1946,20408,Flanker Task,10,4973,11,yes,1024
91.66666667,91.66666667,449.25,449.25,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,11,11,0,11,11,0,0,0,11,11,11,0,11,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,11,11,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,418,NA,1045,NA,NA,418,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,2995,NA,NA,3669,NA,NA,21956,20839,1949,NA,NA,22061,22480,21954,1946,22061,Flanker Task,11,5391,12,yes,1024
92.30769231,92.30769231,453.1538462,453.1538462,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,12,12,0,12,12,0,0,0,12,12,12,0,12,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,12,12,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,500,NA,1045,NA,NA,500,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,2995,NA,NA,3669,NA,NA,23582,22485,1949,NA,NA,23687,24187,23579,1946,23687,Flanker Task,12,5891,13,yes,1024
92.85714286,92.85714286,454.3571429,454.3571429,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,13,13,0,13,13,0,0,0,13,13,13,0,13,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,13,13,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,470,NA,1045,NA,NA,470,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,2995,NA,NA,3669,NA,NA,25298,24201,1949,NA,NA,25404,25875,25296,1946,25404,Flanker Task,13,6361,14,yes,1024
93.33333333,93.33333333,452.2,452.2,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,14,14,0,14,14,0,0,0,14,14,14,0,14,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,14,14,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,422,NA,1045,NA,NA,422,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,2995,NA,NA,3669,NA,NA,26993,25887,1949,NA,NA,27096,27518,26991,1946,27095,Flanker Task,14,6783,15,yes,1024
93.75,93.75,444.25,444.25,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,15,15,0,15,15,0,0,0,15,15,15,0,15,Tue Sep 13 18:16:06 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,15,15,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,325,NA,1045,NA,NA,325,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,2995,NA,NA,3669,NA,NA,28630,27533,1949,NA,NA,28735,29062,28629,1946,28735,Flanker Task,15,7108,16,yes,1024
