"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instruction2","count_instruction3","count_instructions1","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instruction2","response_instruction3","response_instructions1","response_keyboard_response","response_time","response_time_finish","response_time_instruction2","response_time_instruction3","response_time_instructions1","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instruction2","time_instruction3","time_instructions1","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"81.81818181818181","81.81818181818181","551.4545454545455","551.4545454545455","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","10","10","0","10","0","10","0","0","0","10","10","10","10","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","10","10","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","412","NA","NA","NA","65587","412","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","66808","NA","NA","83997","78280","1084","NA","NA","85038","NA","NA","1209","85142","85555","85034","85142","Flanker Task (by Katherine Hays)","9","6066","11","yes","1024"
"75","75","576.0833333333334","576.0833333333334","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","11","11","0","11","0","11","0","0","0","11","11","11","11","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","11","11","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","847","NA","NA","NA","65587","847","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","66808","NA","NA","85559","78280","1084","NA","NA","86602","NA","NA","1209","86706","87554","86597","86705","Flanker Task (by Katherine Hays)","9","6913","12","yes","1024"
"76.92307692307692","76.92307692307692","584.2307692307693","584.2307692307693","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","12","12","0","12","0","12","0","0","0","12","12","12","12","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","12","12","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","682","NA","NA","NA","65587","682","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","66808","NA","NA","88063","87558","1084","NA","NA","89104","NA","NA","1209","89207","89889","89100","89207","Flanker Task (by Katherine Hays)","10","7595","13","yes","1024"
"78.57142857142857","78.57142857142857","577.0714285714286","577.0714285714286","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","13","13","0","13","0","13","0","0","0","13","13","13","13","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","13","13","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","484","NA","NA","NA","65587","484","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","66808","NA","NA","89898","87558","1084","NA","NA","90948","NA","NA","1209","91052","91536","90944","91052","Flanker Task (by Katherine Hays)","11","8079","14","yes","1024"
"80","80","576.9333333333333","576.9333333333333","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","14","14","0","14","0","14","0","0","0","14","14","14","14","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","14","14","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","575","NA","NA","NA","65587","575","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","66808","NA","NA","91540","87558","1084","NA","NA","92582","NA","NA","1209","92686","93262","92578","92686","Flanker Task (by Katherine Hays)","12","8654","15","yes","1024"
"81.25","81.25","571.125","571.125","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","15","15","0","15","0","15","0","0","0","15","15","15","15","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","15","15","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","484","NA","NA","NA","65587","484","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","66808","NA","NA","93266","87558","1084","NA","NA","94305","NA","NA","1209","94409","94894","94301","94409","Flanker Task (by Katherine Hays)","13","9138","16","yes","1024"
"76.47058823529412","76.47058823529412","561.8235294117648","561.8235294117648","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","16","16","0","16","0","16","0","0","0","16","16","16","16","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","16","16","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","413","NA","NA","NA","65587","413","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","66808","NA","NA","94898","87558","1084","NA","NA","95943","NA","NA","1209","96047","96461","95939","96046","Flanker Task (by Katherine Hays)","13","9551","17","yes","1024"
"77.77777777777777","77.77777777777777","578.4444444444445","578.4444444444445","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","17","17","0","17","0","17","0","0","0","17","17","17","17","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","17","17","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","861","NA","NA","NA","65587","861","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","66808","NA","NA","96969","96465","1084","NA","NA","98007","NA","NA","1209","98111","98973","98004","98111","Flanker Task (by Katherine Hays)","14","10412","18","yes","1024"
"78.94736842105263","78.94736842105263","585.8421052631579","585.8421052631579","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","18","18","0","18","0","18","0","0","0","18","18","18","18","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","18","18","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","719","NA","NA","NA","65587","719","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","66808","NA","NA","98977","96465","1084","NA","NA","100018","NA","NA","1209","100122","100841","100014","100122","Flanker Task (by Katherine Hays)","15","11131","19","yes","1024"
"75","75","588.95","588.95","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","19","19","0","19","0","19","0","0","0","19","19","19","19","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","19","19","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","648","NA","NA","NA","65587","648","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","66808","NA","NA","100845","96465","1084","NA","NA","101885","NA","NA","1209","101990","102639","101881","101989","Flanker Task (by Katherine Hays)","15","11779","20","yes","1024"
