condition,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Instructions2,count_block1,count_block2,count_block3,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions3,count_isi,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions2,response_finish,response_instructions1,response_instructions3,response_keyboard_response,response_time,response_time_Instructions2,response_time_finish,response_time_instructions1,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Instructions2,time_block1,time_block2,time_block3,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions3,time_isi,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
congruent,100,100,1259.525233,1259.525233,black,psycho,psycho,psycho,0,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 27 18:53:28 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,0,0,/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab 2/RT-subject-4.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,1259.525233,NA,NA,15079.06033,NA,1259.525233,2,psycho,1024,2,48000,-16,experiment,HHHHH,4,even,NA,19480.77365,NA,NA,NA,4295.980384,NA,NA,19613.1111,4344.791823,NA,NA,19729.30267,20991.32363,19577.48839,19728.65745,Flanker Task,1,1259.525233,1,yes,1024
incongruent,50,50,1343.883443,1343.883443,black,psycho,psycho,psycho,0,uniform,0,undefined,0,s,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,Sun Sep 27 18:53:28 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,1,1,/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab 2/RT-subject-4.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,1428.241653,NA,NA,15079.06033,NA,1428.241653,2,psycho,1024,2,48000,-16,experiment,HHSHH,4,even,NA,19480.77365,NA,NA,NA,4295.980384,NA,NA,22144.41431,4344.791823,NA,21010.77014,22262.12696,23692.59298,22121.06347,22261.01567,Flanker Task,1,2687.766886,2,yes,1024
incongruent,66.66666667,66.66666667,1206.584736,1206.584736,black,psycho,psycho,psycho,0,uniform,1,undefined,1,h,0,0,0,0,2,0,2,0,2,0,0,2,2,2,2,2,Sun Sep 27 18:53:28 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,2,2,/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab 2/RT-subject-4.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,931.987322,NA,NA,15079.06033,NA,931.987322,2,psycho,1024,2,48000,-16,experiment,SSHSS,4,even,NA,19480.77365,NA,NA,23711.03832,4295.980384,NA,NA,25394.10684,4344.791823,NA,24227.75938,25512.25325,26446.2173,25363.52396,25511.04785,Flanker Task,2,3619.754208,3,yes,1024
congruent,75,75,1032.54032,1032.54032,black,psycho,psycho,psycho,0,uniform,1,undefined,1,h,0,0,0,0,3,0,3,0,3,0,0,3,3,3,3,3,Sun Sep 27 18:53:28 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,3,3,/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab 2/RT-subject-4.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,510.407073,NA,NA,15079.06033,NA,510.407073,2,psycho,1024,2,48000,-16,experiment,HHHHH,4,even,NA,19480.77365,NA,NA,23711.03832,4295.980384,NA,NA,27610.8409,4344.791823,NA,26461.01017,27728.9225,28241.39794,27592.26424,27727.71885,Flanker Task,3,4130.161281,4,yes,1024
incongruent,80,80,925.8564452,925.8564452,black,psycho,psycho,psycho,0,uniform,1,undefined,1,h,0,0,0,0,4,0,4,0,4,0,0,4,4,4,4,4,Sun Sep 27 18:53:28 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,4,4,/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab 2/RT-subject-4.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,499.120945,NA,NA,15079.06033,NA,499.120945,2,psycho,1024,2,48000,-16,experiment,SSHSS,4,even,NA,19480.77365,NA,NA,23711.03832,4295.980384,NA,NA,29378.20661,4344.791823,NA,28260.98151,29494.90491,29996.02179,29353.82179,29494.43278,Flanker Task,4,4629.282226,5,yes,1024
incongruent,83.33333333,83.33333333,843.1066985,843.1066985,black,psycho,psycho,psycho,0,uniform,1,undefined,1,h,0,0,0,0,5,0,5,0,5,0,0,5,5,5,5,5,Sun Sep 27 18:53:28 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,5,5,/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab 2/RT-subject-4.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,429.357965,NA,NA,15079.06033,NA,429.357965,2,psycho,1024,2,48000,-16,experiment,SSHSS,4,even,NA,19480.77365,NA,NA,23711.03832,4295.980384,NA,NA,31144.97867,4344.791823,NA,30011.00603,31261.74279,31693.09812,31130.09017,31261.09864,Flanker Task,5,5058.640191,6,yes,1024
incongruent,85.71428571,85.71428571,801.923797,801.923797,black,psycho,psycho,psycho,0,uniform,1,undefined,1,s,0,0,0,0,6,0,6,0,6,0,0,6,6,6,6,6,Sun Sep 27 18:53:28 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,6,6,/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab 2/RT-subject-4.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,554.826388,NA,NA,15079.06033,NA,554.826388,2,psycho,1024,2,48000,-16,experiment,HHSHH,4,even,NA,19480.77365,NA,NA,23711.03832,4295.980384,NA,NA,32844.43285,4344.791823,NA,31710.79942,32962.45983,33519.2677,32820.05173,32961.22371,Flanker Task,6,5613.466579,7,yes,1024
congruent,87.5,87.5,756.8659576,756.8659576,black,psycho,psycho,psycho,0,uniform,1,undefined,1,s,0,0,0,0,7,0,7,0,7,0,0,7,7,7,7,7,Sun Sep 27 18:53:28 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,7,7,/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab 2/RT-subject-4.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,441.461082,NA,NA,15079.06033,NA,441.461082,2,psycho,1024,2,48000,-16,experiment,SSSSS,4,even,NA,19480.77365,NA,NA,23711.03832,4295.980384,NA,NA,34660.92879,4344.791823,NA,33527.24244,34778.94583,35222.96956,34635.75365,34777.78131,Flanker Task,7,6054.927661,8,yes,1024
incongruent,88.88888889,88.88888889,728.0164678,728.0164678,black,psycho,psycho,psycho,0,uniform,1,undefined,1,h,0,0,0,0,8,0,8,0,8,0,0,8,8,8,8,8,Sun Sep 27 18:53:28 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,8,8,/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab 2/RT-subject-4.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,497.220549,NA,NA,15079.06033,NA,497.220549,2,psycho,1024,2,48000,-16,experiment,SSHSS,4,even,NA,19480.77365,NA,NA,23711.03832,4295.980384,NA,NA,36377.55532,4344.791823,NA,35244.69866,36496.99157,36996.03742,36352.58433,36495.91563,Flanker Task,8,6552.14821,9,yes,1024
congruent,90,90,703.6807003,703.6807003,black,psycho,psycho,psycho,0,uniform,1,undefined,1,s,0,0,0,0,9,0,9,0,9,0,0,9,9,9,9,9,Sun Sep 27 18:53:28 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,9,9,/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab 2/RT-subject-4.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,484.658793,NA,NA,15079.06033,NA,484.658793,2,psycho,1024,2,48000,-16,experiment,SSSSS,4,even,NA,19480.77365,NA,NA,23711.03832,4295.980384,NA,NA,38145.74955,4344.791823,NA,37012.39893,38261.5788,38748.11815,38119.42947,38260.93336,Flanker Task,9,7036.807003,10,yes,1024
