"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboardresponse","correct_response","count_block1","count_block2","count_block3","count_errorfeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_isi","count_keyboardresponse","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboardresponse","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboardresponse","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_block1","time_block2","time_block3","time_errorfeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_isi","time_keyboardresponse","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"81.8181818182","81.8181818182","502.090909091","502.090909091","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","10","0","10","0","10","0","0","0","10","10","10","10","10","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","465","NA","23435","NA","NA","465","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","27198","NA","NA","42608","3757","NA","NA","45920","3762","NA","NA","44791","46026","46492","45917","46025","New experiment","9","5523","11","yes","1024"
"83.3333333333","83.3333333333","501","501","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","11","0","11","0","11","0","0","0","11","11","11","11","11","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","489","NA","23435","NA","NA","489","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","27198","NA","NA","42608","3757","NA","NA","47625","3762","NA","NA","46498","47731","48220","47622","47730","New experiment","10","6012","12","yes","1024"
"84.6153846154","84.6153846154","506.076923077","506.076923077","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","12","0","12","0","12","0","0","0","12","12","12","12","12","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","567","NA","23435","NA","NA","567","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","27198","NA","NA","42608","3757","NA","NA","49367","3762","NA","NA","48226","49473","50040","49364","49472","New experiment","11","6579","13","yes","1024"
"85.7142857143","85.7142857143","500.928571429","500.928571429","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","13","0","13","0","13","0","0","0","13","13","13","13","13","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","434","NA","23435","NA","NA","434","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","27198","NA","NA","42608","3757","NA","NA","51209","3762","NA","NA","50046","51316","51751","51206","51315","New experiment","12","7013","14","yes","1024"
"86.6666666667","86.6666666667","506.133333333","506.133333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","14","0","14","0","14","0","0","0","14","14","14","14","14","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","579","NA","23435","NA","NA","579","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","27198","NA","NA","42608","3757","NA","NA","52900","3762","NA","NA","51756","53006","53586","52896","53005","New experiment","13","7592","15","yes","1024"
"87.5","87.5","504.875","504.875","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","15","0","15","0","15","0","0","0","15","15","15","15","15","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","486","NA","23435","NA","NA","486","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","27198","NA","NA","42608","3757","NA","NA","54750","3762","NA","NA","53591","54856","55342","54747","54855","New experiment","14","8078","16","yes","1024"
"88.2352941176","88.2352941176","504.705882353","504.705882353","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","16","0","16","0","16","0","0","0","16","16","16","16","16","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","502","NA","23435","NA","NA","502","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","27198","NA","NA","42608","3757","NA","NA","56478","3762","NA","NA","55348","56584","57087","56474","56584","New experiment","15","8580","17","yes","1024"
"88.8888888889","88.8888888889","502.277777778","502.277777778","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","17","0","17","0","17","0","0","0","17","17","17","17","17","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","461","NA","23435","NA","NA","461","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","27198","NA","NA","42608","3757","NA","NA","58220","3762","NA","NA","57092","58326","58788","58217","58326","New experiment","16","9041","18","yes","1024"
"89.4736842105","89.4736842105","499.526315789","499.526315789","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","18","0","18","0","18","0","0","0","18","18","18","18","18","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","450","NA","23435","NA","NA","450","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","27198","NA","NA","42608","3757","NA","NA","59924","3762","NA","NA","58793","60030","60481","59921","60030","New experiment","17","9491","19","yes","1024"
"90","90","494.85","494.85","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","19","0","19","0","19","0","0","0","19","19","19","19","19","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","406","NA","23435","NA","NA","406","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","27198","NA","NA","42608","3757","NA","NA","61631","3762","NA","NA","60486","61737","62144","61628","61736","New experiment","18","9897","20","yes","1024"
