acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_Keyboard_Response,correct_response,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions3,count_Keyboard_Response,count_Sequence,count_Stimulus,count_block1,count_block2,count_block3,count_experiment,count_instructions2,count_new_logger,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions3,response_Keyboard_Response,response_instructions2,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions3,response_time_Keyboard_Response,response_time_instructions2,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions3,time_Keyboard_Response,time_Sequence,time_Stimulus,time_block1,time_block2,time_block3,time_experiment,time_instructions2,time_new_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,1500,1500,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Sep 15 19:15:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JK subject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,NA,j,NA,None,NA,1500,NA,103414,NA,1500,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,NA,NA,NA,151725,NA,30466,NA,151830,144213,151830,133882,NA,NA,30461,NA,153330,Flanker Task,0,1500,1,yes,1024
0,0,1500,1500,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,Tue Sep 15 19:15:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JK subject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,NA,j,NA,None,NA,1500,NA,103414,NA,1500,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,153933,NA,NA,155662,154437,30466,NA,155766,155657,155766,133882,NA,NA,30461,NA,157266,Flanker Task,0,3000,2,yes,1024
33.33333333,33.33333333,1253,1253,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,2,2,0,2,2,0,0,2,2,2,0,0,0,0,0,2,Tue Sep 15 19:15:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JK subject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,j,NA,s,NA,759,NA,103414,NA,759,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,157686,NA,NA,159417,158191,30466,NA,159521,159412,159521,133882,NA,NA,30461,NA,160281,Flanker Task,1,3759,3,yes,1024
50,50,1203,1203,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,3,3,0,3,3,0,0,3,3,3,0,0,0,0,0,3,Tue Sep 15 19:15:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JK subject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,j,NA,h,NA,1053,NA,103414,NA,1053,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,157686,NA,NA,162138,160890,30466,NA,162243,162133,162242,133882,NA,NA,30461,NA,163297,Flanker Task,2,4812,4,yes,1024
60,60,1143.2,1143.2,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,4,4,0,4,4,0,0,4,4,4,0,0,0,0,0,4,Tue Sep 15 19:15:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JK subject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,j,NA,s,NA,904,NA,103414,NA,904,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,157686,NA,NA,164735,163478,30466,NA,164840,164715,164840,133882,NA,NA,30461,NA,165746,Flanker Task,3,5716,5,yes,1024
66.66666667,66.66666667,1090.5,1090.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,5,5,0,5,5,0,0,5,5,5,0,0,0,0,0,5,Tue Sep 15 19:15:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JK subject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,j,NA,h,NA,827,NA,103414,NA,827,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,157686,NA,NA,167084,165844,30466,NA,167189,167079,167189,133882,NA,NA,30461,NA,168017,Flanker Task,4,6543,6,yes,1024
71.42857143,71.42857143,1048.428571,1048.428571,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,6,6,0,6,6,0,0,6,6,6,0,0,0,0,0,6,Tue Sep 15 19:15:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JK subject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,j,NA,s,NA,796,NA,103414,NA,796,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,157686,NA,NA,169853,168625,30466,NA,169957,169847,169957,133882,NA,NA,30461,NA,170754,Flanker Task,5,7339,7,yes,1024
75,75,994.625,994.625,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,7,7,0,7,7,0,0,7,7,7,0,0,0,0,0,7,Tue Sep 15 19:15:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JK subject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,j,NA,s,NA,618,NA,103414,NA,618,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,157686,NA,NA,172197,170957,30466,NA,172302,172192,172301,133882,NA,NA,30461,NA,172922,Flanker Task,6,7957,8,yes,1024
77.77777778,77.77777778,958.7777778,958.7777778,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,8,8,0,8,8,0,0,8,8,8,0,0,0,0,0,8,Tue Sep 15 19:15:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JK subject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,j,NA,s,NA,672,NA,103414,NA,672,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,157686,NA,NA,174304,173081,30466,NA,174408,174298,174408,133882,NA,NA,30461,NA,175081,Flanker Task,7,8629,9,yes,1024
80,80,940.8,940.8,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,9,9,0,9,9,0,0,9,9,9,0,0,0,0,0,9,Tue Sep 15 19:15:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JK subject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,j,NA,h,NA,779,NA,103414,NA,779,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,157686,NA,NA,176499,175267,30466,NA,176606,176494,176606,133882,NA,NA,30461,NA,177386,Flanker Task,8,9408,10,yes,1024
