Stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block3,count_ErrorFeedback,count_ISI,count_Logger,count_block1,count_block2,count_experiment,count_faster,count_finish,count_fixation,count_instruction2,count_instructions1,count_instructions3,count_keyboard_response,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction2,response_instructions1,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instruction2,response_time_instructions1,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Block3,time_ErrorFeedback,time_ISI,time_Logger,time_block1,time_block2,time_experiment,time_faster,time_finish,time_fixation,time_instruction2,time_instructions1,time_instructions3,time_keyboard_response,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
HHSHH,100,100,802,802,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,802,NA,NA,8694,NA,802,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,NA,12465,11499,NA,2800,NA,NA,11559,NA,2804,NA,11663,11558,11662,Flanker Test,1,802,1,yes,1024
SSSSS,100,100,640,640,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,478,NA,NA,8694,NA,478,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,12471,14159,11499,NA,2800,NA,NA,13578,NA,2804,NA,13680,13577,13679,Flanker Test,2,1280,2,yes,1024
HHSHH,100,100,596,596,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,2,2,2,0,0,0,2,0,2,0,0,0,2,2,2,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,508,NA,NA,8694,NA,508,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,14162,15870,11499,NA,2800,NA,NA,15260,NA,2804,NA,15361,15258,15361,Flanker Test,3,1788,3,yes,1024
HHSHH,100,100,568.25,568.25,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,3,3,3,0,0,0,3,0,3,0,0,0,3,3,3,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,485,NA,NA,8694,NA,485,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,15874,17563,11499,NA,2800,NA,NA,16975,NA,2804,NA,17078,16974,17077,Flanker Test,4,2273,4,yes,1024
SSHSS,100,100,568.8,568.8,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,4,4,4,0,0,0,4,0,4,0,0,0,4,4,4,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,571,NA,NA,8694,NA,571,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,17567,19350,11499,NA,2800,NA,NA,18675,NA,2804,NA,18778,18673,18778,Flanker Test,5,2844,5,yes,1024
SSHSS,100,100,558.5,558.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,5,5,5,0,0,0,5,0,5,0,0,0,5,5,5,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,507,NA,NA,8694,NA,507,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,19354,21066,11499,NA,2800,NA,NA,20456,NA,2804,NA,20557,20454,20557,Flanker Test,6,3351,6,yes,1024
SSHSS,100,100,553.4285714,553.4285714,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,6,6,6,0,0,0,6,0,6,0,0,0,6,6,6,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,523,NA,NA,8694,NA,523,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,21069,22791,11499,NA,2800,NA,NA,22165,NA,2804,NA,22267,22164,22267,Flanker Test,7,3874,7,yes,1024
SSSSS,100,100,538.25,538.25,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,7,7,7,0,0,0,7,0,7,0,0,0,7,7,7,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,432,NA,NA,8694,NA,432,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,22795,24434,11499,NA,2800,NA,NA,23897,NA,2804,NA,24001,23896,24001,Flanker Test,8,4306,8,yes,1024
SSSSS,100,100,527.6666667,527.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,8,8,8,0,0,0,8,0,8,0,0,0,8,8,8,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,443,NA,NA,8694,NA,443,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,24437,26082,11499,NA,2800,NA,NA,25536,NA,2804,NA,25638,25534,25638,Flanker Test,9,4749,9,yes,1024
SSSSS,100,100,520.8,520.8,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,9,9,9,0,0,0,9,0,9,0,0,0,9,9,9,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,459,NA,NA,8694,NA,459,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,26086,27755,11499,NA,2800,NA,NA,27194,NA,2804,NA,27295,27193,27295,Flanker Test,10,5208,10,yes,1024
SSSSS,100,100,511.9090909,511.9090909,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,10,10,10,0,0,0,10,0,10,0,0,0,10,10,10,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,423,NA,NA,8694,NA,423,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,27759,29342,11499,NA,2800,NA,NA,28814,NA,2804,NA,28917,28812,28917,Flanker Test,11,5631,11,yes,1024
SSHSS,100,100,516.5833333,516.5833333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,11,11,11,0,0,0,11,0,11,0,0,0,11,11,11,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,568,NA,NA,8694,NA,568,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,29344,31083,11499,NA,2800,NA,NA,30411,NA,2804,NA,30514,30409,30514,Flanker Test,12,6199,12,yes,1024
HHSHH,100,100,521.9230769,521.9230769,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,12,12,12,0,0,0,12,0,12,0,0,0,12,12,12,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,12,12,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,586,NA,NA,8694,NA,586,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,31086,32863,11499,NA,2800,NA,NA,32172,NA,2804,NA,32276,32171,32276,Flanker Test,13,6785,13,yes,1024
HHSHH,100,100,518.0714286,518.0714286,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,13,13,13,0,0,0,13,0,13,0,0,0,13,13,13,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,13,13,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,468,NA,NA,8694,NA,468,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,32867,34540,11499,NA,2800,NA,NA,33969,NA,2804,NA,34071,33967,34070,Flanker Test,14,7253,14,yes,1024
HHSHH,100,100,514.6666667,514.6666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,14,14,14,0,0,0,14,0,14,0,0,0,14,14,14,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,14,14,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,467,NA,NA,8694,NA,467,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,34545,36224,11499,NA,2800,NA,NA,35652,NA,2804,NA,35756,35650,35756,Flanker Test,15,7720,15,yes,1024
SSSSS,100,100,513.6875,513.6875,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,15,15,15,0,0,0,15,0,15,0,0,0,15,15,15,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,15,15,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,499,NA,NA,8694,NA,499,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,36228,37934,11499,NA,2800,NA,NA,37333,NA,2804,NA,37434,37331,37434,Flanker Test,16,8219,16,yes,1024
HHHHH,100,100,510.6470588,510.6470588,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,16,16,16,0,0,0,16,0,16,0,0,0,16,16,16,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,16,16,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,462,NA,NA,8694,NA,462,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,37937,39600,11499,NA,2800,NA,NA,39035,NA,2804,NA,39137,39034,39137,Flanker Test,17,8681,17,yes,1024
HHSHH,100,100,510.8333333,510.8333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,17,17,17,0,0,0,17,0,17,0,0,0,17,17,17,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,17,17,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,514,NA,NA,8694,NA,514,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,39603,41302,11499,NA,2800,NA,NA,40686,NA,2804,NA,40787,40684,40787,Flanker Test,18,9195,18,yes,1024
HHHHH,100,100,508.4736842,508.4736842,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,18,18,18,0,0,0,18,0,18,0,0,0,18,18,18,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,18,18,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,466,NA,NA,8694,NA,466,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,41306,42984,11499,NA,2800,NA,NA,42412,NA,2804,NA,42517,42411,42517,Flanker Test,19,9661,19,yes,1024
SSSSS,100,100,504.95,504.95,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,19,19,19,0,0,0,19,0,19,0,0,0,19,19,19,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,19,19,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,438,NA,NA,8694,NA,438,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,42988,44636,11499,NA,2800,NA,NA,44095,NA,2804,NA,44197,44093,44197,Flanker Test,20,10099,20,yes,1024
SSHSS,100,100,508.952381,508.952381,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,20,20,20,0,0,0,20,0,20,0,0,0,20,20,20,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,20,20,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,589,NA,NA,8694,NA,589,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,44639,46438,11499,NA,2800,NA,NA,45744,NA,2804,NA,45848,45742,45848,Flanker Test,21,10688,21,yes,1024
HHHHH,100,100,508.1818182,508.1818182,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,21,21,21,0,0,0,21,0,21,0,0,0,21,21,21,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,21,21,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,492,NA,NA,8694,NA,492,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,46440,48094,11499,NA,2800,NA,NA,47496,NA,2804,NA,47600,47494,47600,Flanker Test,22,11180,22,yes,1024
SSHSS,100,100,511.0869565,511.0869565,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,22,22,22,0,0,0,22,0,22,0,0,0,22,22,22,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,22,22,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,575,NA,NA,8694,NA,575,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,48097,49863,11499,NA,2800,NA,NA,49185,NA,2804,NA,49286,49184,49286,Flanker Test,23,11755,23,yes,1024
HHSHH,100,100,512.5416667,512.5416667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,23,23,23,0,0,0,23,0,23,0,0,0,23,23,23,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,23,23,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,546,NA,NA,8694,NA,546,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,49866,51619,11499,NA,2800,NA,NA,50972,NA,2804,NA,51073,50970,51073,Flanker Test,24,12301,24,yes,1024
HHHHH,100,100,511.8,511.8,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,24,24,24,0,0,0,24,0,24,0,0,0,24,24,24,Sun Sep 13 09:33:13 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/Owner/Documents,no,mono,no,18,no,white,no,yes,768,legacy,24,24,C:/Users/Owner/Documents/KJPsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,494,NA,NA,8694,NA,494,2,legacy,1024,2,48000,-16,experiment,0,even,NA,NA,51623,53332,11499,NA,2800,NA,NA,52733,NA,2804,NA,52837,52731,52837,Flanker Test,25,12795,25,yes,1024
