acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_Keyboard_Response,correct_response,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions3,count_Keyboard_Response,count_Sequence,count_Stimulus,count_block1,count_block2,count_block3,count_experiment,count_instructions2,count_new_logger,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions3,response_Keyboard_Response,response_instructions2,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions3,response_time_Keyboard_Response,response_time_instructions2,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions3,time_Keyboard_Response,time_Sequence,time_Stimulus,time_block1,time_block2,time_block3,time_experiment,time_instructions2,time_new_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,649,649,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Sep 12 16:31:18 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv,no,mono,no,18,no,white,no,no,768,legacy,0,0,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/CMK subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,649,NA,39948,NA,649,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,NA,NA,NA,45127,NA,4955,NA,45231,45121,45230,44906,NA,NA,4949,NA,45881,Flanker Task,1,649,1,yes,1024
50,50,571.5,571.5,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,Sat Sep 12 16:31:18 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv,no,mono,no,18,no,white,no,no,768,legacy,1,1,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/CMK subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,s,NA,h,NA,494,NA,39948,NA,494,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,NA,NA,NA,47231,45999,4955,NA,47337,47226,47337,44906,NA,NA,4949,NA,47832,Flanker Task,1,1143,2,yes,1024
66.66666667,66.66666667,562,562,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,2,2,0,2,2,0,0,2,2,2,0,0,0,0,0,2,Sat Sep 12 16:31:18 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv,no,mono,no,18,no,white,no,no,768,legacy,2,2,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/CMK subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,s,NA,h,NA,543,NA,39948,NA,543,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,47926,NA,NA,49664,48430,4955,NA,49769,49659,49769,44906,NA,NA,4949,NA,50314,Flanker Task,2,1686,3,yes,1024
75,75,545.5,545.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,3,3,0,3,3,0,0,3,3,3,0,0,0,0,0,3,Sat Sep 12 16:31:18 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv,no,mono,no,18,no,white,no,no,768,legacy,3,3,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/CMK subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,496,NA,39948,NA,496,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,47926,NA,NA,51608,50377,4955,NA,51712,51603,51712,44906,NA,NA,4949,NA,52209,Flanker Task,3,2182,4,yes,1024
80,80,548.4,548.4,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,4,4,0,4,4,0,0,4,4,4,0,0,0,0,0,4,Sat Sep 12 16:31:18 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv,no,mono,no,18,no,white,no,no,768,legacy,4,4,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/CMK subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,s,NA,h,NA,560,NA,39948,NA,560,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,47926,NA,NA,53560,52253,4955,NA,53664,53555,53664,44906,NA,NA,4949,NA,54225,Flanker Task,4,2742,5,yes,1024
83.33333333,83.33333333,544,544,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,5,5,0,5,5,0,0,5,5,5,0,0,0,0,0,5,Sat Sep 12 16:31:18 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv,no,mono,no,18,no,white,no,no,768,legacy,5,5,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/CMK subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,s,NA,h,NA,522,NA,39948,NA,522,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,47926,NA,NA,55510,54277,4955,NA,55614,55505,55614,44906,NA,NA,4949,NA,56138,Flanker Task,5,3264,6,yes,1024
85.71428571,85.71428571,537.5714286,537.5714286,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,6,6,0,6,6,0,0,6,6,6,0,0,0,0,0,6,Sat Sep 12 16:31:18 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv,no,mono,no,18,no,white,no,no,768,legacy,6,6,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/CMK subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,499,NA,39948,NA,499,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,47926,NA,NA,57402,56166,4955,NA,57509,57397,57508,44906,NA,NA,4949,NA,58009,Flanker Task,6,3763,7,yes,1024
87.5,87.5,534.75,534.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,7,7,0,7,7,0,0,7,7,7,0,0,0,0,0,7,Sat Sep 12 16:31:18 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv,no,mono,no,18,no,white,no,no,768,legacy,7,7,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/CMK subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,s,NA,h,NA,515,NA,39948,NA,515,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,47926,NA,NA,59298,58066,4955,NA,59402,59292,59402,44906,NA,NA,4949,NA,59918,Flanker Task,7,4278,8,yes,1024
88.88888889,88.88888889,531.4444444,531.4444444,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,8,8,0,8,8,0,0,8,8,8,0,0,0,0,0,8,Sat Sep 12 16:31:18 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv,no,mono,no,18,no,white,no,no,768,legacy,8,8,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/CMK subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,505,NA,39948,NA,505,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,47926,NA,NA,61254,59987,4955,NA,61358,61248,61358,44906,NA,NA,4949,NA,61865,Flanker Task,8,4783,9,yes,1024
90,90,526.2,526.2,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,9,9,0,9,9,0,0,9,9,9,0,0,0,0,0,9,Sat Sep 12 16:31:18 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv,no,mono,no,18,no,white,no,no,768,legacy,9,9,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/CMK subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,s,NA,h,NA,479,NA,39948,NA,479,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,47926,NA,NA,63153,61921,4955,NA,63257,63147,63257,44906,NA,NA,4949,NA,63737,Flanker Task,9,5262,10,yes,1024
