"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","602.2777777777778","602.2777777777778","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","17","0","0","0","17","0","17","0","17","0","0","0","17","17","17","17","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","17","17","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","702","NA","18039","NA","NA","702","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","51110","21242","NA","NA","NA","3171","NA","NA","52184","3182","NA","NA","52297","53000","52173","52297","Flanker Task","18","10841","18","yes","1024"
"100","100","603.3157894736842","603.3157894736842","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","18","0","0","0","18","0","18","0","18","0","0","0","18","18","18","18","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","18","18","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","622","NA","18039","NA","NA","622","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","53012","21242","NA","NA","NA","3171","NA","NA","54085","3182","NA","NA","54200","54823","54074","54200","Flanker Task","19","11463","19","yes","1024"
"100","100","593.25","593.25","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","19","0","0","0","19","0","19","0","19","0","0","0","19","19","19","19","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","19","19","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","402","NA","18039","NA","NA","402","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","54836","21242","NA","NA","NA","3171","NA","NA","55909","3182","NA","NA","56021","56424","55898","56020","Flanker Task","20","11865","20","yes","1024"
"100","100","584.8095238095239","584.8095238095239","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","20","0","0","0","20","0","20","0","20","0","0","0","20","20","20","20","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","20","20","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","416","NA","18039","NA","NA","416","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","56437","21242","NA","NA","NA","3171","NA","NA","57510","3182","NA","NA","57622","58039","57498","57622","Flanker Task","21","12281","21","yes","1024"
"100","100","591.7272727272727","591.7272727272727","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","21","0","0","0","21","0","21","0","21","0","0","0","21","21","21","21","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","21","21","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","737","NA","18039","NA","NA","737","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","58053","21242","NA","NA","NA","3171","NA","NA","59126","3182","NA","NA","59240","59978","59114","59240","Flanker Task","22","13018","22","yes","1024"
"100","100","587.4782608695652","587.4782608695652","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","22","0","0","0","22","0","22","0","22","0","0","0","22","22","22","22","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","22","22","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","494","NA","18039","NA","NA","494","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","59991","21242","NA","NA","NA","3171","NA","NA","61067","3182","NA","NA","61183","61679","61054","61183","Flanker Task","23","13512","23","yes","1024"
"100","100","582.2083333333334","582.2083333333334","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","23","0","0","0","23","0","23","0","23","0","0","0","23","23","23","23","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","23","23","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","461","NA","18039","NA","NA","461","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","61696","21242","NA","NA","NA","3171","NA","NA","62786","3182","NA","NA","62903","63366","62770","62902","Flanker Task","24","13973","24","yes","1024"
"100","100","605.36","605.36","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","24","0","0","0","24","0","24","0","24","0","0","0","24","24","24","24","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","24","24","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","1161","NA","18039","NA","NA","1161","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","63389","21242","NA","NA","NA","3171","NA","NA","64487","3182","NA","NA","64605","65768","64470","64605","Flanker Task","25","15134","25","yes","1024"
"100","100","605.8461538461538","605.8461538461538","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","25","0","0","0","25","0","25","0","25","0","0","0","25","25","25","25","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","25","25","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","618","NA","18039","NA","NA","618","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","65790","21242","NA","NA","NA","3171","NA","NA","66901","3182","NA","NA","67021","67641","66880","67021","Flanker Task","26","15752","26","yes","1024"
"100","100","603.0370370370371","603.0370370370371","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","26","0","0","0","26","0","26","0","26","0","0","0","26","26","26","26","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","26","26","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","530","NA","18039","NA","NA","530","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","67665","21242","NA","NA","NA","3171","NA","NA","68783","3182","NA","NA","68905","69437","68761","68905","Flanker Task","27","16282","27","yes","1024"
