Stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block3,count_ErrorFeedback,count_ISI,count_Logger,count_block1,count_block2,count_experiment,count_faster,count_finish,count_fixation,count_instruction2,count_instructions1,count_instructions3,count_keyboard_response,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction2,response_instructions1,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instruction2,response_time_instructions1,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Block3,time_ErrorFeedback,time_ISI,time_Logger,time_block1,time_block2,time_experiment,time_faster,time_finish,time_fixation,time_instruction2,time_instructions1,time_instructions3,time_keyboard_response,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
HHSHH,0,0,529,529,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,529,NA,NA,563,NA,529,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,NA,NA,4921,4223,NA,3656,NA,NA,4288,NA,3660,NA,4392,4286,4392,Flanker Test,0,529,1,yes,1024
HHSHH,50,50,444,444,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,359,NA,NA,563,NA,359,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,4926,5431,7003,4223,NA,3656,NA,NA,6542,NA,3660,NA,6643,6540,6643,Flanker Test,1,888,2,yes,1024
SSSSS,66.66666667,66.66666667,435,435,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,2,2,2,0,0,0,2,0,2,0,0,0,2,2,2,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,417,NA,NA,563,NA,417,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,4926,7007,8632,4223,NA,3656,NA,NA,8112,NA,3660,NA,8215,8110,8215,Flanker Test,2,1305,3,yes,1024
SSHSS,50,50,416,416,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,3,3,3,0,0,0,3,0,3,0,0,0,3,3,3,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,359,NA,NA,563,NA,359,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,4926,8634,10178,4223,NA,3656,NA,NA,9717,NA,3660,NA,9818,9715,9818,Flanker Test,2,1664,4,yes,1024
HHSHH,60,60,420.4,420.4,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,4,4,4,0,0,0,4,0,4,0,0,0,4,4,4,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,438,NA,NA,563,NA,438,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,10181,10685,12333,4223,NA,3656,NA,NA,11793,NA,3660,NA,11894,11790,11894,Flanker Test,3,2102,5,yes,1024
SSHSS,50,50,418,418,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,5,5,5,0,0,0,5,0,5,0,0,0,5,5,5,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,406,NA,NA,563,NA,406,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,10181,12336,13965,4223,NA,3656,NA,NA,13455,NA,3660,NA,13558,13453,13558,Flanker Test,3,2508,6,yes,1024
SSHSS,42.85714286,42.85714286,417.1428571,417.1428571,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,6,6,6,0,0,0,6,0,6,0,0,0,6,6,6,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,412,NA,NA,563,NA,412,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,13969,14471,16091,4223,NA,3656,NA,NA,15576,NA,3660,NA,15678,15574,15678,Flanker Test,3,2920,7,yes,1024
SSSSS,50,50,417.75,417.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,7,7,7,0,0,0,7,0,7,0,0,0,7,7,7,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,422,NA,NA,563,NA,422,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,16094,16598,18182,4223,NA,3656,NA,NA,17655,NA,3660,NA,17759,17654,17759,Flanker Test,4,3342,8,yes,1024
HHHHH,55.55555556,55.55555556,414.4444444,414.4444444,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,8,8,8,0,0,0,8,0,8,0,0,0,8,8,8,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,388,NA,NA,563,NA,388,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,16094,18185,19786,4223,NA,3656,NA,NA,19292,NA,3660,NA,19397,19291,19396,Flanker Test,5,3730,9,yes,1024
HHHHH,50,50,406.3,406.3,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,9,9,9,0,0,0,9,0,9,0,0,0,9,9,9,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,333,NA,NA,563,NA,333,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,16094,19789,21288,4223,NA,3656,NA,NA,20850,NA,3660,NA,20954,20848,20954,Flanker Test,5,4063,10,yes,1024
SSHSS,45.45454545,45.45454545,401.0909091,401.0909091,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,10,10,10,0,0,0,10,0,10,0,0,0,10,10,10,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,349,NA,NA,563,NA,349,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,21291,21795,23358,4223,NA,3656,NA,NA,22904,NA,3660,NA,23008,22902,23008,Flanker Test,5,4412,11,yes,1024
SSSSS,50,50,398.75,398.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,11,11,11,0,0,0,11,0,11,0,0,0,11,11,11,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,373,NA,NA,563,NA,373,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,23361,23865,25444,4223,NA,3656,NA,NA,24967,NA,3660,NA,25070,24965,25070,Flanker Test,6,4785,12,yes,1024
HHHHH,53.84615385,53.84615385,403,403,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,12,12,12,0,0,0,12,0,12,0,0,0,12,12,12,Sat Sep 19 00:41:41 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Owner\Documents,no,mono,no,18,no,white,no,yes,768,legacy,12,12,C:/Users/Owner/Documents/KTPsubject-3.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,454,NA,NA,563,NA,454,2,legacy,1024,2,48000,-16,experiment,3,odd,NA,23361,25447,27113,4223,NA,3656,NA,NA,26555,NA,3660,NA,26658,26553,26658,Flanker Test,7,5239,13,yes,1024
