acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_Keyboard_Response,correct_response,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions3,count_Keyboard_Response,count_Sequence,count_Stimulus,count_block1,count_block2,count_block3,count_experiment,count_instructions2,count_new_logger,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions3,response_Keyboard_Response,response_instructions2,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions3,response_time_Keyboard_Response,response_time_instructions2,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions3,time_Keyboard_Response,time_Sequence,time_Stimulus,time_block1,time_block2,time_block3,time_experiment,time_instructions2,time_new_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,1293,1293,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 13 18:13:10 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JH subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,1293,NA,49317,NA,1293,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,NA,NA,NA,58247,NA,8392,NA,58352,58241,58351,57712,NA,NA,8380,NA,59646,Flanker Task,0,1293,1,yes,1024
0,0,1396.5,1396.5,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,Sun Sep 13 18:13:10 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JH subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,NA,s,NA,None,NA,1500,NA,49317,NA,1500,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,59798,NA,NA,61531,60303,8392,NA,61635,61525,61635,57712,NA,NA,8380,NA,63135,Flanker Task,0,2793,2,yes,1024
0,0,1431,1431,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,2,2,0,2,2,0,0,2,2,2,0,0,0,0,0,2,Sun Sep 13 18:13:10 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JH subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,None,NA,s,NA,None,NA,1500,NA,49317,NA,1500,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,63183,NA,NA,64933,63697,8392,NA,65039,64928,65039,57712,NA,NA,8380,NA,66540,Flanker Task,0,4293,3,yes,1024
0,0,1222,1222,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,3,3,0,3,3,0,0,3,3,3,0,0,0,0,0,3,Sun Sep 13 18:13:10 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JH subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,595,NA,49317,NA,595,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,66647,NA,NA,68392,67152,8392,NA,68498,68386,68498,57712,NA,NA,8380,NA,69094,Flanker Task,0,4888,4,yes,1024
20,20,1164.4,1164.4,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,4,4,0,4,4,0,0,4,4,4,0,0,0,0,0,4,Sun Sep 13 18:13:10 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JH subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,934,NA,49317,NA,934,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,69158,NA,NA,70901,69663,8392,NA,71006,70893,71006,57712,NA,NA,8380,NA,71942,Flanker Task,1,5822,5,yes,1024
33.33333333,33.33333333,1152.333333,1152.333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,5,5,0,5,5,0,0,5,5,5,0,0,0,0,0,5,Sun Sep 13 18:13:10 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JH subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,1092,NA,49317,NA,1092,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,69158,NA,NA,73233,71989,8392,NA,73337,73227,73337,57712,NA,NA,8380,NA,74430,Flanker Task,2,6914,6,yes,1024
42.85714286,42.85714286,1074.714286,1074.714286,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,6,6,0,6,6,0,0,6,6,6,0,0,0,0,0,6,Sun Sep 13 18:13:10 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JH subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,609,NA,49317,NA,609,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,69158,NA,NA,75763,74527,8392,NA,75868,75758,75868,57712,NA,NA,8380,NA,76478,Flanker Task,3,7523,7,yes,1024
50,50,1006.75,1006.75,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,7,7,0,7,7,0,0,7,7,7,0,0,0,0,0,7,Sun Sep 13 18:13:10 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JH subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,531,NA,49317,NA,531,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,69158,NA,NA,77817,76567,8392,NA,77922,77811,77921,57712,NA,NA,8380,NA,78454,Flanker Task,4,8054,8,yes,1024
44.44444444,44.44444444,946.7777778,946.7777778,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,8,8,0,8,8,0,0,8,8,8,0,0,0,0,0,8,Sun Sep 13 18:13:10 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JH subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,467,NA,49317,NA,467,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,69158,NA,NA,79738,78510,8392,NA,79842,79732,79842,57712,NA,NA,8380,NA,80310,Flanker Task,4,8521,9,yes,1024
50,50,931.8,931.8,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,9,9,0,9,9,0,0,9,9,9,0,0,0,0,0,9,Sun Sep 13 18:13:10 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/JH subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,797,NA,49317,NA,797,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,80355,NA,NA,82103,80860,8392,NA,82208,82097,82207,57712,NA,NA,8380,NA,83006,Flanker Task,5,9318,10,yes,1024
