"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions3","count_error_feedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions3","response_finish","response_instructions1","response_instructions2","response_keyboard_response","response_time","response_time_Instructions3","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions3","time_error_feedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","741.545454545","741.545454545","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","10","0","10","0","10","0","10","0","0","10","10","10","10","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","516","NA","NA","47928","NA","516","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","52448","NA","NA","70969","NA","NA","4513","NA","NA","72034","4519","NA","72135","72652","72032","72135","Flanker task","11","8157","11","yes","1024"
"100","100","737.333333333","737.333333333","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","11","0","11","0","11","0","11","0","0","11","11","11","11","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","691","NA","NA","47928","NA","691","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","52448","NA","NA","72663","NA","NA","4513","NA","NA","73735","4519","NA","73837","74528","73732","73837","Flanker task","12","8848","12","yes","1024"
"100","100","751.769230769","751.769230769","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","12","0","12","0","12","0","12","0","0","12","12","12","12","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","925","NA","NA","47928","NA","925","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","52448","NA","NA","74539","NA","NA","4513","NA","NA","75606","4519","NA","75707","76632","75603","75707","Flanker task","13","9773","13","yes","1024"
"100","100","734.428571429","734.428571429","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","13","0","13","0","13","0","13","0","0","13","13","13","13","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","509","NA","NA","47928","NA","509","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","52448","NA","NA","76643","NA","NA","4513","NA","NA","77710","4519","NA","77812","78321","77707","77811","Flanker task","14","10282","14","yes","1024"
"100","100","727.6","727.6","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","14","0","14","0","14","0","14","0","0","14","14","14","14","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","632","NA","NA","47928","NA","632","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","52448","NA","NA","78332","NA","NA","4513","NA","NA","79398","4519","NA","79499","80132","79395","79499","Flanker task","15","10914","15","yes","1024"
"100","100","720.375","720.375","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","15","0","15","0","15","0","15","0","0","15","15","15","15","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","612","NA","NA","47928","NA","612","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","52448","NA","NA","80143","NA","NA","4513","NA","NA","81209","4519","NA","81310","81922","81206","81310","Flanker task","16","11526","16","yes","1024"
"100","100","711.764705882","711.764705882","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","16","0","16","0","16","0","16","0","0","16","16","16","16","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","574","NA","NA","47928","NA","574","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","52448","NA","NA","81934","NA","NA","4513","NA","NA","83000","4519","NA","83101","83675","82997","83101","Flanker task","17","12100","17","yes","1024"
"100","100","698.777777778","698.777777778","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","17","0","17","0","17","0","17","0","0","17","17","17","17","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","478","NA","NA","47928","NA","478","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","52448","NA","NA","83688","NA","NA","4513","NA","NA","84762","4519","NA","84863","85342","84759","84863","Flanker task","18","12578","18","yes","1024"
"100","100","687.052631579","687.052631579","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","18","0","18","0","18","0","18","0","0","18","18","18","18","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","476","NA","NA","47928","NA","476","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","52448","NA","NA","85354","NA","NA","4513","NA","NA","86422","4519","NA","86524","87000","86419","86523","Flanker task","19","13054","19","yes","1024"
"100","100","676.4","676.4","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","19","0","19","0","19","0","19","0","0","19","19","19","19","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","474","NA","NA","47928","NA","474","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","52448","NA","NA","87011","NA","NA","4513","NA","NA","88077","4519","NA","88179","88654","88075","88178","Flanker task","20","13528","20","yes","1024"
