"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Fixation","count_ISI","count_Sequence","count_errorFeedback","count_experiment","count_faster","count_finish","count_getting_started","count_instructions","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_stimulus","count_welcome","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Fixation","time_ISI","time_Sequence","time_errorFeedback","time_experiment","time_faster","time_finish","time_getting_started","time_instructions","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"81.8181818182","81.8181818182","548.727272727","548.727272727","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","10","10","10","10","0","10","0","NA","0","0","0","10","10","10","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","590","NA","2501","NA","NA","590","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","14645","NA","NA","41784","39925","41748","27202","12118","NA","NA","NA","12143","NA","NA","41901","42493","41901","NA","Flanker test","9","6036","11","yes","1024"
"83.3333333333","83.3333333333","546","546","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","11","11","11","11","0","11","0","NA","0","0","0","11","11","11","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","516","NA","2501","NA","NA","516","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","14645","NA","NA","44347","42517","44312","27202","12118","NA","NA","NA","12143","NA","NA","44464","44982","44463","NA","Flanker test","10","6552","12","yes","1024"
"84.6153846154","84.6153846154","542.153846154","542.153846154","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","12","12","12","12","0","12","0","NA","0","0","0","12","12","12","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","496","NA","2501","NA","NA","496","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","14645","NA","NA","46839","45005","46804","27202","12118","NA","NA","NA","12143","NA","NA","46956","47454","46955","NA","Flanker test","11","7048","13","yes","1024"
"85.7142857143","85.7142857143","533.142857143","533.142857143","black","no","xpyriment","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","13","13","13","13","0","13","0","NA","0","0","0","13","13","13","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","416","NA","2501","NA","NA","416","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","14645","NA","NA","49285","47472","49248","27202","12118","NA","NA","NA","12143","NA","NA","49395","49813","49394","NA","Flanker test","12","7464","14","yes","1024"
"86.6666666667","86.6666666667","535.733333333","535.733333333","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","14","14","14","14","0","14","0","NA","0","0","0","14","14","14","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","572","NA","2501","NA","NA","572","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","14645","NA","NA","51643","49832","51608","27202","12118","NA","NA","NA","12143","NA","NA","51752","52326","51752","NA","Flanker test","13","8036","15","yes","1024"
"87.5","87.5","526.0625","526.0625","black","no","xpyriment","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","15","15","15","15","0","15","0","NA","0","0","0","15","15","15","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","381","NA","2501","NA","NA","381","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","14645","NA","NA","54152","52344","54117","27202","12118","NA","NA","NA","12143","NA","NA","54262","54645","54261","NA","Flanker test","14","8417","16","yes","1024"
"88.2352941176","88.2352941176","518","518","black","no","xpyriment","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","16","16","16","16","0","16","0","NA","0","0","0","16","16","16","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","389","NA","2501","NA","NA","389","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","14645","NA","NA","56481","54668","56442","27202","12118","NA","NA","NA","12143","NA","NA","56591","56982","56590","NA","Flanker test","15","8806","17","yes","1024"
"88.8888888889","88.8888888889","510","510","black","no","xpyriment","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","17","17","17","17","0","17","0","NA","0","0","0","17","17","17","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","374","NA","2501","NA","NA","374","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","14645","NA","NA","58825","57014","58787","27202","12118","NA","NA","NA","12143","NA","NA","58941","59317","58940","NA","Flanker test","16","9180","18","yes","1024"
"89.4736842105","89.4736842105","504.842105263","504.842105263","black","no","xpyriment","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","18","18","18","18","0","18","0","NA","0","0","0","18","18","18","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","412","NA","2501","NA","NA","412","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","14645","NA","NA","61206","59331","61153","27202","12118","NA","NA","NA","12143","NA","NA","61320","61735","61320","NA","Flanker test","17","9592","19","yes","1024"
"90","90","501.85","501.85","black","no","xpyriment","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","19","19","19","19","0","19","0","NA","0","0","0","19","19","19","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","445","NA","2501","NA","NA","445","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","14645","NA","NA","63602","61753","63566","27202","12118","NA","NA","NA","12143","NA","NA","63719","64166","63719","NA","Flanker test","18","10037","20","yes","1024"
"85.7142857143","85.7142857143","498.476190476","498.476190476","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","20","20","20","20","0","20","0","NA","0","0","0","20","20","20","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","20","20","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","431","NA","2501","NA","NA","431","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","14645","NA","NA","66032","64188","65993","27202","12118","NA","NA","NA","12143","NA","NA","66149","66582","66149","NA","Flanker test","18","10468","21","yes","1024"
"86.3636363636","86.3636363636","497.272727273","497.272727273","black","no","xpyriment","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","21","21","21","21","0","21","0","NA","0","0","0","21","21","21","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","21","21","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","472","NA","2501","NA","NA","472","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","14645","NA","NA","68950","67111","68915","66605","12118","NA","NA","NA","12143","NA","NA","69068","69542","69067","NA","Flanker test","19","10940","22","yes","1024"
"86.9565217391","86.9565217391","494.956521739","494.956521739","black","no","xpyriment","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","22","22","22","22","0","22","0","NA","0","0","0","22","22","22","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","22","22","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","444","NA","2501","NA","NA","444","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","14645","NA","NA","71418","69565","71370","66605","12118","NA","NA","NA","12143","NA","NA","71535","71981","71534","NA","Flanker test","20","11384","23","yes","1024"
